strategy,pair,n,mean_R,ci_low,nw_t,A,B,hold,rand,edge,verdict
stoch,CHF_JPY,1911,-0.10452561717199989,-0.18431835464860497,-2.5675295288269435,-0.005504428086214203,-0.22132039864712966,-0.04438946643440393,-0.11421033428834872,0.009684717116348829,none
stoch,USD_SGD,1758,-0.007749543630772468,-0.09590759381436945,-0.17229402742780014,-0.07649769686980441,0.07444211293427652,-0.026610938173927467,-0.016743820488836894,0.008994276858064426,none
stoch,USD_JPY,1980,-0.08671263031211628,-0.1719673473915021,-1.9935173235457564,-0.07603882899061862,-0.09142246969527192,-0.09695309106987648,-0.09474833392505322,0.008035703612936942,none
sma,GBP_CAD,290,-0.021708325646632286,-0.16063172917497523,-0.30627178133249977,-0.04520048713885878,-0.01904265838566442,0.014866589671573999,-0.027300527064701444,0.005592201418069157,none
ema,USD_SGD,321,-0.017082008193976664,-0.16653267525420012,-0.22402533704786126,-0.037134937065661226,-0.015442270932799797,0.03912191507609877,-0.020250026252453913,0.003168018058477249,none
rsi,CAD_JPY,814,-0.03887197828800215,-0.11812171303449233,-0.9613795893223288,0.043920068337469156,-0.17139949184976466,0.12626502065516543,-0.04200198286783519,0.0031300045798330414,none
stoch,EUR_NOK,1544,-0.12946220234226039,-0.2084994010442333,-3.2104619186673715,-0.14412693366211637,-0.15371492916894594,-0.04676715634283647,-0.13244279377873652,0.0029805914364761377,none
cci,USD_JPY,1214,-0.09578917114272516,-0.1764667041954365,-2.3271258841922617,-0.10118384030583126,-0.0808906512594748,-0.11626022930317902,-0.09855651149707705,0.002767340354351888,none
sma,NZD_JPY,289,-0.08525521009130954,-0.17225317773683757,-1.9207369585898155,0.1632395716425261,-0.35299171717447186,-0.01817691413737047,-0.0870015816831222,0.0017463715918126649,none
stoch,AUD_JPY,1977,-0.08269278867693294,-0.15716842872992737,-2.176253412410545,-0.03805558767988274,-0.1485294881924121,-0.03302018566543916,-0.08388635012265792,0.0011935614457249805,none
stoch,USD_CAD,1772,-0.05461921786673802,-0.14911283967078948,-1.1329195026601948,-0.08716932845739316,0.020895510639555206,-0.13423874574989292,-0.05558799045833997,0.0009687725916019477,none
stoch,NZD_CHF,1712,-0.019206527722638388,-0.09577520646920762,-0.49164743277038675,0.032067598505876774,-0.11045455205361844,0.08649164490828637,-0.01881257254914539,-0.00039395517349299913,none
rsi,CHF_JPY,824,-0.11963711813369708,-0.21795205245094101,-2.3850776402432907,0.019481900057926604,-0.2586715770941461,-0.0075379435425381395,-0.11715879600147631,-0.002478322132220767,none
stoch,NZD_USD,1755,-0.0207825948810772,-0.08131256535507048,-0.6729540035776598,0.036827827385911414,-0.12709216164433318,0.12546467995809873,-0.016710929325653656,-0.004071665555423543,none
cci,EUR_NOK,1152,-0.14181726584965126,-0.21281394304006507,-3.9151387369837054,-0.11968278607052463,-0.1828914398884457,-0.08977091701315487,-0.13512436635307204,-0.006692899496579224,none
