tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
83,0.1375086510246994,0.10394892401761092,-0.06623124004981801,0.3412485420992168,36,0.1532549190741406,0.14057132648013076,-0.1222648808269157,0.4287747189751969,USD_CAD,20,20,di_cross_with_adx,long,119
98,0.03604720562403782,0.0969756297577957,-0.15402502870124174,0.22611943994931738,42,-0.24951792327488956,0.13684469148808237,-0.517733518591531,0.018697672041751906,USD_CAD,20,20,di_cross_with_adx,short,140
62,0.11577918943160474,0.1220968024488554,-0.12353054336815185,0.35508892223136135,27,-0.2507012749662366,0.17021050011575214,-0.5843138551931109,0.08291130526063756,USD_CAD,20,25,adx_cross,long,89
46,0.08775754220832548,0.14185337586017413,-0.19027507447761582,0.3657901588942668,20,0.23889486539210428,0.21569674306832073,-0.18387075102180436,0.6616604818060129,USD_CAD,20,25,adx_cross,short,66
34,0.10438927104102128,0.16593416188834179,-0.2208416862601286,0.4296202283421712,15,0.49777816353786764,0.19180528712474823,0.1218398007733611,0.8737165263023742,USD_CAD,20,25,di_cross_with_adx,long,49
38,0.2697582748004761,0.1525790465373766,-0.029296656412782063,0.5688132060137343,17,-0.15725042584921814,0.2172411026963731,-0.5830429871341094,0.26854213543567307,USD_CAD,20,25,di_cross_with_adx,short,55
37,-0.12452143199754259,0.15942864702638412,-0.4370015801692555,0.1879587161741703,16,0.022032007988783603,0.2249582397830856,-0.4188861419860642,0.46295015796363137,USD_CAD,20,30,adx_cross,long,53
32,0.008835082007975559,0.17254113624941872,-0.32934554504088515,0.34701570905683626,14,-0.012925445405159306,0.2575036028583302,-0.5176325070074864,0.4917816161971678,USD_CAD,20,30,adx_cross,short,46
11,0.4664656396802263,0.24671483772719063,-0.017095442265067318,0.9500267216255199,6,0.29891362418175316,0.3054828077670603,-0.2998326790416851,0.8976599274051914,USD_CAD,20,30,di_cross_with_adx,long,17
17,0.38746746580118446,0.21720334027817045,-0.03825108114402964,0.8131860127463986,8,-0.38937391025841706,0.26216921476568456,-0.9032255711991588,0.1244777506823247,USD_CAD,20,30,di_cross_with_adx,short,25
110,-0.05124293422692855,0.09327549671832647,-0.23406290779484842,0.13157703934099133,48,0.16359379691336148,0.14141651950475892,-0.11358258131596602,0.440770175142689,USD_CHF,14,20,adx_cross,long,158
108,0.12286379743948102,0.09231530563502752,-0.05807420160517292,0.30380179648413497,47,0.08332217653625797,0.14535791199103937,-0.2015793309661792,0.3682236840386951,USD_CHF,14,20,adx_cross,short,155
194,0.02679850810630552,0.07051997992355162,-0.11142065254385566,0.1650176687564667,84,-0.048522761641363654,0.10808865889846231,-0.26037653308234976,0.16333100979962248,USD_CHF,14,20,di_cross_with_adx,long,278
194,0.05488445889428691,0.06921137914433317,-0.08076984422860609,0.19053876201717992,84,0.14469113872207462,0.10613679580334329,-0.06333698105247823,0.35271925849662744,USD_CHF,14,20,di_cross_with_adx,short,278
107,0.04973951055965662,0.09297567009768126,-0.13249280283179865,0.23197182395111188,46,-0.072944374844283,0.14569797695415118,-0.35851240967441933,0.2126236599858533,USD_CHF,14,25,adx_cross,long,153
102,0.02402855651604111,0.09649268130186102,-0.1650970988356065,0.2131542118676887,45,0.15555555555555556,0.1489205454059161,-0.13632871344004,0.4474398245511511,USD_CHF,14,25,adx_cross,short,147
99,-0.060731806025159825,0.09923723308145357,-0.25523678286480883,0.1337731708144892,43,0.11451367493315004,0.14898861309480083,-0.17750400673265956,0.40653135659895967,USD_CHF,14,25,di_cross_with_adx,long,142
95,0.09690373669758562,0.0992993682897798,-0.09772302515038278,0.291530498545554,41,0.08940159466126894,0.15168139078410803,-0.20789393127558276,0.38669712059812067,USD_CHF,14,25,di_cross_with_adx,short,136
76,-0.05842113450088298,0.11188126474789437,-0.27770841340675595,0.16086614440498997,33,0.14342461977321302,0.16981889957905302,-0.18942042340173088,0.4762696629481569,USD_CHF,14,30,adx_cross,long,109
81,0.10630773431317041,0.10758731974668624,-0.10456341239033463,0.31717888101667546,35,0.005707156269860508,0.16912717169076402,-0.325782100244037,0.337196412783758,USD_CHF,14,30,adx_cross,short,116
39,0.007487906342654733,0.1567741182057863,-0.2997893653406864,0.31476517802599585,18,0.11784854305552013,0.22693074016360168,-0.3269357076651392,0.5626327937761795,USD_CHF,14,30,di_cross_with_adx,long,57
39,0.4753482623788794,0.13617466621410002,0.20844591659924339,0.7422506081585154,17,-0.07906889769421752,0.23446751400941948,-0.5386252251526797,0.38048742976424466,USD_CHF,14,30,di_cross_with_adx,short,56
