tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
9.0,0.5555555555555544,0.2939723678960654,-0.02063028552073387,1.1317413966318426,5.0,-0.025258622290734632,0.44792633099654455,-0.9031942310439619,0.8526769864624927,USD_CHF,14,30,di_cross_with_adx,short,14
46.0,0.10481861083176777,0.1452222959801835,-0.17981708928939186,0.3894543109529274,21.0,-0.10962667994026938,0.2173373647340225,-0.5356079148189534,0.3163545549384147,USD_CHF,20,20,adx_cross,long,67
34.0,0.21967839973147654,0.16745204600418317,-0.10852761043672246,0.5478844098996756,15.0,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,USD_CHF,20,20,adx_cross,short,49
30.0,0.07879267276032674,0.17824085618632876,-0.2705594053648776,0.4281447508855311,14.0,0.14285714285714285,0.2745054065230065,-0.39517345392794984,0.6808877396422355,USD_CHF,20,20,di_cross_with_adx,long,44
24.0,-0.005816755287465859,0.2073795812128903,-0.4122807344647308,0.4006472238897991,11.0,0.3641577325562709,0.27060812028666154,-0.16623418320558575,0.8945496483181274,USD_CHF,20,20,di_cross_with_adx,short,35
26.0,-0.051494306675053024,0.19322233739691777,-0.4302100879730118,0.3272214746229058,12.0,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,USD_CHF,20,25,adx_cross,long,38
27.0,0.04268005551507324,0.18645756744478903,-0.32277677667671323,0.40813688770685974,12.0,0.16666666666666666,0.2972941950052816,-0.41602995554368527,0.7493632888770185,USD_CHF,20,25,adx_cross,short,39
11.0,-0.22518518235178286,0.29649118145877423,-0.8063078980109804,0.3559375333074146,6.0,0.576930780506014,0.3274123631671969,-0.0647974513016919,1.21865901231372,USD_CHF,20,25,di_cross_with_adx,long,17
12.0,0.32169982275840064,0.28201648335238616,-0.23105248461227618,0.8744521301290775,6.0,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,USD_CHF,20,25,di_cross_with_adx,short,18
16.0,-0.38032011926628645,0.23737020692760705,-0.8455657248443962,0.08492548631182334,8.0,-0.4516124493471415,0.32026817663470414,-1.0793380755511617,0.17611317685687855,USD_CHF,20,30,adx_cross,long,24
20.0,-0.06368065745984794,0.20888062227908968,-0.4730866771268637,0.3457253622071679,9.0,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,USD_CHF,20,30,adx_cross,short,29
