period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
21,40,60,1,s20,10,bull,18717,0.0934,0.0206,2.1,0.303
21,40,60,1,s20,10,nonbull,2097,0.1952,0.0046,0.2,0.302
21,40,60,1,s20,15,all,20663,0.1108,0.004,0.4,0.339
21,40,60,1,s20,15,bull,18566,0.0996,0.0226,2.2,0.337
21,40,60,1,s20,15,nonbull,2097,0.2101,0.0038,0.1,0.355
21,40,999,0,off,10,all,66462,0.2684,0.1687,31.9,0.338
21,40,999,0,off,10,bull,52667,0.253,0.1802,30.1,0.341
21,40,999,0,off,10,nonbull,13795,0.3275,0.1369,12.0,0.323
21,40,999,0,off,15,all,66187,0.2926,0.1859,33.6,0.386
21,40,999,0,off,15,bull,52392,0.2705,0.1935,31.0,0.385
21,40,999,0,off,15,nonbull,13795,0.3767,0.1703,14.2,0.388
21,40,999,0,s0,10,all,49735,0.2941,0.1943,31.3,0.359
21,40,999,0,s0,10,bull,44196,0.2904,0.2177,32.9,0.361
21,40,999,0,s0,10,nonbull,5539,0.3231,0.1324,7.3,0.343
21,40,999,0,s0,15,all,49494,0.3114,0.2046,31.7,0.402
21,40,999,0,s0,15,bull,43955,0.3064,0.2294,33.4,0.402
21,40,999,0,s0,15,nonbull,5539,0.3511,0.1447,7.6,0.402
21,40,999,0,s20,10,all,31257,0.3865,0.2868,36.1,0.397
21,40,999,0,s20,10,bull,27917,0.3896,0.3169,37.6,0.402
21,40,999,0,s20,10,nonbull,3340,0.3611,0.1704,7.3,0.359
21,40,999,0,s20,15,all,31058,0.4042,0.2975,36.2,0.435
21,40,999,0,s20,15,bull,27718,0.4063,0.3293,37.8,0.438
21,40,999,0,s20,15,nonbull,3340,0.3868,0.1804,7.4,0.411
21,40,999,1,off,10,all,36684,0.3025,0.2027,28.1,0.357
21,40,999,1,off,10,bull,29742,0.2877,0.215,26.8,0.358
21,40,999,1,off,10,nonbull,6942,0.3656,0.175,10.7,0.354
21,40,999,1,off,15,all,36456,0.3241,0.2174,28.9,0.402
21,40,999,1,off,15,bull,29514,0.3054,0.2284,27.4,0.398
21,40,999,1,off,15,nonbull,6942,0.4037,0.1973,11.5,0.416
21,40,999,1,s0,10,all,28529,0.3308,0.231,27.9,0.377
21,40,999,1,s0,10,bull,25491,0.3294,0.2566,29.2,0.38
21,40,999,1,s0,10,nonbull,3038,0.3431,0.1524,6.2,0.351
21,40,999,1,s0,15,all,28327,0.3484,0.2417,28.1,0.417
21,40,999,1,s0,15,bull,25289,0.3456,0.2686,29.5,0.417
21,40,999,1,s0,15,nonbull,3038,0.3716,0.1652,6.4,0.409
21,40,999,1,s20,10,all,25635,0.345,0.2452,28.0,0.385
21,40,999,1,s20,10,bull,23023,0.3443,0.2716,29.3,0.388
21,40,999,1,s20,10,nonbull,2612,0.351,0.1604,6.0,0.359
21,40,999,1,s20,15,all,25445,0.36,0.2532,27.9,0.422
21,40,999,1,s20,15,bull,22833,0.3585,0.2815,29.3,0.423
21,40,999,1,s20,15,nonbull,2612,0.3732,0.1668,6.0,0.411
21,45,60,0,off,10,all,25443,0.1722,0.0724,8.6,0.303
21,45,60,0,off,10,bull,20273,0.1373,0.0646,6.9,0.298
21,45,60,0,off,10,nonbull,5170,0.309,0.1184,6.4,0.32
21,45,60,0,off,15,all,25341,0.2001,0.0934,10.6,0.352
21,45,60,0,off,15,bull,20171,0.16,0.083,8.4,0.345
21,45,60,0,off,15,nonbull,5170,0.3567,0.1503,7.7,0.38
21,45,60,0,s0,10,all,19433,0.1706,0.0709,7.3,0.314
21,45,60,0,s0,10,bull,17336,0.1566,0.0838,8.2,0.312
21,45,60,0,s0,10,nonbull,2097,0.287,0.0964,3.3,0.334
21,45,60,0,s0,15,all,19335,0.191,0.0842,8.3,0.359
21,45,60,0,s0,15,bull,17238,0.1759,0.0989,9.2,0.356
21,45,60,0,s0,15,nonbull,2097,0.3147,0.1083,3.5,0.388
21,45,60,0,s20,10,all,12832,0.1667,0.0669,5.6,0.321
21,45,60,0,s20,10,bull,11475,0.1507,0.0779,6.1,0.318
21,45,60,0,s20,10,nonbull,1357,0.3019,0.1112,3.0,0.345
21,45,60,0,s20,15,all,12753,0.1807,0.0739,5.9,0.358
21,45,60,0,s20,15,bull,11396,0.1651,0.088,6.7,0.355
21,45,60,0,s20,15,nonbull,1357,0.3118,0.1054,2.7,0.389
21,45,60,1,off,10,all,13997,0.1856,0.0858,7.5,0.315
21,45,60,1,off,10,bull,11387,0.1342,0.0615,4.9,0.303
21,45,60,1,off,10,nonbull,2610,0.4096,0.219,8.2,0.37
21,45,60,1,off,15,all,13919,0.208,0.1012,8.5,0.362
21,45,60,1,off,15,bull,11309,0.1544,0.0774,5.9,0.347
21,45,60,1,off,15,nonbull,2610,0.4402,0.2338,8.3,0.427
21,45,60,1,s0,10,all,11094,0.1806,0.0808,6.2,0.323
21,45,60,1,s0,10,bull,9895,0.1593,0.0866,6.3,0.319
21,45,60,1,s0,10,nonbull,1199,0.3565,0.1658,4.2,0.358
21,45,60,1,s0,15,all,11019,0.1969,0.0902,6.7,0.365
21,45,60,1,s0,15,bull,9820,0.1763,0.0993,6.9,0.36
21,45,60,1,s0,15,nonbull,1199,0.3658,0.1594,3.9,0.405
21,45,60,1,s20,10,all,10337,0.1605,0.0607,4.5,0.32
21,45,60,1,s20,10,bull,9266,0.1392,0.0664,4.7,0.316
21,45,60,1,s20,10,nonbull,1071,0.3451,0.1545,3.7,0.359
21,45,60,1,s20,15,all,10263,0.1722,0.0655,4.7,0.357
21,45,60,1,s20,15,bull,9192,0.152,0.0749,5.1,0.352
21,45,60,1,s20,15,nonbull,1071,0.3462,0.1398,3.2,0.401
21,45,999,0,off,10,all,34175,0.4198,0.3201,42.8,0.389
21,45,999,0,off,10,bull,27550,0.4263,0.3536,42.2,0.399
21,45,999,0,off,10,nonbull,6625,0.3929,0.2022,12.3,0.347
21,45,999,0,off,15,all,34028,0.4534,0.3466,44.5,0.438
21,45,999,0,off,15,bull,27403,0.4551,0.3781,43.4,0.445
21,45,999,0,off,15,nonbull,6625,0.4464,0.24,13.8,0.409
21,45,999,0,s0,10,all,27284,0.487,0.3872,45.8,0.422
21,45,999,0,s0,10,bull,24120,0.487,0.4142,45.9,0.425
21,45,999,0,s0,10,nonbull,3164,0.4871,0.2964,12.3,0.394
21,45,999,0,s0,15,all,27146,0.5166,0.4098,46.7,0.468
21,45,999,0,s0,15,bull,23982,0.5145,0.4375,46.8,0.469
21,45,999,0,s0,15,nonbull,3164,0.5326,0.3262,12.9,0.458
21,45,999,0,s20,10,all,20036,0.5758,0.476,48.0,0.459
21,45,999,0,s20,10,bull,17794,0.5817,0.509,48.2,0.465
21,45,999,0,s20,10,nonbull,2242,0.5284,0.3378,11.8,0.417
21,45,999,0,s20,15,all,19917,0.6018,0.4951,48.4,0.498
21,45,999,0,s20,15,bull,17675,0.6076,0.5306,48.8,0.502
21,45,999,0,s20,15,nonbull,2242,0.5564,0.35,11.7,0.465
21,45,999,1,off,10,all,19370,0.4792,0.3794,37.8,0.418
21,45,999,1,off,10,bull,16021,0.4813,0.4085,36.9,0.423
21,45,999,1,off,10,nonbull,3349,0.4692,0.2785,11.7,0.395
21,45,999,1,off,15,all,19248,0.509,0.4022,38.6,0.464
21,45,999,1,off,15,bull,15899,0.5094,0.4324,37.7,0.466
21,45,999,1,off,15,nonbull,3349,0.507,0.3006,12.1,0.453
21,45,999,1,s0,10,all,16042,0.5519,0.4521,40.7,0.45
21,45,999,1,s0,10,bull,14296,0.5513,0.4785,40.5,0.453
21,45,999,1,s0,10,nonbull,1746,0.5572,0.3665,11.1,0.426
21,45,999,1,s0,15,all,15928,0.5794,0.4726,41.1,0.492
21,45,999,1,s0,15,bull,14182,0.5784,0.5014,41.1,0.494
21,45,999,1,s0,15,nonbull,1746,0.5876,0.3812,11.1,0.482
21,45,999,1,s20,10,all,15158,0.5506,0.4509,39.3,0.454
21,45,999,1,s20,10,bull,13572,0.5503,0.4776,39.3,0.457
21,45,999,1,s20,10,nonbull,1586,0.5531,0.3624,10.5,0.435
21,45,999,1,s20,15,all,15045,0.5741,0.4674,39.5,0.492
21,45,999,1,s20,15,bull,13459,0.5746,0.4975,39.7,0.493
21,45,999,1,s20,15,nonbull,1586,0.5705,0.3641,10.1,0.478
28,30,60,0,off,10,all,137140,0.113,0.0132,3.7,0.285
28,30,60,0,off,10,bull,108187,0.0659,-0.0068,-1.7,0.279
28,30,60,0,off,10,nonbull,28953,0.2891,0.0984,12.6,0.308
28,30,60,0,off,15,all,136708,0.1305,0.0237,6.3,0.332
28,30,60,0,off,15,bull,107755,0.0756,-0.0014,-0.3,0.321
28,30,60,0,off,15,nonbull,28953,0.3349,0.1285,15.6,0.374
28,30,60,0,s0,10,all,95937,0.0809,-0.0189,-4.4,0.288
28,30,60,0,s0,10,bull,86362,0.0741,0.0014,0.3,0.288
28,30,60,0,s0,10,nonbull,9575,0.1421,-0.0486,-3.6,0.29
28,30,60,0,s0,15,all,95577,0.0892,-0.0175,-3.9,0.329
28,30,60,0,s0,15,bull,86002,0.0821,0.0051,1.1,0.328
28,30,60,0,s0,15,nonbull,9575,0.1534,-0.053,-3.7,0.338
28,30,60,0,s20,10,all,34075,0.1072,0.0074,1.0,0.303
28,30,60,0,s20,10,bull,30803,0.1012,0.0285,3.7,0.304
28,30,60,0,s20,10,nonbull,3272,0.1638,-0.0268,-1.2,0.295
28,30,60,0,s20,15,all,33867,0.1122,0.0055,0.7,0.337
28,30,60,0,s20,15,bull,30595,0.1055,0.0284,3.6,0.336
28,30,60,0,s20,15,nonbull,3272,0.1754,-0.031,-1.3,0.343
28,30,60,1,off,10,all,71177,0.1094,0.0096,1.9,0.291
28,30,60,1,off,10,bull,57071,0.0603,-0.0125,-2.2,0.281
28,30,60,1,off,10,nonbull,14106,0.3083,0.1176,10.3,0.329
28,30,60,1,off,15,all,70851,0.121,0.0142,2.7,0.334
28,30,60,1,off,15,bull,56745,0.0682,-0.0088,-1.5,0.32
28,30,60,1,off,15,nonbull,14106,0.3333,0.1269,10.6,0.389
28,30,60,1,s0,10,all,51977,0.0731,-0.0267,-4.5,0.291
28,30,60,1,s0,10,bull,46935,0.0692,-0.0036,-0.6,0.292
28,30,60,1,s0,10,nonbull,5042,0.1099,-0.0807,-4.4,0.279
28,30,60,1,s0,15,all,51705,0.0796,-0.0271,-4.4,0.328
28,30,60,1,s0,15,bull,46663,0.0754,-0.0016,-0.3,0.328
28,30,60,1,s0,15,nonbull,5042,0.1191,-0.0873,-4.5,0.328
28,30,60,1,s20,10,all,31806,0.096,-0.0037,-0.5,0.301
28,30,60,1,s20,10,bull,28790,0.0904,0.0176,2.2,0.302
28,30,60,1,s20,10,nonbull,3016,0.1502,-0.0405,-1.7,0.291
28,30,60,1,s20,15,all,31602,0.0994,-0.0073,-0.9,0.334
28,30,60,1,s20,15,bull,28586,0.0932,0.0162,2.0,0.334
28,30,60,1,s20,15,nonbull,3016,0.1579,-0.0485,-1.9,0.338
28,30,999,0,off,10,all,144606,0.1714,0.0716,20.2,0.305
28,30,999,0,off,10,bull,114551,0.1358,0.063,15.8,0.303
28,30,999,0,off,10,nonbull,30055,0.307,0.1164,15.2,0.314
28,30,999,0,off,15,all,144143,0.1904,0.0836,22.6,0.352
28,30,999,0,off,15,bull,114088,0.1473,0.0703,16.9,0.345
28,30,999,0,off,15,nonbull,30055,0.3537,0.1473,18.2,0.379
28,30,999,0,s0,10,all,102720,0.1656,0.0659,15.5,0.317
28,30,999,0,s0,10,bull,92352,0.1609,0.0882,19.7,0.318
28,30,999,0,s0,10,nonbull,10368,0.2078,0.0171,1.3,0.31
28,30,999,0,s0,15,all,102329,0.1766,0.0698,15.8,0.358
28,30,999,0,s0,15,bull,91961,0.1713,0.0942,20.2,0.358
