indicator,horizon,regime,n,mean_fwd,baseline,edge,t
rvol_high(>1.5x),3,all,212287,0.0966,0.7113,-0.6148,-18.79
rvol_high(>1.5x),3,bull,161011,0.0384,0.81,-0.7716,-28.36
rvol_high(>1.5x),3,nonbull,51276,0.2793,0.3812,-0.1019,-0.97
engulfing_bull,3,all,67459,0.0987,0.7113,-0.6126,-12.62
engulfing_bull,3,bull,51624,0.029,0.81,-0.781,-26.2
engulfing_bull,3,nonbull,15835,0.3257,0.3812,-0.0555,-0.3
hammer,3,all,42868,0.2436,0.7113,-0.4677,-9.35
hammer,3,bull,32824,0.1249,0.81,-0.6851,-11.3
hammer,3,nonbull,10044,0.6315,0.3812,0.2504,3.17
gap_up(>2%),3,all,93904,0.2682,0.7113,-0.4432,-6.74
gap_up(>2%),3,bull,62303,0.0873,0.81,-0.7227,-11.1
gap_up(>2%),3,nonbull,31601,0.6247,0.3812,0.2436,1.65
above_sma200,3,all,962002,0.1289,0.7113,-0.5825,-64.33
above_sma200,3,bull,857102,0.1293,0.81,-0.6807,-68.65
above_sma200,3,nonbull,104900,0.1256,0.3812,-0.2556,-14.03
golden_cross,3,all,4893,-0.0311,0.7113,-0.7424,-7.12
golden_cross,3,bull,4004,0.0404,0.81,-0.7696,-6.51
golden_cross,3,nonbull,889,-0.3533,0.3812,-0.7345,-3.43
sma50_reclaim(x up),3,all,61700,-0.0214,0.7113,-0.7327,-24.64
sma50_reclaim(x up),3,bull,48430,-0.0559,0.81,-0.8658,-25.52
sma50_reclaim(x up),3,nonbull,13270,0.1043,0.3812,-0.2769,-4.5
sma20_pullback_uptrend,3,all,123500,0.1074,0.7113,-0.6039,-11.68
sma20_pullback_uptrend,3,bull,102548,0.1132,0.81,-0.6968,-11.33
sma20_pullback_uptrend,3,nonbull,20952,0.079,0.3812,-0.3022,-6.45
rsi_oversold(<30),5,all,73092,0.4299,0.6449,-0.215,-2.83
rsi_oversold(<30),5,bull,46525,0.1669,0.3147,-0.1477,-1.79
rsi_oversold(<30),5,nonbull,26567,0.8903,1.7481,-0.8578,-5.7
rsi_exit_oversold(x30up),5,all,21513,0.1277,0.6449,-0.5172,-2.68
rsi_exit_oversold(x30up),5,bull,14039,-0.2058,0.3147,-0.5205,-3.63
rsi_exit_oversold(x30up),5,nonbull,7474,0.7542,1.7481,-0.994,-2.04
rsi_bull(>50),5,all,984829,0.1921,0.6449,-0.4528,-27.46
rsi_bull(>50),5,bull,786782,0.1366,0.3147,-0.1781,-9.03
rsi_bull(>50),5,nonbull,198047,0.4124,1.7481,-1.3357,-55.29
williams_oversold(<-80),5,all,361897,1.7368,0.6449,1.0919,0.83
williams_oversold(<-80),5,bull,267699,0.3651,0.3147,0.0504,1.19
williams_oversold(<-80),5,nonbull,94198,5.6349,1.7481,3.8868,0.77
stoch_oversold(<20),5,all,323988,1.8472,0.6449,1.2024,0.82
stoch_oversold(<20),5,bull,237293,0.2699,0.3147,-0.0448,-1.21
stoch_oversold(<20),5,nonbull,86695,6.1647,1.7481,4.4166,0.81
cci_oversold(<-100),5,all,320277,0.2904,0.6449,-0.3545,-15.59
cci_oversold(<-100),5,bull,231751,0.2428,0.3147,-0.0719,-2.94
cci_oversold(<-100),5,nonbull,88526,0.415,1.7481,-1.3331,-25.84
cci_break(x+100up),5,all,97708,0.1558,0.6449,-0.489,-17.74
cci_break(x+100up),5,bull,76406,0.0821,0.3147,-0.2326,-7.3
cci_break(x+100up),5,nonbull,21302,0.4203,1.7481,-1.3278,-24.57
bb_lower_touch,5,all,93992,0.2086,0.6449,-0.4363,-13.67
bb_lower_touch,5,bull,65935,0.2865,0.3147,-0.0282,-0.79
bb_lower_touch,5,nonbull,28057,0.0256,1.7481,-1.7226,-26.18
bb_upper_break(x up),5,all,58897,0.021,0.6449,-0.6239,-15.42
bb_upper_break(x up),5,bull,47031,0.063,0.3147,-0.2517,-5.42
bb_upper_break(x up),5,nonbull,11866,-0.1453,1.7481,-1.8934,-23.65
macd_bull_cross,5,all,69772,0.1757,0.6449,-0.4692,-8.13
macd_bull_cross,5,bull,55070,0.1158,0.3147,-0.1989,-5.43
macd_bull_cross,5,nonbull,14702,0.4001,1.7481,-1.3481,-5.69
roc_pos(>0),5,all,963008,0.4517,0.6449,-0.1931,-0.86
roc_pos(>0),5,bull,753306,0.4095,0.3147,0.0948,0.33
roc_pos(>0),5,nonbull,209702,0.6035,1.7481,-1.1446,-64.66
"adx_uptrend(>25,+DI)",5,all,410430,1.8622,0.6449,1.2173,0.96
"adx_uptrend(>25,+DI)",5,bull,338932,0.8506,0.3147,0.5359,0.85
"adx_uptrend(>25,+DI)",5,nonbull,71498,6.6576,1.7481,4.9095,0.74
donchian20_break,5,all,137570,0.0264,0.6449,-0.6185,-29.15
donchian20_break,5,bull,107526,0.0591,0.3147,-0.2556,-10.34
donchian20_break,5,nonbull,30044,-0.0906,1.7481,-1.8387,-45.79
aroonosc_up(>50),5,all,629609,0.1963,0.6449,-0.4486,-35.53
aroonosc_up(>50),5,bull,502652,0.139,0.3147,-0.1757,-11.72
aroonosc_up(>50),5,nonbull,126957,0.4229,1.7481,-1.3252,-66.49
obv_rising(10d),5,all,969478,0.9587,0.6449,0.3138,0.58
obv_rising(10d),5,bull,757849,0.4312,0.3147,0.1165,0.41
obv_rising(10d),5,nonbull,211629,2.8475,1.7481,1.0993,0.49
cmf_pos(>0),5,all,946243,0.9593,0.6449,0.3144,0.57
cmf_pos(>0),5,bull,724038,0.4741,0.3147,0.1594,0.54
cmf_pos(>0),5,nonbull,222205,2.5402,1.7481,0.7921,0.37
mfi_oversold(<20),5,all,53113,0.3668,0.6449,-0.2781,-3.42
mfi_oversold(<20),5,bull,37868,0.2233,0.3147,-0.0913,-1.49
mfi_oversold(<20),5,nonbull,15245,0.7231,1.7481,-1.025,-4.28
rvol_high(>1.5x),5,all,212043,1.2338,0.6449,0.5889,0.58
rvol_high(>1.5x),5,bull,160767,1.526,0.3147,1.2113,0.91
rvol_high(>1.5x),5,nonbull,51276,0.3175,1.7481,-1.4306,-9.2
engulfing_bull,5,all,67328,0.2062,0.6449,-0.4387,-6.94
engulfing_bull,5,bull,51493,0.163,0.3147,-0.1517,-3.58
engulfing_bull,5,nonbull,15835,0.3467,1.7481,-1.4014,-6.08
hammer,5,all,42833,0.3878,0.6449,-0.2571,-4.45
hammer,5,bull,32789,0.2237,0.3147,-0.091,-1.31
hammer,5,nonbull,10044,0.9235,1.7481,-0.8246,-8.7
gap_up(>2%),5,all,93832,5.4375,0.6449,4.7926,0.95
gap_up(>2%),5,bull,62231,0.0859,0.3147,-0.2288,-2.31
gap_up(>2%),5,nonbull,31601,15.9763,1.7481,14.2281,0.95
above_sma200,5,all,960795,0.2268,0.6449,-0.4181,-24.47
above_sma200,5,bull,855897,0.2359,0.3147,-0.0787,-4.15
above_sma200,5,nonbull,104898,0.152,1.7481,-1.5961,-69.6
golden_cross,5,all,4890,0.1866,0.6449,-0.4583,-2.75
golden_cross,5,bull,4001,0.3322,0.3147,0.0175,0.09
golden_cross,5,nonbull,889,-0.4689,1.7481,-2.2171,-8.75
sma50_reclaim(x up),5,all,61632,3.4883,0.6449,2.8435,0.82
sma50_reclaim(x up),5,bull,48362,4.3867,0.3147,4.072,0.92
sma50_reclaim(x up),5,nonbull,13270,0.2144,1.7481,-1.5337,-20.7
sma20_pullback_uptrend,5,all,123369,1.9708,0.6449,1.326,0.76
sma20_pullback_uptrend,5,bull,102417,2.337,0.3147,2.0223,0.96
sma20_pullback_uptrend,5,nonbull,20952,0.1809,1.7481,-1.5672,-27.59
rsi_oversold(<30),10,all,72945,0.8106,1.2298,-0.4192,-2.72
rsi_oversold(<30),10,bull,46378,0.0703,0.7903,-0.72,-6.95
rsi_oversold(<30),10,nonbull,26567,2.1029,2.6933,-0.5904,-1.54
rsi_exit_oversold(x30up),10,all,21475,0.5073,1.2298,-0.7225,-3.85
rsi_exit_oversold(x30up),10,bull,14001,-0.4117,0.7903,-1.202,-6.22
rsi_exit_oversold(x30up),10,nonbull,7474,2.2288,2.6933,-0.4646,-1.17
rsi_bull(>50),10,all,982609,0.367,1.2298,-0.8628,-73.15
rsi_bull(>50),10,bull,784567,0.2663,0.7903,-0.524,-39.58
rsi_bull(>50),10,nonbull,198042,0.766,2.6933,-1.9273,-74.31
williams_oversold(<-80),10,all,361009,4.3299,1.2298,3.1002,1.18
williams_oversold(<-80),10,bull,266811,3.116,0.7903,2.3257,0.89
williams_oversold(<-80),10,nonbull,94198,7.7684,2.6933,5.075,0.75
