period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
7,30,40,0,s10,15,bull,142046,0.0576,-0.0138,-3.7,0.326
7,30,40,0,s10,15,nonbull,39940,0.1752,-0.0281,-4.0,0.348
7,30,40,0,s20,10,all,91160,0.0732,-0.0224,-5.0,0.287
7,30,40,0,s20,10,bull,71390,0.061,-0.0071,-1.4,0.289
7,30,40,0,s20,10,nonbull,19770,0.1173,-0.0697,-7.3,0.278
7,30,40,0,s20,15,all,90990,0.083,-0.0191,-4.1,0.333
7,30,40,0,s20,15,bull,71220,0.0656,-0.0058,-1.1,0.33
7,30,40,0,s20,15,nonbull,19770,0.1454,-0.058,-5.8,0.342
7,30,40,1,off,10,all,245831,0.0788,-0.0168,-6.2,0.285
7,30,40,1,off,10,bull,187771,0.0629,-0.0052,-1.7,0.283
7,30,40,1,off,10,nonbull,58060,0.1304,-0.0566,-10.1,0.292
7,30,40,1,off,15,all,245218,0.0852,-0.0169,-6.0,0.329
7,30,40,1,off,15,bull,187158,0.065,-0.0064,-2.0,0.324
7,30,40,1,off,15,nonbull,58060,0.1501,-0.0533,-9.1,0.345
7,30,40,1,s0,10,all,134272,0.0609,-0.0348,-9.5,0.282
7,30,40,1,s0,10,bull,104769,0.0424,-0.0257,-6.2,0.283
7,30,40,1,s0,10,nonbull,29503,0.1263,-0.0606,-7.8,0.28
7,30,40,1,s0,15,all,134008,0.0709,-0.0312,-8.1,0.328
7,30,40,1,s0,15,bull,104505,0.0476,-0.0238,-5.5,0.324
7,30,40,1,s0,15,nonbull,29503,0.1532,-0.0501,-6.1,0.342
7,30,40,1,s10,10,all,133805,0.0609,-0.0348,-9.5,0.282
7,30,40,1,s10,10,bull,104410,0.0423,-0.0258,-6.2,0.283
7,30,40,1,s10,10,nonbull,29395,0.1268,-0.0601,-7.7,0.28
7,30,40,1,s10,15,all,133544,0.0708,-0.0312,-8.1,0.328
7,30,40,1,s10,15,bull,104149,0.0474,-0.0241,-5.6,0.324
7,30,40,1,s10,15,nonbull,29395,0.1539,-0.0495,-6.0,0.342
7,30,40,1,s20,10,all,89307,0.0687,-0.0269,-6.0,0.286
7,30,40,1,s20,10,bull,69828,0.0564,-0.0117,-2.3,0.288
7,30,40,1,s20,10,nonbull,19479,0.1129,-0.074,-7.7,0.277
7,30,40,1,s20,15,all,89139,0.0785,-0.0235,-5.0,0.332
7,30,40,1,s20,15,bull,69660,0.0611,-0.0103,-1.9,0.329
7,30,40,1,s20,15,nonbull,19479,0.1408,-0.0626,-6.2,0.341
7,30,50,0,off,10,all,751441,0.0847,-0.0109,-7.0,0.283
7,30,50,0,off,10,bull,574649,0.0598,-0.0083,-4.7,0.279
7,30,50,0,off,10,nonbull,176792,0.1658,-0.0212,-6.6,0.296
7,30,50,0,off,15,all,749630,0.0907,-0.0114,-7.1,0.329
7,30,50,0,off,15,bull,572838,0.0626,-0.0088,-4.8,0.322
7,30,50,0,off,15,nonbull,176792,0.1815,-0.0219,-6.5,0.35
7,30,50,0,s0,10,all,404191,0.0704,-0.0252,-12.0,0.283
7,30,50,0,s0,10,bull,317737,0.0506,-0.0175,-7.4,0.282
