period,adx_min,adx_max,rising,di,N,regime,n_sym,n_ep,lift,t
21,25,60,1,off,10,nonbull,1086,7016,-0.0636,-2.9
21,25,60,1,off,15,all,1386,30078,-0.007,-0.5
21,25,60,1,off,15,bull,1324,23025,0.0084,0.5
21,25,60,1,off,15,nonbull,1086,7016,-0.0748,-3.2
21,25,60,1,s0,10,all,1310,18534,-0.0407,-2.5
21,25,60,1,s0,10,bull,1273,15980,-0.0031,-0.2
21,25,60,1,s0,10,nonbull,790,2533,-0.2702,-8.4
21,25,60,1,s0,15,all,1309,18478,-0.0447,-2.7
21,25,60,1,s0,15,bull,1272,15924,-0.0034,-0.2
21,25,60,1,s0,15,nonbull,790,2533,-0.2979,-8.9
21,25,60,1,s20,10,all,1268,12943,-0.038,-2.0
21,25,60,1,s20,10,bull,1228,11311,0.0164,0.8
21,25,60,1,s20,10,nonbull,654,1613,-0.3671,-9.8
21,25,60,1,s20,15,all,1267,12902,-0.0444,-2.3
21,25,60,1,s20,15,bull,1227,11270,0.0117,0.6
21,25,60,1,s20,15,nonbull,654,1613,-0.4108,-10.6
21,25,999,0,off,10,all,1329,14344,0.0436,2.5
21,25,999,0,off,10,bull,1274,10663,0.0808,4.1
21,25,999,0,off,10,nonbull,1015,3667,-0.0444,-1.6
21,25,999,0,off,15,all,1328,14297,0.0347,1.9
21,25,999,0,off,15,bull,1273,10616,0.076,3.8
21,25,999,0,off,15,nonbull,1015,3667,-0.0702,-2.4
21,25,999,0,s0,10,all,1302,12228,-0.0109,-0.6
21,25,999,0,s0,10,bull,1259,9745,0.0291,1.5
21,25,999,0,s0,10,nonbull,893,2470,-0.1452,-4.6
21,25,999,0,s0,15,all,1301,12195,-0.013,-0.7
21,25,999,0,s0,15,bull,1258,9712,0.0263,1.3
21,25,999,0,s0,15,nonbull,893,2470,-0.1381,-4.2
21,25,999,0,s20,10,all,1270,12880,-0.044,-2.4
21,25,999,0,s20,10,bull,1231,11253,0.0107,0.5
21,25,999,0,s20,10,nonbull,651,1610,-0.363,-9.7
21,25,999,0,s20,15,all,1269,12839,-0.0528,-2.8
21,25,999,0,s20,15,bull,1230,11212,0.004,0.2
21,25,999,0,s20,15,nonbull,651,1610,-0.4047,-10.4
21,25,999,1,off,10,all,1388,30191,-0.0051,-0.4
21,25,999,1,off,10,bull,1327,23130,0.0094,0.6
21,25,999,1,off,10,nonbull,1087,7024,-0.0641,-2.9
21,25,999,1,off,15,all,1388,30110,-0.0092,-0.6
21,25,999,1,off,15,bull,1327,23049,0.0068,0.4
21,25,999,1,off,15,nonbull,1087,7024,-0.0751,-3.2
21,25,999,1,s0,10,all,1313,18556,-0.042,-2.6
21,25,999,1,s0,10,bull,1276,16000,-0.0041,-0.2
21,25,999,1,s0,10,nonbull,790,2535,-0.2723,-8.5
21,25,999,1,s0,15,all,1312,18500,-0.0461,-2.7
21,25,999,1,s0,15,bull,1275,15944,-0.0045,-0.3
21,25,999,1,s0,15,nonbull,790,2535,-0.2999,-9.0
21,25,999,1,s20,10,all,1271,12965,-0.0394,-2.1
21,25,999,1,s20,10,bull,1231,11331,0.0151,0.8
21,25,999,1,s20,10,nonbull,654,1615,-0.3701,-9.9
21,25,999,1,s20,15,all,1270,12924,-0.0457,-2.4
21,25,999,1,s20,15,bull,1230,11290,0.0105,0.5
21,25,999,1,s20,15,nonbull,654,1615,-0.4139,-10.7
21,30,60,0,off,10,all,1281,9107,-0.0294,-1.4
21,30,60,0,off,10,bull,1211,6811,-0.0009,-0.0
21,30,60,0,off,10,nonbull,920,2290,-0.0973,-2.9
21,30,60,0,off,15,all,1280,9081,-0.0374,-1.8
21,30,60,0,off,15,bull,1209,6785,-0.0149,-0.7
21,30,60,0,off,15,nonbull,920,2290,-0.1101,-3.2
21,30,60,0,s0,10,all,1234,6858,-0.0716,-3.2
21,30,60,0,s0,10,bull,1192,5723,-0.0273,-1.2
21,30,60,0,s0,10,nonbull,632,1127,-0.2306,-5.4
21,30,60,0,s0,15,all,1233,6840,-0.0807,-3.5
21,30,60,0,s0,15,bull,1191,5705,-0.0384,-1.6
21,30,60,0,s0,15,nonbull,632,1127,-0.2526,-5.7
21,30,60,0,s20,10,all,1215,8849,-0.092,-4.3
21,30,60,0,s20,10,bull,1181,7900,-0.0438,-2.0
21,30,60,0,s20,10,nonbull,457,938,-0.332,-6.9
21,30,60,0,s20,15,all,1213,8818,-0.1075,-4.9
21,30,60,0,s20,15,bull,1179,7869,-0.0561,-2.5
21,30,60,0,s20,15,nonbull,457,938,-0.3676,-7.3
21,30,60,1,off,10,all,1315,16604,-0.0271,-1.6
21,30,60,1,off,10,bull,1262,12860,-0.03,-1.6
21,30,60,1,off,10,nonbull,958,3725,-0.053,-1.8
21,30,60,1,off,15,all,1314,16561,-0.0315,-1.8
21,30,60,1,off,15,bull,1261,12817,-0.0396,-2.1
21,30,60,1,off,15,nonbull,958,3725,-0.0555,-1.8
21,30,60,1,s0,10,all,1235,10776,-0.0779,-3.9
21,30,60,1,s0,10,bull,1205,9555,-0.0403,-2.0
21,30,60,1,s0,10,nonbull,522,1207,-0.2988,-6.8
21,30,60,1,s0,15,all,1234,10743,-0.0894,-4.4
21,30,60,1,s0,15,bull,1204,9522,-0.0495,-2.4
21,30,60,1,s0,15,nonbull,522,1207,-0.3392,-7.5
21,30,60,1,s20,10,all,1211,8904,-0.0873,-4.1
21,30,60,1,s20,10,bull,1178,7950,-0.0389,-1.8
21,30,60,1,s20,10,nonbull,458,941,-0.3463,-7.3
21,30,60,1,s20,15,all,1209,8873,-0.1017,-4.7
21,30,60,1,s20,15,bull,1176,7919,-0.05,-2.2
21,30,60,1,s20,15,nonbull,458,941,-0.3851,-7.9
21,30,999,0,off,10,all,1273,9042,-0.0269,-1.3
21,30,999,0,off,10,bull,1205,6760,0.0007,0.0
21,30,999,0,off,10,nonbull,915,2276,-0.0954,-2.9
21,30,999,0,off,15,all,1272,9016,-0.0344,-1.6
21,30,999,0,off,15,bull,1203,6734,-0.0121,-0.5
21,30,999,0,off,15,nonbull,915,2276,-0.1095,-3.2
