tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tf,period,std,depth,direction,variant,total_n
,,,,,,,,,,EUR_USD,H4,10,2.0,0.75,long,A,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.75,long,B,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.75,long,C,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.75,long,D,0
389.0,0.022722112088613612,0.04906108161112851,-0.07343760786919826,0.1188818320464255,167.0,-0.07475141361744948,0.07520530550844198,-0.2221538124139958,0.07265098517909681,EUR_USD,H4,10,2.0,0.0,short,A,556
388.0,-0.07710632612714921,0.07451774520731139,-0.22316110673347953,0.0689484544791811,167.0,-0.13716924477753592,0.11792980928532894,-0.36831167097678064,0.0939731814217088,EUR_USD,H4,10,2.0,0.0,short,B,555
279.0,0.05763953778067513,0.057713213885094206,-0.05547836143410951,0.17075743699545978,120.0,-0.08318285012361354,0.08907890168172702,-0.2577774974197985,0.09141179717257142,EUR_USD,H4,10,2.0,0.0,short,C,399
279.0,-0.016246638853714742,0.06923462114877665,-0.15194649630531698,0.11945321859788749,120.0,-0.05380463944089383,0.10681351928559647,-0.2631591372406629,0.15554985835887525,EUR_USD,H4,10,2.0,0.0,short,D,399
153.0,-0.0025131950984243895,0.0783231673521518,-0.15602660310864191,0.15100021291179316,66.0,0.00544442783227432,0.11823355528872481,-0.22629334053362632,0.23718219619817493,EUR_USD,H4,10,2.0,0.1,short,A,219
152.0,0.09016828248713757,0.15239526491350264,-0.20852643674332758,0.3888630017176027,66.0,-0.08444676593152886,0.2314657190292714,-0.5381195752289009,0.3692260433658431,EUR_USD,H4,10,2.0,0.1,short,B,218
77.0,0.13342762183022863,0.10836464373271852,-0.07896707988589965,0.3458223235463569,33.0,-0.14835641069803926,0.16498579617280698,-0.47172857119674094,0.1750157498006624,EUR_USD,H4,10,2.0,0.1,short,C,110
77.0,0.16504730210811186,0.14084390322447973,-0.1110067482118684,0.4411013524280921,33.0,-0.031204583841011848,0.20514949058268214,-0.43329758538306884,0.3708884177010452,EUR_USD,H4,10,2.0,0.1,short,D,110
,,,,,,,,,,EUR_USD,H4,10,2.0,0.25,short,A,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.25,short,B,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.25,short,C,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.25,short,D,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.5,short,A,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.5,short,B,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.5,short,C,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.5,short,D,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.75,short,A,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.75,short,B,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.75,short,C,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.75,short,D,0
102.0,0.1676428587091603,0.094644989340787,-0.017861320398782216,0.35314703781710277,44.0,0.041613470893646205,0.14930826011206907,-0.2510307189260092,0.3342576607133016,EUR_USD,H4,10,2.5,0.0,long,A,146
102.0,-0.05099455725014496,0.148016523816275,-0.341106943930044,0.23911782942975407,44.0,-0.09127890982359922,0.23559802670775956,-0.5530510421708079,0.3704932225236095,EUR_USD,H4,10,2.5,0.0,long,B,146
87.0,0.13419778933789742,0.1035753886928682,-0.06880997250012424,0.3372055511759191,38.0,0.03341862809933982,0.16228807535174905,-0.2846659995900883,0.35150325578876795,EUR_USD,H4,10,2.5,0.0,long,C,125
87.0,-0.06690191921643725,0.13674239759541856,-0.3349170185034576,0.20111318007058315,38.0,-0.20608159997845724,0.20779815604608207,-0.6133659858287781,0.2012027858718636,EUR_USD,H4,10,2.5,0.0,long,D,125
,,,,,,,,,,EUR_USD,H4,10,2.5,0.1,long,A,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.1,long,B,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.1,long,C,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.1,long,D,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.25,long,A,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.25,long,B,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.25,long,C,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.25,long,D,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.5,long,A,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.5,long,B,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.5,long,C,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.5,long,D,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.75,long,A,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.75,long,B,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.75,long,C,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.75,long,D,0
103.0,-0.006317164946669439,0.09544130432511254,-0.19338212142389002,0.18074779153055112,45.0,-0.006319463173014582,0.14099184159908731,-0.2826634727072257,0.27002454636119655,EUR_USD,H4,10,2.5,0.0,short,A,148
103.0,0.11205153048792026,0.22285967593307995,-0.3247534343409164,0.548856495316757,45.0,-0.3194906676166064,0.19619908753752238,-0.7040408791901502,0.06505954395693747,EUR_USD,H4,10,2.5,0.0,short,B,148
82.0,-0.0446507624130551,0.1062635169633423,-0.252927255661206,0.1636257308350958,36.0,0.02907033347579535,0.15682762935811853,-0.278311820066117,0.3364524870177077,EUR_USD,H4,10,2.5,0.0,short,C,118
82.0,0.0647427372459075,0.15717819119933837,-0.24332651750479567,0.3728119919966107,36.0,-0.3214157152421192,0.20137986314999104,-0.7161202470161017,0.0732888165318632,EUR_USD,H4,10,2.5,0.0,short,D,118
,,,,,,,,,,EUR_USD,H4,10,2.5,0.1,short,A,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.1,short,B,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.1,short,C,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.1,short,D,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.25,short,A,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.25,short,B,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.25,short,C,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.25,short,D,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.5,short,A,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.5,short,B,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.5,short,C,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.5,short,D,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.75,short,A,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.75,short,B,0
,,,,,,,,,,EUR_USD,H4,10,2.5,0.75,short,C,0
