tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
23,0.09454234381555411,0.20768277956116424,-0.3125159041243278,0.501600591755436,11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,AUD_CAD,r3,True,short,34
520,0.0839762675008873,0.042864961790674914,-3.9057608835532664e-05,0.16799159261061014,223,0.005009518124878587,0.06547016199977228,-0.12331199939467509,0.13333103564443227,EUR_AUD,s1,False,long,743
229,0.03320275973116604,0.06484880419188467,-0.09390089648492791,0.16030641594726,99,0.14320340175155608,0.09761125606656505,-0.048114660138911414,0.33452146364202356,EUR_AUD,s1,True,long,328
186,0.06878536424619841,0.07147605262254951,-0.07130769889399863,0.20887842738639545,80,0.10241794599849534,0.1078567401386279,-0.10898126467321533,0.313817156670206,EUR_AUD,s2,False,long,266
85,0.2112989830694288,0.10362327690449134,0.00819736033662577,0.4144006058022318,37,0.23834344016130918,0.15788048824888964,-0.07110231680651449,0.5477891971291329,EUR_AUD,s2,True,long,122
58,0.13046844241620167,0.12939554465028577,-0.12314682509835842,0.3840837099307618,25,0.23317464565784607,0.19347154410633013,-0.146029580790561,0.6123788721062531,EUR_AUD,s3,False,long,83
28,0.14285714285714285,0.1904761904761905,-0.2304761904761905,0.5161904761904762,13,0.38461538461538464,0.2664693550105965,-0.1376645512053845,0.9068953204361538,EUR_AUD,s3,True,long,41
482,-0.030586007767345203,0.04453117543399531,-0.11786711161797601,0.056695096083285615,208,0.11233889067518824,0.06730451968300478,-0.019577967903501137,0.2442557492538776,EUR_AUD,r1,False,short,690
206,-0.008198263511981965,0.06806152398590916,-0.1415988505243639,0.12520232350039998,89,0.22116330799109396,0.10207499176242683,0.02109632413673737,0.4212302918454506,EUR_AUD,r1,True,short,295
192,-0.045545701865753414,0.07049857690378357,-0.1837229125971692,0.09263150886566238,83,-0.05757541570061109,0.10773343266527725,-0.2687329437245545,0.15358211232333233,EUR_AUD,r2,False,short,275
