tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
352,0.07642351155777766,0.052805830468312914,-0.02707591616011565,0.17992293927567096,152,0.04228575912943394,0.08112576064481465,-0.11672073173440278,0.20129224999327067,AUD_CHF,r2,False,short,504
203,0.05982372995281168,0.06966432835562986,-0.07671835362422283,0.1963658135298462,88,-0.045454545454545456,0.10710044078906904,-0.25537140940112074,0.16446231849202986,AUD_CHF,r2,True,short,291
105,0.2816940679092598,0.09368634600340792,0.09806882974258033,0.4653193060759393,46,-0.029009999267158193,0.1475617463265468,-0.31823102206718995,0.26021102353287356,AUD_CHF,r3,False,short,151
62,0.23512705049148847,0.12357119361013506,-0.007072488984376263,0.4773265899673532,27,0.06168666791521197,0.19248384641622282,-0.3155816710605847,0.4389550068910087,AUD_CHF,r3,True,short,89
921,-0.05945219398167348,0.030187027106455627,-0.11861876711032651,-0.0002856208530204532,396,0.09961462649246794,0.042692891065413886,0.015936560004256722,0.18329269298067916,AUD_NZD,s1,False,long,1317
550,-0.05310254132943465,0.0391129537197207,-0.12976393062008723,0.02355884796121792,236,0.1355606147978929,0.05387932322401638,0.02995714127882078,0.241164088316965,AUD_NZD,s1,True,long,786
355,0.025432872466500184,0.048567770045591305,-0.06975995682285878,0.12062570175585914,153,0.11532736882937769,0.07049207562447742,-0.02283709939459805,0.25349183705335343,AUD_NZD,s2,False,long,508
207,0.052417020601894,0.06445054484388445,-0.07390604729211951,0.1787400884959075,90,0.027273887992851294,0.09241389562271594,-0.15385734742767196,0.20840512341337455,AUD_NZD,s2,True,long,297
122,0.08541378692992757,0.08279156003865953,-0.07685767074584512,0.24768524460570027,53,0.0308386728129114,0.12036228548028939,-0.2050714067284558,0.2667487523542786,AUD_NZD,s3,False,long,175
76,0.10337177230800909,0.10510734717544111,-0.10263862815585548,0.30938217277187363,33,0.008137327694430587,0.16340192241957838,-0.312130440247943,0.3284050956368042,AUD_NZD,s3,True,long,109
910,0.05734163123275607,0.030843992660079547,-0.003112594380999846,0.11779585684651198,391,-0.14429473911046553,0.0414798291566331,-0.2255952042574664,-0.06299427396346466,AUD_NZD,r1,False,short,1301
498,0.029255342093574707,0.041171847538283596,-0.05144147908146114,0.10995216326861056,214,-0.14022253723520658,0.05573512703837916,-0.24946338623042974,-0.03098168823998343,AUD_NZD,r1,True,short,712
377,0.12985596115658904,0.047604381367963404,0.03655137367538076,0.22316054863779733,162,-0.15351474597620599,0.06661191384308078,-0.2840740971086443,-0.022955394843767657,AUD_NZD,r2,False,short,539
213,0.1362742896537204,0.06355792351687026,0.011700759560654708,0.2608478197467861,92,-0.16780077160308324,0.0886861513963178,-0.3416256283398661,0.006024085133699647,AUD_NZD,r2,True,short,305
141,0.0945572442122371,0.07876290331290736,-0.05981804628106133,0.24893253470553553,61,-0.20985617878382193,0.10844413241614116,-0.4224066783194586,0.0026943207518147494,AUD_NZD,r3,False,short,202
76,0.0390754868596769,0.10961314258923188,-0.17576627261521757,0.25391724633457136,33,-0.004508047582424233,0.15847867736261623,-0.315126255213152,0.30611016004830355,AUD_NZD,r3,True,short,109
901,-0.05241802030435925,0.032491823731121625,-0.11610199481735764,0.011265954208639135,387,0.15365132322507727,0.04838590561581419,0.05881494821808146,0.24848769823207306,AUD_CAD,s1,False,long,1288
506,-0.044423123747632645,0.043375401097599776,-0.1294389098989282,0.04059266240366291,217,0.23542851289968328,0.06437393818983707,0.10925559404760263,0.36160143175176396,AUD_CAD,s1,True,long,723
350,-0.0031301605274695024,0.0519204857806908,-0.10489431265762347,0.09863399160268446,150,0.00902505860685075,0.07782392112050059,-0.1435098267893304,0.1615599440030319,AUD_CAD,s2,False,long,500
186,-0.004457373906516468,0.07152949250833443,-0.14465517922285195,0.13574043140981903,80,-0.06519189415522586,0.10735499355781278,-0.2756076815285389,0.14522389321808718,AUD_CAD,s2,True,long,266
129,0.007181204104127839,0.0849605013425464,-0.1593413785272631,0.17370378673551878,56,0.15318367877038228,0.13078181629813093,-0.10314868117395434,0.40951603871471887,AUD_CAD,s3,False,long,185
78,0.028744638814667513,0.10979880262562872,-0.18646101433156476,0.2439502919608998,34,0.22879004086626495,0.16842274248477113,-0.10131853440388647,0.5588986161364163,AUD_CAD,s3,True,long,112
900,0.06289979901544376,0.032545764911011604,-0.0008899002101389747,0.1266894982410265,387,0.006352065307685538,0.04820640620038722,-0.08813249084507342,0.10083662146044449,AUD_CAD,r1,False,short,1287
485,0.08914789045560388,0.04424297589074027,0.0024316577097529546,0.1758641232014548,208,-0.06592627320081217,0.06652369233675369,-0.1963127101808494,0.06446016377922507,AUD_CAD,r1,True,short,693
335,0.043436938248703275,0.05331097322446646,-0.06105256927125098,0.14792644576865754,144,-0.06490834847512689,0.07829844102807043,-0.21837329289014493,0.08855659593989115,AUD_CAD,r2,False,short,479
194,-0.00186173357826768,0.0702311250146035,-0.13951473860689056,0.1357912714503552,84,-0.08466253495854474,0.10272935935381372,-0.2860120792920196,0.11668700937493014,AUD_CAD,r2,True,short,278
104,0.053291889968686515,0.09513722038042415,-0.1331770619769448,0.23976084191431785,45,-0.023020151589609395,0.14394401161274661,-0.30515041435059276,0.25911011117137395,AUD_CAD,r3,False,short,149
62,-0.030927400936125567,0.12372011168614003,-0.27341881984096,0.21156401796870888,27,-0.2807192538286085,0.18116920106465126,-0.635810887915325,0.07437238025810794,AUD_CAD,r3,True,short,89
916,0.05771495207432255,0.032262393179084185,-0.005519338556682449,0.12094924270532754,394,0.00927000835118221,0.04886299818850944,-0.0865014680982963,0.10504148480066071,EUR_AUD,s1,False,long,1310
501,0.01974526868277285,0.04366184509620216,-0.06583194770578339,0.10532248507132909,216,-0.0010944089142839832,0.066164186513695,-0.13077621448112617,0.12858739665255822,EUR_AUD,s1,True,long,717
352,0.04560434366303407,0.05228981183517045,-0.05688368753390002,0.14809237485996815,152,-0.019393686273176988,0.07756027968728102,-0.17141183446024777,0.13262446191389382,EUR_AUD,s2,False,long,504
199,0.11641726135015537,0.0691297652673045,-0.019077078573761425,0.2519116012740722,86,-0.05414385847984376,0.10317189365833497,-0.25636077005018026,0.14807305309049276,EUR_AUD,s2,True,long,285
107,0.06174118184174821,0.09579428595643016,-0.1260156186328549,0.2494979823163513,47,0.06503198110702796,0.1439317552478715,-0.2170742591788002,0.3471382213928561,EUR_AUD,s3,False,long,154
64,0.07054115107027054,0.1249177437889566,-0.1742976267560844,0.31537992889662547,28,0.04523018330510215,0.18903021602464534,-0.32526904010320273,0.415729406713407,EUR_AUD,s3,True,long,92
856,-0.011816043140870008,0.033378076949118984,-0.07723707396114321,0.05360498767940319,367,0.0983660324011144,0.04999578885968986,0.00037428623612227596,0.19635777856610653,EUR_AUD,r1,False,short,1223
473,-0.00018224649884509674,0.044712592588267354,-0.08781892797184912,0.08745443497415892,203,0.2003397226559186,0.06614112425689972,0.07070311911239516,0.32997632619944206,EUR_AUD,r1,True,short,676
370,0.014405680654535548,0.05074994183238394,-0.08506420533693698,0.11387556664600806,159,-0.09649108181281475,0.07533729845821746,-0.244152186790921,0.05117002316529147,EUR_AUD,r2,False,short,529
198,-0.007756922090135857,0.06961852081003611,-0.14420922287780666,0.12869537869753492,86,-0.07018224764963499,0.10200557889089762,-0.2701131822757943,0.12974868697652434,EUR_AUD,r2,True,short,284
124,-0.03475366957631306,0.0885196693703617,-0.20825222154222198,0.13874488238959584,54,0.040174269504895825,0.1358646876452379,-0.22612051827977048,0.30646905728956214,EUR_AUD,r3,False,short,178
63,0.029179175732771935,0.12530705312628987,-0.21642264839475622,0.2747809998603001,28,0.277023927803612,0.18338298848565923,-0.08240672962828005,0.6364545852355041,EUR_AUD,r3,True,short,91
