tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
72,-0.09240292467922856,0.11657156945555962,-0.3208832008121254,0.13607735145366828,31,0.16106384719131964,0.16676060435913492,-0.1657869373525848,0.4879146317352241,GBP_AUD,r2,True,short,103
28,-0.25763555461658877,0.18189259668413663,-0.6141450441174965,0.098873934884319,12,0.5080913864963451,0.2289885254989977,0.05927387651830962,0.9569088964743806,GBP_AUD,r3,False,short,40
20,-0.060689776463224335,0.22240942733399832,-0.496612254037861,0.3752327011114124,9,0.7885662931062378,0.14057764816199722,0.5130341027087233,1.0640984835037524,GBP_AUD,r3,True,short,29
211,-0.05511770052449012,0.06728674296039963,-0.18699971672687338,0.07676431567789316,91,0.07975055179324333,0.10076303307603397,-0.11774499303578326,0.27724609662226996,GBP_CAD,s1,False,long,302
169,-0.061703401731751886,0.07512370021424358,-0.20894585415166933,0.08553905068816554,73,0.0938180541585287,0.11183834849577726,-0.1253851088931947,0.3130212172102521,GBP_CAD,s1,True,long,242
58,-0.14627608674378725,0.13005195597442135,-0.4011779204536531,0.1086257469660786,26,-0.049934091317927906,0.1899344536178363,-0.4222056204088871,0.32233743777303125,GBP_CAD,s2,False,long,84
46,-0.09747854415521001,0.14698250144872385,-0.38556424699470876,0.19060715868428874,21,0.06435405688364833,0.21271786105079024,-0.35257295077590056,0.4812810645431972,GBP_CAD,s2,True,long,67
21,-0.047619047619047616,0.22335313142016333,-0.48539118520256774,0.3901530899644725,10,-0.3884037532089222,0.30318581766659625,-0.9826479558354508,0.20584044941760649,GBP_CAD,s3,False,long,31
18,-0.10466875178273455,0.23971880654957306,-0.5745176126198978,0.36518010905442866,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,GBP_CAD,s3,True,long,26
198,0.06180942129473578,0.06937081227009347,-0.07415737075464741,0.197776213344119,85,-0.07728550013989335,0.10519529637392887,-0.2834682810327939,0.12889728075300722,GBP_CAD,r1,False,short,283
154,0.09782475703538904,0.07868537174816018,-0.05639857159100489,0.25204808566178294,66,-0.023776780483195998,0.1187365467325135,-0.2565004120789225,0.20894685111253047,GBP_CAD,r1,True,short,220
67,0.054999710076609455,0.1203694405084255,-0.18092439331990454,0.29092381347312346,29,0.2860454916486075,0.1779549079036144,-0.06274612784247674,0.6348371111396918,GBP_CAD,r2,False,short,96
57,-0.058501041928570655,0.13135678520214306,-0.31596034092477104,0.19895825706762976,25,0.33181277031238465,0.18856793912925984,-0.037780390380964646,0.7014059310057339,GBP_CAD,r2,True,short,82
18,-0.4164315679187275,0.21484385283430815,-0.8375255194739715,0.004662383636516498,9,-0.03312757420750229,0.3115348189671067,-0.6437358193830315,0.5774806709680268,GBP_CAD,r3,False,short,27
16,-0.366155989391568,0.22827960647117773,-0.8135840180750764,0.08127203929194032,7,-0.19370735434662922,0.38272645713632414,-0.9438512103338246,0.5564365016405661,GBP_CAD,r3,True,short,23
205,0.07784753548728511,0.06853029851753824,-0.05647184960708983,0.21216692058166003,88,0.040180238107395946,0.10249150628580105,-0.1607031142127741,0.24106359042756598,GBP_CHF,s1,False,long,293
168,0.025737579234210415,0.07627247272785391,-0.12375646731238324,0.17523162578080406,72,0.049109179909039485,0.1122320738821237,-0.17086568489992296,0.26908404471800196,GBP_CHF,s1,True,long,240
70,-0.11260523305442298,0.11740763116569658,-0.34272419013918826,0.11751372403034231,31,-0.19816361995940418,0.17598611941609876,-0.5430964140149577,0.14676917409614937,GBP_CHF,s2,False,long,101
57,-0.13079698319832123,0.1304387686268012,-0.38645696970685156,0.12486300331020911,25,-0.28,0.19595917942265426,-0.6640799916684024,0.10407999166840232,GBP_CHF,s2,True,long,82
21,-0.14285714285714285,0.22131333406899525,-0.5766312776323735,0.29091699191808784,10,0.18054866162612945,0.3025123350774278,-0.412375515125629,0.7734728383778879,GBP_CHF,s3,False,long,31
18,0.1111111111111111,0.24103384202072908,-0.36131521924951787,0.58353744147174,8,0.04769316878214769,0.36263640406553654,-0.663074183186304,0.7584605207505993,GBP_CHF,s3,True,long,26
208,0.09267463450562262,0.06713692029178814,-0.03891372926628213,0.22426299827752738,90,0.09176962057104995,0.10050701043875172,-0.10522411988890343,0.2887633610310033,GBP_CHF,r1,False,short,298
161,0.13393886179747616,0.07573250488306181,-0.014496847773324995,0.2823745713682773,69,0.13524000523661917,0.11438334917279032,-0.08895135914204985,0.3594313696152882,GBP_CHF,r1,True,short,230
77,0.017654944745780554,0.10936186963009271,-0.19669431972920115,0.23200420922076226,34,0.2053123687571438,0.16125313643870662,-0.1107437786627212,0.5213685161770087,GBP_CHF,r2,False,short,111
61,-0.07035520504174327,0.12323086287926226,-0.31188769628509727,0.17117728620161077,27,0.1519898725429358,0.18861407177439646,-0.21769370813488123,0.5216734532207529,GBP_CHF,r2,True,short,88
20,0.06646410344744651,0.22372490826664915,-0.3720367167551858,0.5049649236500788,9,-0.2857727609061844,0.3247250484479411,-0.922233855864149,0.3506883340517801,GBP_CHF,r3,False,short,29
19,0.01733063520783842,0.23006940227695552,-0.4336053932549944,0.4682666636706712,9,-0.2857727609061844,0.3247250484479411,-0.922233855864149,0.3506883340517801,GBP_CHF,r3,True,short,28
225,-0.07452525276311664,0.06588972327604778,-0.2036691103841703,0.054618604857937014,97,0.037930097845102644,0.09614189805627114,-0.15050802234518879,0.2263682180353941,GBP_NZD,s1,False,long,322
179,-0.07452940185173206,0.07403554972932504,-0.21963907932120913,0.070580275617745,78,0.097002049545008,0.10749810442801941,-0.11369423513391004,0.30769833422392606,GBP_NZD,s1,True,long,257
88,0.02169256991760038,0.10473957160868495,-0.18359699043542213,0.2269821302706229,39,0.1092598689137104,0.15414622765150712,-0.19286673728324358,0.4113864751106644,GBP_NZD,s2,False,long,127
75,-0.014547384630015715,0.11311697753743147,-0.23625666060338138,0.20716189134334997,33,0.11958668706791516,0.16886398113668813,-0.2113867159599936,0.4505600900958239,GBP_NZD,s2,True,long,108
32,-0.22043270065856335,0.17229476167205857,-0.5581304335357982,0.1172650322186714,14,-0.14285714285714207,0.2745054065230068,-0.6808877396422355,0.3951734539279513,GBP_NZD,s3,False,long,46
24,-0.29391026754475114,0.19472063576611837,-0.6755627136463431,0.08774217855684086,11,-0.2727272727272717,0.30424000964875514,-0.8690376916388318,0.3235831461842884,GBP_NZD,s3,True,long,35
251,0.057196591755236594,0.06272602071795061,-0.0657464088519466,0.18013959236241978,108,-0.24138106605343163,0.09053539356833394,-0.41883043744736614,-0.06393169465949711,GBP_NZD,r1,False,short,359
