sample,tp_pct,sl_pct,max_hold,hold_days,total_R_A,win_rate_A,n_A,total_R_B,win_rate_B,n_B,total_R_recent_holdout,win_rate_recent_holdout,n_recent_holdout,total_R,n_trades,win_rate,profitable_all_eras
long_mr_full6,0.004,0.015,120,20,277.7387995397626,0.7894860031832226,21362,269.68111915102503,0.7875615469190688,20919,229.8279523338914,0.7905666284044662,9583,777.2478710246791,51864,0.7889094554989974,True
long_mr_strong4,0.004,0.02,36,6,107.89889385600453,0.7355015197568389,16450,198.0795119502768,0.7365353944301313,16302,68.77808083159117,0.7213890014862856,7401,374.7564866378725,40153,0.7333200508056683,True
long_mr_full6,0.004,0.02,36,6,175.48668240973691,0.7358861529819305,21362,263.4375271580001,0.737511353315168,20919,85.96770906725715,0.7200206398348813,9690,524.8919186349941,51971,0.7335821900675377,True
long_mr_strong4,0.004,0.02,60,10,146.31822376217704,0.7773860182370821,16450,223.38350874348802,0.780333701386333,16302,86.05369915277777,0.7689501418727199,7401,455.75543165844283,40153,0.7770278684033571,True
long_mr_full6,0.004,0.02,60,10,230.98903240481218,0.7788128452392098,21362,291.93438225615444,0.7816817247478369,20919,132.85475552010485,0.768937048503612,9690,655.7781701810715,51971,0.7781262627234419,True
long_mr_strong4,0.004,0.02,84,14,173.92347433880758,0.8037082066869301,16450,222.49667368901166,0.8033370138633297,16302,123.37239456745729,0.798946088366437,7401,519.7925425952765,40153,0.8026797499564167,True
long_mr_full6,0.004,0.02,84,14,267.3667114353261,0.8041381893081172,21362,304.7925717566968,0.8044839619484679,20919,183.26459635080582,0.7991744066047471,9690,755.4238795428288,51971,0.8033518693117315,True
long_mr_strong4,0.004,0.02,120,20,180.0421501782375,0.8218237082066869,16450,216.72955159336277,0.8197153723469512,16302,120.90841385157762,0.8164435946462715,7322,517.6801156231779,40074,0.819983031391925,True
long_mr_full6,0.004,0.02,120,20,290.95494659759595,0.8237056455388072,21362,301.1466693734203,0.8209283426550026,20919,169.9545997902744,0.8171762496086821,9583,762.0562157612907,51864,0.8213789912077741,True
long_mr_strong4,0.006,0.006,36,6,12.266229165336771,0.5006079027355623,16450,293.1910980021304,0.5095080358238253,16302,147.89373647167923,0.509255506012701,7401,453.3510636391464,40153,0.5058152566433393,True
long_mr_full6,0.006,0.006,36,6,225.28527916019397,0.5047280217208127,21362,427.87604430184575,0.5104928533868732,20919,174.05479436155548,0.5084623323013416,9690,827.2161178235951,51971,0.5077447037771065,True
long_mr_strong4,0.006,0.006,60,10,12.777693065333835,0.4998176291793313,16450,284.22555657092045,0.5079131394920868,16302,125.32709412794449,0.5081745710039184,7401,422.3303437641988,40153,0.5046447338928598,True
long_mr_full6,0.006,0.006,60,10,228.25917640446605,0.5045875854320756,21362,402.9527930798361,0.5084851092308428,20919,169.0601362502532,0.5079463364293085,9690,800.2721057345553,51971,0.5067826287737393,True
long_mr_strong4,0.006,0.006,84,14,61.904844045296045,0.5027963525835867,16450,243.67065591882985,0.5072997178260337,16302,140.20795463884537,0.5077692203756249,7401,445.7834546029713,40153,0.5055413045102483,True
long_mr_full6,0.006,0.006,84,14,293.8705452763092,0.5076771837842898,21362,356.5641000788682,0.5079114680434055,20919,190.945276788834,0.5080495356037151,9690,841.3799221440114,51971,0.5078409112774432,True
long_mr_strong4,0.006,0.006,120,20,71.8316196591777,0.5024316109422492,16450,264.58716273466314,0.5078517973254816,16302,82.73729284097973,0.5042338158972958,7322,419.1560752348206,40074,0.5049658132454958,True
long_mr_full6,0.006,0.006,120,20,323.9331539470918,0.5077239958805355,21362,380.487269350354,0.5088197332568478,20919,125.68207108303737,0.5051653970572889,9583,830.1024943804831,51864,0.5076931975937066,True
long_mr_strong4,0.006,0.008,36,6,-10.59797931267778,0.5578723404255319,16450,219.20462685541582,0.5645933014354066,16302,182.28232900205333,0.5666801783542764,7401,390.8889765447914,40153,0.5622244913206983,False
long_mr_full6,0.006,0.008,36,6,164.19157356619937,0.5617451549480386,21362,367.0783356958742,0.5669965103494431,20919,207.5769360617785,0.5647058823529412,9690,738.8468453238521,51971,0.5644109214754383,True
long_mr_strong4,0.006,0.008,60,10,-17.126316391684046,0.5644376899696049,16450,211.34153146599118,0.5715863084284137,16302,183.18683703965795,0.5772192946899067,7401,377.40205211396506,40153,0.5696959131322691,False
long_mr_full6,0.006,0.008,60,10,145.5501836462562,0.5687201572886433,21362,361.88198079183917,0.5736889908695444,20919,230.63227535797566,0.5754385964912281,9690,738.064439796071,51971,0.5719728310019049,True
long_mr_strong4,0.006,0.008,84,14,44.833216953672476,0.5711854103343466,16450,165.69505403835166,0.574101337259232,16302,211.25994645013998,0.5828942034860154,7401,421.7882174421641,40153,0.5745274325704182,True
long_mr_full6,0.006,0.008,84,14,208.75349949828794,0.5750866023780545,21362,310.2836909350308,0.5763181796452985,20919,274.2117326182632,0.5823529411764706,9690,793.248923051582,51971,0.57693713801928,True
long_mr_strong4,0.006,0.008,120,20,51.499685397892335,0.5718541033434651,16450,170.77264937226533,0.576002944423997,16302,157.88046848018263,0.5796230538104343,7322,380.1528032503403,40074,0.574961321555123,True
long_mr_full6,0.006,0.008,120,20,228.4350604032485,0.5761632805917049,21362,321.36463763528076,0.5785171375304747,20919,212.9354640006195,0.5801940937076072,9583,762.7351620391488,51864,0.5778574733919482,True
long_mr_strong4,0.006,0.01,36,6,58.5112233617219,0.5951367781155015,16450,213.8794062835974,0.599803705066863,16302,149.22768612386642,0.5957303067153087,7401,421.61831576918576,40153,0.5971409359201056,True
long_mr_full6,0.006,0.01,36,6,208.99028382223614,0.5983522142121525,21362,362.7781947254979,0.6026100674028395,20919,189.71633148988803,0.5951496388028896,9690,761.4848100376221,51971,0.5994689345981413,True
long_mr_strong4,0.006,0.01,60,10,101.67488766183068,0.6128267477203647,16450,181.44262025281483,0.6144644828855356,16302,172.4789614546695,0.6181597081475476,7401,455.596469369315,40153,0.6144746345229497,True
long_mr_full6,0.006,0.01,60,10,258.11916534035754,0.6164684954592267,21362,332.55488769499357,0.6172379176824896,20919,240.79880417487777,0.6180598555211558,9690,831.4728572102289,51971,0.6170749071597622,True
long_mr_strong4,0.006,0.01,84,14,141.28095613994014,0.6237689969604864,16450,151.92278058006633,0.6207827260458839,16302,225.54802550408007,0.6307255776246453,7401,518.7517622240865,40153,0.6238388165267851,True
long_mr_full6,0.006,0.01,84,14,301.485605010077,0.6270480292107481,21362,306.20661736468713,0.6236435776088723,20919,310.67432482953495,0.6312693498452012,9690,918.3665472042991,51971,0.6264647591926267,True
long_mr_strong4,0.006,0.01,120,20,158.2577214113936,0.6273556231003039,16450,136.69185439056423,0.6255060728744939,16302,188.50691926315534,0.6323408904670855,7322,483.4564950651132,40074,0.6275140989170035,True
