tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
650,-0.0065455689693580755,0.03760409783913484,-0.08024960073406237,0.06715846279534621,279,0.10290042814094981,0.04916640869807723,0.00653426709271844,0.19926658918918116,EUR_GBP,14,100,2,short,929
501,-0.03660393921348644,0.043255887100916504,-0.12138547793128278,0.0481775995043099,216,0.10093277859285231,0.05624524865414483,-0.009307908769271567,0.21117346595497619,EUR_GBP,14,100,3,short,717
343,-0.01175374916403002,0.051656472384318176,-0.11300043503729364,0.0894929367092336,148,0.09846047741757637,0.06767354259059834,-0.03417966605999638,0.2311006208951491,EUR_GBP,14,100,4,short,491
440,0.008917040703541955,0.046272755069625277,-0.0817775592329236,0.09961164064000749,189,0.07879316276088488,0.060021551243254534,-0.038849077675894,0.19643540319766378,EUR_GBP,14,150,1,short,629
393,0.02918672504878634,0.04878741263907015,-0.06643660372379115,0.12481005382136384,169,0.08455094447459044,0.06332558982778597,-0.03956721158787005,0.20866910053705093,EUR_GBP,14,150,2,short,562
338,-0.013499283361957434,0.052806646932984626,-0.1170003113506073,0.09000174462669243,146,0.10038076228357432,0.06782524359197248,-0.03255671515669173,0.23331823972384036,EUR_GBP,14,150,3,short,484
250,-0.010367358570189453,0.06077561559994402,-0.12948756514607973,0.10875284800570083,108,0.12876404805575106,0.0781995068747558,-0.024506985418770305,0.28203508153027246,EUR_GBP,14,150,4,short,358
199,0.0012081264906799959,0.06902027211879914,-0.13407160686216632,0.13648785984352632,86,0.1330472908124306,0.08955219227262827,-0.04247500604192081,0.308569587666782,EUR_GBP,14,200,1,short,285
186,0.03656550126537242,0.07046207631571984,-0.10154016831343846,0.1746711708441833,81,0.11979856746322104,0.09165227402870547,-0.05983988963304168,0.29943702455948373,EUR_GBP,14,200,2,short,267
170,-0.0027120634199726597,0.07430718398714488,-0.14835414403477662,0.1429300171948313,74,0.09192546103220046,0.09720253319848851,-0.09859150403683702,0.28244242610123793,EUR_GBP,14,200,3,short,244
