cell,direction,level,pair_or_POOLED,regime_bucket,regime,half,n,mean_R,NW_SE,NW_CI_low
cci,short,pair,CAD_CHF,ATR_low_0_33,low,h2,206,0.2712851891810365,0.10633434112819316,0.06286988056977791
cci,short,pair,CAD_CHF,ATR_mid_33_67,mid,h2,177,0.17602210590773992,0.08022681768966167,0.018777543236003058
cci,short,pair,CAD_JPY,ATR_high_67_100,high,full,322,-0.0916500832007763,0.039498348171617105,-0.16906684561714583
cci,short,pair,CAD_JPY,ATR_low_0_33,low,full,499,0.06688978693749006,0.05748539195684016,-0.04578158129791665
cci,short,pair,CAD_JPY,ATR_mid_33_67,mid,full,393,-0.07678975363857139,0.06629366977199243,-0.20672534639167656
cci,short,pair,CAD_JPY,ATR_high_67_100,high,h1,175,-0.11163868527031325,0.06977164306638456,-0.248391105680427
cci,short,pair,CAD_JPY,ATR_low_0_33,low,h1,234,0.11965811965811966,0.075894034036925,-0.02909418705425333
cci,short,pair,CAD_JPY,ATR_mid_33_67,mid,h1,181,-0.12317343975880807,0.06169404328388789,-0.24409376459522833
cci,short,pair,CAD_JPY,ATR_high_67_100,high,h2,147,-0.06785412835608948,0.06602957630683584,-0.19727209791748773
cci,short,pair,CAD_JPY,ATR_low_0_33,low,h2,265,0.020294353516254908,0.07469834143153142,-0.12611439568954666
cci,short,pair,CAD_JPY,ATR_mid_33_67,mid,h2,212,-0.037188587658558016,0.12443937661796117,-0.2810897658297619
cci,short,pair,CHF_JPY,ATR_high_67_100,high,full,418,-0.17723041010419968,0.08057902894830307,-0.3351653068428737
cci,short,pair,CHF_JPY,ATR_low_0_33,low,full,486,-0.08867052317963373,0.04975967709287976,-0.18619949028167804
cci,short,pair,CHF_JPY,ATR_mid_33_67,mid,full,335,-0.14938048271135582,0.13292438317440733,-0.40991227373319417
cci,short,pair,CHF_JPY,ATR_high_67_100,high,h1,208,-0.0683365376900878,0.09038355243258556,-0.24548830045795547
cci,short,pair,CHF_JPY,ATR_low_0_33,low,h1,234,-0.10185447338838122,0.0708367146510515,-0.24069443410444216
cci,short,pair,CHF_JPY,ATR_mid_33_67,mid,h1,161,0.012814343670976702,0.1984436705089222,-0.37613525052651076
cci,short,pair,CHF_JPY,ATR_high_67_100,high,h2,210,-0.2850871980191296,0.08095415624243714,-0.44375734425430635
cci,short,pair,CHF_JPY,ATR_low_0_33,low,h2,252,-0.07642828370008249,0.0804819042143419,-0.23417281596019263
cci,short,pair,CHF_JPY,ATR_mid_33_67,mid,h2,174,-0.29945730482374394,0.0652039636881924,-0.427257073652601
cci,short,pair,EUR_CAD,ATR_high_67_100,high,full,393,-0.02869625948203894,0.05759521896863468,-0.1415828886605629
cci,short,pair,EUR_CAD,ATR_low_0_33,low,full,427,0.003564933690378303,0.05274318397217152,-0.09981170689507789
cci,short,pair,EUR_CAD,ATR_mid_33_67,mid,full,350,-0.030785741233996588,0.03385025987463022,-0.09713225058827182
cci,short,pair,EUR_CAD,ATR_high_67_100,high,h1,191,0.042581802649399515,0.07768817709880699,-0.10968702446426218
cci,short,pair,EUR_CAD,ATR_low_0_33,low,h1,206,0.060205694946117064,0.05905324054976274,-0.055538656531417915
cci,short,pair,EUR_CAD,ATR_mid_33_67,mid,h1,186,-0.04599858290274917,0.05605029267528413,-0.15585715654630605
cci,short,pair,EUR_CAD,ATR_high_67_100,high,h2,202,-0.09609284298255748,0.05314562098409087,-0.2002582601113756
cci,short,pair,EUR_CAD,ATR_low_0_33,low,h2,221,-0.0492314320050162,0.06661812095730607,-0.1798029490813361
cci,short,pair,EUR_CAD,ATR_mid_33_67,mid,h2,164,-0.013532152512118652,0.026915631495499814,-0.06628679024329828
cci,short,pair,EUR_CHF,ATR_high_67_100,high,full,346,0.08667799447982652,0.03953264983422182,0.009194000804751759
cci,short,pair,EUR_CHF,ATR_low_0_33,low,full,451,-0.042823923578786886,0.07886459712056064,-0.19739853393508575
cci,short,pair,EUR_CHF,ATR_mid_33_67,mid,full,328,0.1311533661666579,0.1102225439024323,-0.08488281988210941
cci,short,pair,EUR_CHF,ATR_high_67_100,high,h1,181,0.09912212250430229,0.059842185063585,-0.0181685602203243
cci,short,pair,EUR_CHF,ATR_low_0_33,low,h1,235,-0.15556569109690804,0.11086834477267396,-0.372867646851349
cci,short,pair,EUR_CHF,ATR_mid_33_67,mid,h1,167,-0.01762955581056817,0.14492698711691634,-0.3016864505597242
cci,short,pair,EUR_CHF,ATR_high_67_100,high,h2,165,0.07302716313176523,0.05030410238246295,-0.025568877537862147
cci,short,pair,EUR_CHF,ATR_low_0_33,low,h2,216,0.07983494385990972,0.08289502538667304,-0.08263930589796945
cci,short,pair,EUR_CHF,ATR_mid_33_67,mid,h2,161,0.2854809933107372,0.07534502450801343,0.13780474527503084
cci,short,pair,EUR_GBP,ATR_high_67_100,high,full,411,0.0318482081941536,0.07189587678174952,-0.10906771029807547
cci,short,pair,EUR_GBP,ATR_low_0_33,low,full,401,-0.0030850309439231244,0.06916510901303029,-0.1386486446094625
cci,short,pair,EUR_GBP,ATR_mid_33_67,mid,full,309,0.04213177506789091,0.06804489008370612,-0.09123620949617307
cci,short,pair,EUR_GBP,ATR_high_67_100,high,h1,213,-0.07183396513642275,0.08126375555439565,-0.23111092602303823
cci,short,pair,EUR_GBP,ATR_low_0_33,low,h1,188,0.006154999789939426,0.13176088805402159,-0.25209634079594284
cci,short,pair,EUR_GBP,ATR_mid_33_67,mid,h1,165,-0.026539655228599607,0.07075605659472588,-0.16522152615426233
cci,short,pair,EUR_GBP,ATR_high_67_100,high,h2,198,0.14338509162553117,0.048654374742887065,0.04802251712947253
cci,short,pair,EUR_GBP,ATR_low_0_33,low,h2,213,-0.011240551028271279,0.0436861886343688,-0.09686548075163412
cci,short,pair,EUR_GBP,ATR_mid_33_67,mid,h2,144,0.1208177889492863,0.060390529612922295,0.002452350907958603
cci,short,pair,EUR_NOK,ATR_high_67_100,high,full,386,0.05532498632974383,0.04899912729021745,-0.04071330315908237
cci,short,pair,EUR_NOK,ATR_low_0_33,low,full,403,-0.12953151692514667,0.06440523360123872,-0.25576577478357454
cci,short,pair,EUR_NOK,ATR_mid_33_67,mid,full,345,-0.10038711580701679,0.05433874372627064,-0.20689105351050724
