row_type,sample,formulation,sleeve,direction,metric,regime_bucket,regime,L,n,mean_R,NW_SE,NW_CI_low,cluster_SE,cluster_CI_low,cluster_CI_high,baseline_n,sleeve_n,excess_mean_R,excess_NW_SE,excess_NW_CI_low,excess_cluster_SE,excess_cluster_CI_low,note
excess,sleeve_minus_all_bars_long,atr_over_price,long_mr_strong4,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,40153,-0.035647783060974755,0.02067107618625769,-0.07616309238603983,,,,270381.0,40153.0,-0.013902287725124609,0.02468201758991607,-0.0622790422013601,0.011061210811970942,-0.03558226091658766,positive excess means sleeve is above unconditional all-bars long baseline
excess,sleeve_minus_all_bars_long,atr_over_price,long_mr_strong4,long,low_mid_mean,low_mid_mean,low_mid_mean,22,25623,0.015911015948963807,0.012719861731443679,-0.009019913044665803,,,,180254.0,25623.0,0.008701462928121281,0.015351171656767436,-0.021386833519142893,0.00666260956901328,-0.004357251827144748,positive excess means sleeve is above unconditional all-bars long baseline
curve,deduped_sleeve,atr_over_price,long_mr_strong4,short,bucket_mean,ATR_low_0_33,low,22,14217,0.02824506480186746,0.017153236642638296,-0.005375279017703599,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_strong4,short,bucket_mean,ATR_mid_33_67,mid,22,14089,-0.02856708796991792,0.01689606281381851,-0.0616833710850022,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_strong4,short,bucket_mean,ATR_high_67_100,high,22,13871,0.007415498335777072,0.0163531691198692,-0.024636713139166558,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_strong4,short,low_mid_mean,low_mid_mean,low_mid_mean,22,28306,-3.2559037660714436e-05,0.011976473874506477,-0.02350644783169341,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_strong4,short,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,42177,-0.007448057373437787,0.020269732774010115,-0.047176733610497616,0.011777729930622734,-0.030532408037458346,0.01563629329058277,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_full6,long,bucket_mean,ATR_low_0_33,low,22,16018,-0.003240510640978637,0.016153783178545263,-0.034901925670927356,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_full6,long,bucket_mean,ATR_mid_33_67,mid,22,17321,0.04162715207200303,0.015581870146516475,0.011086686584830738,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_full6,long,bucket_mean,ATR_high_67_100,high,22,18632,0.057723133189388494,0.014742648058554391,0.02882754299462189,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_full6,long,low_mid_mean,low_mid_mean,low_mid_mean,22,33339,0.020070110129037123,0.011129487274737183,-0.0017436849294477537,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_full6,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,51971,-0.03765302306035137,0.018471901872220264,-0.07385795072990309,0.010694014561091997,-0.05861329160009168,-0.016692754520611055,,,,,,,,
