tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
23,0.19866473024566597,0.1890796148269315,-0.17193131481511978,0.5692607753064517,10,-0.2,0.32659863237109044,-0.8401333194473373,0.4401333194473372,USD_CAD,100,3,short,33
639,-0.07587336706567285,0.03801521159506365,-0.1503831817919976,-0.0013635523393480953,275,-0.0003087670264656659,0.05927228683237832,-0.11648244921792716,0.11586491516499584,USD_CHF,10,1,long,914
618,0.012878824782368781,0.038971240115779446,-0.06350480584455893,0.08926245540929649,265,0.0941119812519184,0.060397411861708376,-0.024266945997030012,0.21249090850086683,USD_CHF,10,1,short,883
209,-0.028683392084560937,0.0666117275575731,-0.1592423780974042,0.10187559392828233,90,0.001929089239952401,0.10210675246369678,-0.1982001455888933,0.20205832406879812,USD_CHF,10,2,long,299
207,0.13069762755958034,0.06604234879509778,0.0012546239211886911,0.260140631197972,89,0.035740433597428324,0.10497788984098504,-0.17001623049090234,0.24149709768575897,USD_CHF,10,2,short,296
58,-0.03188062200338888,0.12665312703187723,-0.28012075098586825,0.21635950697909048,25,-0.3487239175454886,0.1767243239803649,-0.6951035925470037,-0.0023442425439734182,USD_CHF,10,3,long,83
70,0.20421114213627892,0.11197022543282019,-0.015250499712048643,0.4236727839846065,30,-0.026674984351829408,0.18263258010998581,-0.3846348413674016,0.3312848726637428,USD_CHF,10,3,short,100
442,-0.03550754267628683,0.04577480211502191,-0.12522615482172977,0.054211069469156124,190,-0.018436066026519947,0.0710637015142966,-0.1577209209945413,0.12084878894150139,USD_CHF,20,1,long,632
437,-0.003356607514085523,0.04635432202061912,-0.094211078674499,0.08749786364632796,188,0.09835281616117415,0.0719388544231348,-0.042647338508170055,0.23935297083051837,USD_CHF,20,1,short,625
142,-0.03548897463134367,0.08020398441866651,-0.19268878409193005,0.12171083482924269,62,-0.028912527618904327,0.12373234129625457,-0.2714279165595633,0.21360286132175463,USD_CHF,20,2,long,204
150,0.062363147375618364,0.07889002848143911,-0.0922613084480023,0.21698760319923904,65,0.05250285098903615,0.12419525844055662,-0.19091985555445481,0.29592555753252714,USD_CHF,20,2,short,215
39,0.05977629174151671,0.15349869832841834,-0.24108115698218324,0.3606337404652167,17,-0.10573258138118101,0.24140349041581544,-0.5788834225961792,0.3674182598338172,USD_CHF,20,3,long,56
49,0.1494497281939444,0.13490820780539345,-0.11497035910462675,0.41386981549251556,22,-0.03637497866158556,0.2132554876424582,-0.4543557344408036,0.3816057771176325,USD_CHF,20,3,short,71
259,-0.05317985764828959,0.06032244906972635,-0.17141185782495325,0.06505214252837405,112,-0.007346466082194485,0.09230903160283216,-0.18827216802374552,0.17357923585935653,USD_CHF,55,1,long,371
253,-0.00563470269786983,0.06134196781322182,-0.1258649596117846,0.11459555421604495,109,0.15228090397102848,0.09363832003300601,-0.03125020329366329,0.33581201123572024,USD_CHF,55,1,short,362
81,-0.10818015100860628,0.10702691142934156,-0.3179528974101158,0.10159259539290319,35,-0.11557790823177005,0.16305559782358522,-0.43516687996599707,0.20401106350245696,USD_CHF,55,2,long,116
94,0.09555231683245967,0.10096582958790525,-0.1023407091598346,0.29344534282475393,41,-0.014324748432015873,0.15682934138763566,-0.32171025755178173,0.29306076068775,USD_CHF,55,2,short,135
