tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
41,0.024390243902439025,0.15806684630263076,-0.28542077485071726,0.33420126265559535,18,-0.4444444444444444,0.2172649691319564,-0.8702837839430789,-0.018605104945809914,AUD_USD,20,2,long,59
35,0.13205901330552514,0.16847456990552964,-0.19815114370931294,0.4622691703203632,15,-0.2,0.2618614682831909,-0.7132484778350541,0.3132484778350541,AUD_USD,20,2,short,50
17,0.058823529411764705,0.2495670992423109,-0.43032798510316467,0.547975043926694,8,-0.08273121642323056,0.3550550754761477,-0.77863916435648,0.6131767315100188,AUD_USD,20,3,long,25
11,0.2727272727272727,0.30424000964875475,-0.32358314618428663,0.869037691638832,6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,AUD_USD,20,3,short,17
39,0.1282051282051282,0.16088271677005372,-0.1871249966641771,0.4435352530744335,17,-0.058823529411764705,0.2495670992423109,-0.547975043926694,0.43032798510316467,AUD_USD,55,1,long,56
26,-0.15384615384615385,0.19761896274869428,-0.5411793208335947,0.23348701314128695,12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,AUD_USD,55,1,short,38
21,-0.047619047619047616,0.22335313142016333,-0.48539118520256774,0.3901530899644725,9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,AUD_USD,55,2,long,30
22,0.07373024844060817,0.21455365000681384,-0.34679490557274695,0.49425540245396327,10,-0.2,0.32659863237109044,-0.8401333194473373,0.4401333194473372,AUD_USD,55,2,short,32
9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,AUD_USD,55,3,long,14
9,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,AUD_USD,55,3,short,13
28,0.35714285714285715,0.17975796274454164,0.004817250163555553,0.7094684641221587,12,0.16666666666666666,0.2972941950052816,-0.41602995554368527,0.7493632888770185,AUD_USD,100,1,long,40
20,-0.1,0.22826577307580465,-0.5474009152285771,0.3474009152285771,9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,AUD_USD,100,1,short,29
13,-0.07692307692307693,0.2878197989826109,-0.6410498829289943,0.48720372908284043,6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,AUD_USD,100,2,long,19
18,0.14794190580279873,0.22862672438753398,-0.3001664739967679,0.5960502856023653,9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,AUD_USD,100,2,short,27
5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,AUD_USD,100,3,long,8
5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,AUD_USD,100,3,short,8
92,-0.05521082629071608,0.1003278185841376,-0.25185335071562576,0.1414316981341936,40,0.009727493004596677,0.14163833365702927,-0.2678836409631807,0.28733862697237406,USD_CAD,10,1,long,132
114,-0.13330427630304012,0.08784032983279853,-0.30547132277532524,0.038862770169245,49,-0.23905963776003725,0.12593472158114097,-0.48589169205907357,0.007772416538999044,USD_CAD,10,1,short,163
49,0.014533031872876521,0.1401305481152028,-0.260122842432921,0.28918890617867404,22,-0.21692065028816676,0.18941220628689115,-0.5881685746104734,0.15432727403413987,USD_CAD,10,2,long,71
50,-0.06094550919133539,0.13498578786764906,-0.32551765341192757,0.20362663502925676,22,-0.3443243663898263,0.18581275253105314,-0.7085173613506904,0.019868628571037883,USD_CAD,10,2,short,72
17,0.07846189681966807,0.24509224143642142,-0.4019188963957179,0.558842690035054,8,-0.19920114486907453,0.3214085818220232,-0.82916196524024,0.4307596755020909,USD_CAD,10,3,long,25
15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,7,-0.32288866543436334,0.35650135774165964,-1.0216313266080164,0.37585399573928957,USD_CAD,10,3,short,22
