tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
124,-0.06806880680270326,0.08472390270403697,-0.2341276561026157,0.0979900424972092,54,-0.17032296330391894,0.13118576083976763,-0.4274470545498635,0.0868011279420256,USD_CAD,100,1,short,178
44,0.19956417209709454,0.14210985949800373,-0.07897115251899278,0.47809949671318186,20,-0.225856783670203,0.20594961797569275,-0.6295180349025609,0.1778044675621548,USD_CAD,100,2,long,64
37,-0.003363209821528151,0.15557768932225183,-0.30829548089314174,0.3015690612500854,16,-0.23494656583492096,0.23775815292985342,-0.7009525455774337,0.23105941390759172,USD_CAD,100,2,short,53
16,-0.020524591131842906,0.25367560654679355,-0.5177287799635583,0.47667959769987245,7,-0.2852586236575727,0.359576563049562,-0.9900286872347142,0.41951143991956874,USD_CAD,100,3,long,23
12,-0.1854752350982568,0.2704347867049063,-0.7155274170398731,0.3445769468433595,6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,USD_CAD,100,3,short,18
453,-0.11405923528923335,0.045072552620746324,-0.20240143842589614,-0.025717032152570554,195,0.025501914266920167,0.07047964059018492,-0.11263818128984229,0.16364200982368263,USD_CHF,10,1,long,648
438,0.049411692096057114,0.04576985224214231,-0.04029721829854181,0.13912060249065605,189,0.04664246808470551,0.07168947401566025,-0.09386890098598857,0.1871538371553996,USD_CHF,10,1,short,627
133,-0.04626293832166127,0.08362171710760262,-0.21016150385256238,0.11763562720923985,57,-0.17977806604123325,0.1258748442640457,-0.4264927607987628,0.0669366287162963,USD_CHF,10,2,long,190
135,0.1706870463994974,0.08242351185194229,0.00913696316969051,0.3322371296293043,59,0.0659341819797784,0.1299143073530443,-0.1886978604321884,0.3205662243917452,USD_CHF,10,2,short,194
32,-0.07059516688907222,0.16950293780969308,-0.4028209249960707,0.2616305912179262,15,-0.4720865437177372,0.21479305335422855,-0.8930809282920251,-0.05109215914344922,USD_CHF,10,3,long,47
41,0.11482913981342151,0.1491409556806822,-0.17748713332071558,0.4071454129475586,18,-0.1111111111111111,0.24103384202072908,-0.58353744147174,0.36131521924951787,USD_CHF,10,3,short,59
322,-0.1035622725629954,0.05347989450006928,-0.2083828657831312,0.001258320657140391,138,-0.03041612031194265,0.08334557336537007,-0.193773444108068,0.13294120348418267,USD_CHF,20,1,long,460
312,0.016136192741271885,0.05452979595211699,-0.09074220732487741,0.12301459280742118,134,0.08726993304972123,0.08562362210509387,-0.08055236627626276,0.2550922323757052,USD_CHF,20,1,short,446
88,-0.06654604081986794,0.1016007153118317,-0.26568344283105805,0.1325913611913222,39,-0.05109896977898903,0.15890431897546828,-0.36255143497090686,0.2603534954129288,USD_CHF,20,2,long,127
98,0.03956313242889111,0.09834876397664384,-0.1532004449653308,0.23232670982311304,43,0.1369794589955099,0.15104884201156688,-0.15907627134716118,0.43303518933818097,USD_CHF,20,2,short,141
23,0.03221541998042124,0.19699824178095726,-0.353901133910255,0.41833197387109744,10,-0.09217949911553838,0.3148393844986938,-0.7092646927329782,0.5249056945019015,USD_CHF,20,3,long,33
28,0.1922627604261366,0.17460478941729088,-0.1499626268317535,0.5344881476840266,12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,USD_CHF,20,3,short,40
186,-0.17359868918166108,0.06975604795959058,-0.3103205431824586,-0.03687683518086354,80,-0.025828412599513927,0.10795102698054435,-0.23741242548138083,0.18575560028235297,USD_CHF,55,1,long,266
189,0.014530087195782157,0.07043178791149013,-0.1235162171107385,0.15257639150230282,82,0.061280258942883026,0.1099283086527533,-0.15417922601651343,0.2767397439022795,USD_CHF,55,1,short,271
56,-0.1750353169286017,0.12940939606118781,-0.4286777332085298,0.07860709935132643,24,-0.10028754639326881,0.20461338624343386,-0.5013297834303991,0.30075469064386157,USD_CHF,55,2,long,80
58,-0.0015162067519505717,0.1306862664715724,-0.2576612890362325,0.2546288755323313,25,0.15560466947227702,0.1975126747092894,-0.2315201729579302,0.5427295119024842,USD_CHF,55,2,short,83
