tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,pattern,strict,direction,total_n
235,0.10638297872340426,0.06500107368731689,-0.02101912570373686,0.23378508315054536,102,0.0,0.09950371902099892,-0.19502728928115787,0.19502728928115787,NZD_USD,bear_engulf,False,short,337
105,0.2,0.09607689228305229,0.011689291125217521,0.3883107088747825,45,-0.1111111111111111,0.14982219165849828,-0.40476260676176773,0.18254038453954552,NZD_USD,bear_engulf,True,short,150
333,-0.02902852881628534,0.054785681613457475,-0.13640846477866198,0.0783514071460913,144,0.0,0.0836242010007091,-0.16390343396138982,0.16390343396138982,USD_SEK,hammer,False,long,477
99,-0.0707070707070707,0.1007624256859803,-0.2682014250515921,0.12678728363745068,43,0.06976744186046512,0.15392735640216215,-0.23193017668777266,0.3714650604087029,USD_SEK,hammer,True,long,142
343,-0.04738607443965153,0.053939167287451274,-0.15310684232305602,0.058334693443752965,148,0.06756756756756757,0.08229012156736339,-0.09372107070446467,0.2288562058395998,USD_SEK,shooting_star,False,short,491
100,-0.07253423532800475,0.0997664454216559,-0.2680764683544503,0.1230079976984408,44,0.18181818181818182,0.14995674948249757,-0.1120970471675134,0.47573341080387704,USD_SEK,shooting_star,True,short,144
211,0.13337391447918714,0.06795968778538099,0.00017292641984040236,0.2665749025385339,91,-0.12087912087912088,0.1046363139713238,-0.3259662962629155,0.08420805450467377,USD_SEK,bull_engulf,False,long,302
96,0.25616375016519716,0.09817307603598119,0.06374452113467402,0.4485829791957203,42,-0.09523809523809523,0.15546387747761883,-0.39994729509422816,0.2094711046180377,USD_SEK,bull_engulf,True,long,138
236,-0.04412212125149395,0.06474245038773699,-0.17101732401145844,0.08277308150847054,102,0.04950390228084411,0.0988933501595034,-0.14432706403178255,0.24333486859347078,USD_SEK,bear_engulf,False,short,338
97,-0.14455091766441885,0.1002007233313867,-0.34094433539393676,0.05184250006509908,42,0.12022376268204998,0.1531613864490414,-0.17997255475807117,0.42042008012217114,USD_SEK,bear_engulf,True,short,139
373,-0.004498834901945389,0.05114069792128558,-0.10473460282766513,0.09573693302377435,161,-0.02334049035843351,0.07821613333261046,-0.17664411169035,0.129963130973483,AUD_CHF,hammer,False,long,534
117,-0.04870874854739053,0.0911577033495864,-0.22737784711257986,0.12996035001779882,51,0.08052023619590445,0.13958016903154974,-0.19305689510593302,0.3540973674977419,AUD_CHF,hammer,True,long,168
380,0.0247957955706997,0.05067093865185797,-0.07451924418694192,0.12411083532834133,163,0.04215886715761156,0.07796161391583205,-0.11064589611741926,0.19496363043264237,AUD_CHF,shooting_star,False,short,543
