tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,pattern,strict,direction,total_n
33,0.18470574599000547,0.1647978376042811,-0.13829801571438546,0.5077095076943964,15,0.16801856430942885,0.2202483419871256,-0.2636681859853373,0.5997053146041951,EUR_GBP,bull_engulf,False,long,48
11,0.0032311920735501195,0.2950909365662457,-0.5751470435962914,0.5816094277433917,6,0.05781919135599425,0.4040572736763169,-0.7341330650495869,0.8497714477615753,EUR_GBP,bull_engulf,True,long,17
56,0.07986255222756385,0.13046993047493227,-0.1758585115033034,0.33558361595843106,24,-0.14778710971249506,0.16454629507746155,-0.47029784806431973,0.17472362863932958,EUR_GBP,bear_engulf,False,short,80
10,0.31063515173574674,0.2990051777757801,-0.2754149967047823,0.8966853001762758,5,-0.9118898883410533,0.08811011165894657,-1.0845857071925886,-0.739194069489518,EUR_GBP,bear_engulf,True,short,15
172,0.011959267300313152,0.07476686348341237,-0.1345837851271751,0.1585023197278014,74,0.08331627533098383,0.11340889555190668,-0.13896515995075326,0.30559771061272095,EUR_JPY,hammer,False,long,246
51,0.1459849861612566,0.13528982506841644,-0.11918307097283964,0.41115304329535285,23,0.20660761639520075,0.2065320291292077,-0.19819516069804632,0.6114103934884478,EUR_JPY,hammer,True,long,74
137,-0.016721459915310977,0.08342590887012005,-0.18023624130074628,0.1467933214701243,59,-0.23118500404085784,0.12367147050227847,-0.4735810862253237,0.011211078143607972,EUR_JPY,shooting_star,False,short,196
30,-0.1331611002461792,0.17771601408728321,-0.4814844878572543,0.21516228736489593,14,-0.1915573848562969,0.2629871705410704,-0.7070122391167949,0.32389746940420105,EUR_JPY,shooting_star,True,short,44
37,-0.07153045987536602,0.15995159961779384,-0.38503559512624197,0.2419746753755099,17,-0.17647058823529413,0.24607647839237515,-0.6587804858843495,0.30583930941376114,EUR_JPY,bull_engulf,False,long,54
14,-0.09178017814755189,0.2668832153144098,-0.6148712801637951,0.4313109238686913,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,EUR_JPY,bull_engulf,True,long,20
39,-0.0615293180954554,0.15244535060950665,-0.36032220529008846,0.23726356909917765,18,-0.2222222222222222,0.23647127470752347,-0.6857059206489682,0.24126147620452376,EUR_JPY,bear_engulf,False,short,57
9,-0.29317732004265973,0.3256239359026497,-0.9314002344118532,0.3450455943265337,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,EUR_JPY,bear_engulf,True,short,13
175,0.05357087788787134,0.07533709816660593,-0.09408983451867628,0.20123159029441898,76,0.3859331850176841,0.10447043785378594,0.18117112682426365,0.5906952432111046,GBP_JPY,hammer,False,long,251
46,-0.025447056696128127,0.14744081734415507,-0.31443105869067206,0.2635369452984158,20,0.5,0.19867985355975656,0.11058748702287713,0.8894125129771229,GBP_JPY,hammer,True,long,66
123,-0.065029054061811,0.0899745481938316,-0.24137916852172095,0.11132106039809894,54,-0.07407407407407407,0.13698319904900533,-0.3425611442101245,0.19441299606197637,GBP_JPY,shooting_star,False,short,177
34,0.058823529411764705,0.173776222559058,-0.281777866803989,0.3994249256275184,15,-0.2,0.26186146828319085,-0.7132484778350541,0.313248477835054,GBP_JPY,shooting_star,True,short,49
43,-0.11627906976744186,0.15325664577635612,-0.4166620954890998,0.18410395595421614,19,0.2091326713655045,0.22406210070114588,-0.2300290460087414,0.6482943887397504,GBP_JPY,bull_engulf,False,long,62
14,0.14285714285714285,0.2745054065230065,-0.39517345392794984,0.6808877396422355,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,GBP_JPY,bull_engulf,True,long,20
49,0.22448979591836735,0.14065355869479818,-0.0511911791234371,0.5001707709601718,21,0.002300361313568874,0.21823001462040137,-0.4254304673424178,0.4300311899695555,GBP_JPY,bear_engulf,False,short,70
14,0.5714285714285714,0.22760785909019762,0.12531716761178407,1.0175399752453587,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,GBP_JPY,bear_engulf,True,short,21
163,-0.16020885802172158,0.07640481416364865,-0.3099622937824729,-0.010455422260970237,71,-0.00794778211318632,0.11283721076466001,-0.22910871521191992,0.2132131509855473,GBP_AUD,hammer,False,long,234
43,0.06976744186046512,0.15392735640216215,-0.23193017668777266,0.3714650604087029,19,-0.48730280444080687,0.19151554887870528,-0.8626732802430692,-0.11193232863854452,GBP_AUD,hammer,True,long,62
145,-0.011681864293926824,0.08210521302394927,-0.17260808182086737,0.14924435323301374,63,0.0248986996348332,0.1232840758121178,-0.21673808895691768,0.26653548822658407,GBP_AUD,shooting_star,False,short,208
37,-0.1891891891891892,0.16365677589716174,-0.5099564699476262,0.13157809156924782,17,0.029009067729125638,0.24330740596237233,-0.4478734479571241,0.5058915834153753,GBP_AUD,shooting_star,True,short,54
58,-0.0037175055607566922,0.1305599420270242,-0.2596149919337241,0.25217998081221077,25,0.38606162404822114,0.18021701553620412,0.0328362735972611,0.7392869744991812,GBP_AUD,bull_engulf,False,long,83
23,0.3326756783132839,0.1920737238681207,-0.04378882046823268,0.7091401770948005,10,0.6,0.26666666666666666,0.07733333333333337,1.1226666666666665,GBP_AUD,bull_engulf,True,long,33
47,0.11466241494822975,0.14211194026047466,-0.16387698796230055,0.39320181785876007,21,0.047037720284869224,0.213115775022708,-0.37066919875963844,0.46474463932937693,GBP_AUD,bear_engulf,False,short,68
11,0.2727272727272727,0.30424000964875475,-0.32358314618428663,0.869037691638832,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,GBP_AUD,bear_engulf,True,short,16
167,-0.09886112763333284,0.07518413756866839,-0.24622203726792286,0.048499782001257194,72,0.03118827136665281,0.11464348488239876,-0.19351295900284873,0.2558895017361543,GBP_CAD,hammer,False,long,239
54,-0.12110930418175456,0.13309625190748547,-0.3819779579204261,0.13975934955691696,24,-0.21221753215747285,0.1879144567330467,-0.5805298673542443,0.15609480303929862,GBP_CAD,hammer,True,long,78
146,-0.10768664317963345,0.08092093895661369,-0.2662916835345963,0.050918397175329394,63,-0.14792006773450145,0.11851736760326138,-0.3802141082368937,0.08437397276789085,GBP_CAD,shooting_star,False,short,209
43,-0.21378453763675004,0.14709738082905713,-0.502095404061702,0.07452632878820192,19,-0.192383953638956,0.2215489883088309,-0.6266199707242646,0.24185206344635257,GBP_CAD,shooting_star,True,short,62
56,-0.13558204987520536,0.1302290050789649,-0.39083089982997654,0.11966680007956584,25,0.2714793837645748,0.18801008626437382,-0.09702038531359786,0.6399791528427474,GBP_CAD,bull_engulf,False,long,81
18,-0.26603002159920713,0.2270212024312384,-0.7109915783644344,0.17893153516602012,9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,GBP_CAD,bull_engulf,True,long,27
52,0.09608566160828257,0.13802081529271878,-0.17443513636544622,0.3666064595820114,23,0.010524991363663515,0.20490519154303868,-0.39108918406069226,0.4121391667880193,GBP_CAD,bear_engulf,False,short,75
11,-0.45454545454545453,0.2816715160878121,-1.0066216260775662,0.09753071698665722,5,0.058671568105529204,0.45104584346157295,-0.8253782850791538,0.9427214212902122,GBP_CAD,bear_engulf,True,short,16
168,0.05332823586257703,0.07539907294955552,-0.09445394711855176,0.20111041884370584,72,-0.18775055788561248,0.10809577728352439,-0.39961828136132027,0.024117165590095302,GBP_CHF,hammer,False,long,240
44,0.048533968543286884,0.148838845014186,-0.24319016768451768,0.3402581047710915,20,-0.1605582558882966,0.20699962318439435,-0.5662775173297095,0.2451610055531163,GBP_CHF,hammer,True,long,64
142,0.14969887924660505,0.08237409807079031,-0.011754352972143944,0.31115211146535404,62,0.1635700347947075,0.11539357848236043,-0.06260137903071894,0.38974144862013393,GBP_CHF,shooting_star,False,short,204
35,0.16952162588420622,0.16652311844729192,-0.15686368627248592,0.49590693804089836,16,-0.037930904142727095,0.25109354087681046,-0.5300742442612756,0.4542124359758214,GBP_CHF,shooting_star,True,short,51
46,0.12721165649502653,0.1432858795140617,-0.1536286673525344,0.40805198034258744,21,-0.3333333333333333,0.21081851067789195,-0.7465376142620015,0.07987094759533492,GBP_CHF,bull_engulf,False,long,67
8,-0.34318237160707155,0.3306540599717366,-0.9912643291516753,0.3048995859375322,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,GBP_CHF,bull_engulf,True,long,12
42,-0.07853914279640058,0.15043135618491216,-0.3733846009188284,0.2163063153260273,18,-0.058612472828805405,0.23529421230491238,-0.5197891289464337,0.4025641832888229,GBP_CHF,bear_engulf,False,short,60
10,-0.11418673834702753,0.3142847301121385,-0.730184809366819,0.5018113326727639,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,GBP_CHF,bear_engulf,True,short,15
147,-0.03401360544217694,0.08271270109375477,-0.19613049958593629,0.1281032887015824,64,0.04073534526295134,0.11862960413763858,-0.1917786788468203,0.273249369372723,GBP_NZD,hammer,False,long,211
51,-0.09803921568627451,0.14074006623471658,-0.373889745506319,0.17781131413377,22,0.04535765079598639,0.21047223312454846,-0.36716792612812854,0.45788322772010137,GBP_NZD,hammer,True,long,73
115,-0.03808680739568451,0.09285347306835895,-0.22007961460966805,0.14390599981829902,50,-0.12331483193170242,0.13729657926784022,-0.3924161272966693,0.14578646343326443,GBP_NZD,shooting_star,False,short,165
33,-0.17076693843050886,0.17180711493831619,-0.5075088837096086,0.16597500684859087,15,-0.034756351910950285,0.2605276773489229,-0.5453905995148391,0.4758778956929386,GBP_NZD,shooting_star,True,short,48
43,-0.3807913087038214,0.13907254880951966,-0.6533735043704799,-0.10820911303716285,19,0.17541423420790775,0.21948957391622284,-0.254785330667889,0.6056137990837045,GBP_NZD,bull_engulf,False,long,62
11,-0.20955254299175358,0.29557398117956285,-0.7888775461036968,0.36977246012018955,5,0.8435940671426024,0.15640593285739474,0.5370384387421088,1.150149695543096,GBP_NZD,bull_engulf,True,long,16
43,0.10473380558352323,0.1500548852585966,-0.18937376952332607,0.39884138069037256,19,-0.6579263515241675,0.16141741236684243,-0.9743044797631786,-0.3415482232851563,GBP_NZD,bear_engulf,False,short,62
