tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,confirm,direction,total_n
634,258,319,57,0.44714038128249567,0.4065710783057309,0.4877096842592604,273,93,131,49,0.41517857142857145,0.3506486455946996,0.4797084972624433,USD_CAD,H4,10,1,short,907
220,97,99,24,0.49489795918367346,0.4249016035934117,0.5648943147739353,95,30,46,19,0.39473684210526316,0.2848425271444402,0.5046311570660861,USD_CAD,H4,10,2,short,315
72,35,26,11,0.5737704918032787,0.4496675675372991,0.6978734160692582,32,10,16,6,0.38461538461538464,0.19760916938857803,0.5716215998421912,USD_CAD,H4,10,3,short,104
455,195,216,44,0.4744525547445255,0.4261758609724576,0.5227292485165935,196,75,73,48,0.5067567567567568,0.4262086086365343,0.5873049048769793,USD_CAD,H4,20,1,long,651
155,71,72,12,0.4965034965034965,0.41455378335474713,0.5784532096522459,67,23,28,16,0.45098039215686275,0.31441402999179735,0.5875467543219282,USD_CAD,H4,20,2,long,222
54,26,24,4,0.52,0.3815179896159794,0.6584820103840207,24,8,12,4,0.4,0.1852927574579749,0.6147072425420251,USD_CAD,H4,20,3,long,78
457,185,236,36,0.43942992874109266,0.39201940059838725,0.48684045688379807,196,70,97,29,0.41916167664670656,0.3443246969433121,0.49399865635010104,USD_CAD,H4,20,1,short,653
150,63,72,15,0.4666666666666667,0.3825093380073147,0.5508239953260187,65,23,32,10,0.41818181818181815,0.28781983933186,0.5485437970317764,USD_CAD,H4,20,2,short,215
51,25,20,6,0.5555555555555556,0.4103703703703704,0.7007407407407408,23,9,12,2,0.42857142857142855,0.21691132368626131,0.6402315334565958,USD_CAD,H4,20,3,short,74
272,103,137,32,0.42916666666666664,0.36654593974805916,0.4917873935852741,117,43,49,25,0.4673913043478261,0.365436757629941,0.5693458510657112,USD_CAD,H4,55,1,long,389
86,43,38,5,0.5308641975308642,0.42218296146623,0.6395454335954984,37,10,17,10,0.37037037037037035,0.188217975393852,0.5525227653468887,USD_CAD,H4,55,2,long,123
30,14,15,1,0.4827586206896552,0.3008854149362746,0.6646318264430358,13,3,7,3,0.3,0.015969015774687012,0.584030984225313,USD_CAD,H4,55,3,long,43
268,105,136,27,0.43568464730290457,0.3730817243261504,0.49828757027965875,116,43,60,13,0.4174757281553398,0.3222377674867417,0.5127136888239379,USD_CAD,H4,55,1,short,384
88,40,39,9,0.5063291139240507,0.3960793333964272,0.6165788944516741,38,11,23,4,0.3235294117647059,0.16627676772784217,0.48078205580156963,USD_CAD,H4,55,2,short,126
33,18,9,6,0.6666666666666666,0.48885185570907297,0.8444814776242603,15,6,9,0,0.4,0.15207743144279912,0.647922568557201,USD_CAD,H4,55,3,short,48
212,85,101,26,0.45698924731182794,0.38539851502024003,0.5285799796034159,91,30,39,22,0.43478260869565216,0.3178123727011917,0.5517528446901125,USD_CAD,H4,100,1,long,303
