pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,n,w,l,t,wr_decisive,ci_low,ci_high
AUD_USD,H4,55,2,0.01,0.02,1/2,0.33333333333333337,long,131,31,88,12,0.2605042016806723,0.18164401292198123,0.33936439043936334
AUD_USD,H4,55,2,0.01,0.03,1/3,0.25,long,131,16,91,24,0.14953271028037382,0.08196159419409156,0.2171038263666561
AUD_USD,H4,55,3,0.01,0.01,1/1,0.5,long,48,24,22,2,0.5217391304347826,0.37738264995083104,0.6660956109187341
AUD_USD,H4,55,3,0.01,0.02,1/2,0.33333333333333337,long,48,9,31,8,0.225,0.09558989606680629,0.3544101039331937
AUD_USD,H4,55,3,0.01,0.03,1/3,0.25,long,48,5,32,11,0.13513513513513514,0.024977785943386885,0.2452924843268834
AUD_USD,H4,55,1,0.01,0.01,1/1,0.5,short,381,170,203,8,0.45576407506702415,0.40522057612009454,0.5063075740139538
AUD_USD,H4,55,1,0.01,0.02,1/2,0.33333333333333337,short,381,91,239,51,0.27575757575757576,0.22754006254327203,0.3239750889718795
AUD_USD,H4,55,1,0.01,0.03,1/3,0.25,short,381,51,246,84,0.1717171717171717,0.12882539475537963,0.2146089486789638
AUD_USD,H4,55,2,0.01,0.01,1/1,0.5,short,130,65,64,1,0.5038759689922481,0.4175943727294284,0.5901575652550677
AUD_USD,H4,55,2,0.01,0.02,1/2,0.33333333333333337,short,130,33,83,14,0.28448275862068967,0.20237860969595625,0.3665869075454231
AUD_USD,H4,55,2,0.01,0.03,1/3,0.25,short,130,19,87,24,0.1792452830188679,0.10622664966742151,0.2522639163703143
AUD_USD,H4,55,3,0.01,0.01,1/1,0.5,short,46,24,21,1,0.5333333333333333,0.3875685642660633,0.6790981024006033
AUD_USD,H4,55,3,0.01,0.02,1/2,0.33333333333333337,short,46,12,28,6,0.3,0.1579845078873435,0.44201549211265645
AUD_USD,H4,55,3,0.01,0.03,1/3,0.25,short,46,6,30,10,0.16666666666666666,0.0449251878916781,0.2884081454416552
AUD_USD,H4,100,1,0.01,0.01,1/1,0.5,long,280,132,147,1,0.4731182795698925,0.41453207018403565,0.5317044889557494
AUD_USD,H4,100,1,0.01,0.02,1/2,0.33333333333333337,long,280,70,186,24,0.2734375,0.21883637191764066,0.32803862808235934
AUD_USD,H4,100,1,0.01,0.03,1/3,0.25,long,280,27,192,61,0.1232876712328767,0.0797442653699838,0.1668310770957696
AUD_USD,H4,100,2,0.01,0.01,1/1,0.5,long,97,50,46,1,0.5208333333333334,0.4208993635244678,0.620767303142199
