tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,tr_edge,tr_edge_ci_low,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,te_edge,te_edge_ci_low,pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,total_n
60,7,34,19,0.17073170731707318,0.05555391104353362,0.28590950359061273,-0.1626016260162602,-0.27777942228979974,26,1,13,12,0.07142857142857142,0.0,0.20633594706089184,-0.261904761904762,-0.33333333333333337,EUR_USD,H4,100,2,0.01,0.02,1/2,0.33333333333333337,short,86
14,5,7,2,0.4166666666666667,0.13772189581554434,0.6956114375177891,-0.08333333333333331,-0.36227810418445566,6,4,2,0,0.6666666666666666,0.28946449079611114,1.0,0.16666666666666663,-0.21053550920388886,EUR_USD,H4,100,3,0.01,0.01,1/1,0.5,short,20
14,2,7,5,0.2222222222222222,0.0,0.49383883252136757,-0.11111111111111116,-0.33333333333333337,6,2,2,2,0.5,0.010000000000000009,0.99,0.16666666666666663,-0.32333333333333336,EUR_USD,H4,100,3,0.01,0.02,1/2,0.33333333333333337,short,20
633,314,301,18,0.510569105691057,0.4710605212528918,0.5500776901292221,0.010569105691056957,-0.028939478747108227,272,127,127,18,0.5,0.43850933109646045,0.5614906689035395,0.0,-0.06149066890353955,GBP_USD,H4,10,1,0.01,0.01,1/1,0.5,long,905
633,159,385,89,0.2922794117647059,0.2540597667740168,0.330499056755395,-0.04105392156862747,-0.07927356655931656,272,60,139,73,0.3015075376884422,0.23774589722887418,0.3652691781480102,-0.031825795644891186,-0.09558743610445919,GBP_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,long,905
220,106,106,8,0.5,0.43269332366514235,0.5673066763348577,0.0,-0.06730667633485765,95,49,35,11,0.5833333333333334,0.4779021200199093,0.6887645466467575,0.08333333333333337,-0.022097879980090718,GBP_USD,H4,10,2,0.01,0.01,1/1,0.5,long,315
220,56,132,32,0.2978723404255319,0.23249906027171813,0.3632456205793457,-0.03546099290780147,-0.10083427306161524,95,22,40,33,0.3548387096774194,0.23573922751930654,0.4739381918355322,0.021505376344086002,-0.09759410581402683,GBP_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,long,315
60,30,28,2,0.5172413793103449,0.3886376022059932,0.6458451564146965,0.017241379310344862,-0.1113623977940068,26,14,11,1,0.56,0.36541631723086343,0.7545836827691367,0.06000000000000005,-0.13458368276913657,GBP_USD,H4,10,3,0.01,0.01,1/1,0.5,long,86
60,18,33,9,0.35294117647058826,0.2217834047494987,0.4840989481916778,0.019607843137254888,-0.11154992858383467,26,4,13,9,0.23529411764705882,0.03365055539969364,0.436937679894424,-0.09803921568627455,-0.29968277793363973,GBP_USD,H4,10,3,0.01,0.02,1/2,0.33333333333333337,long,86
612,321,274,17,0.5394957983193277,0.4994452542303427,0.5795463424083127,0.0394957983193277,-0.0005547457696573055,263,116,129,18,0.47346938775510206,0.4109476854005906,0.5359910901096135,-0.026530612244897944,-0.08905231459940938,GBP_USD,H4,10,1,0.01,0.01,1/1,0.5,short,875
612,161,348,103,0.3163064833005894,0.2759064281621816,0.35670653843899724,-0.017026850032743956,-0.05742690517115179,263,45,145,73,0.23684210526315788,0.1763893738879854,0.29729483663833034,-0.09649122807017549,-0.15694395944534797,GBP_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,short,875
191,95,92,4,0.5080213903743316,0.4363659156041095,0.5796768651445537,0.008021390374331583,-0.06363408439589052,83,29,52,2,0.35802469135802467,0.2536177883008579,0.46243159441519144,-0.14197530864197533,-0.2463822116991421,GBP_USD,H4,10,2,0.01,0.01,1/1,0.5,short,274
191,44,114,33,0.27848101265822783,0.20858551445066564,0.34837651086579,-0.05485232067510554,-0.12474781888266773,83,8,54,21,0.12903225806451613,0.04558531906526864,0.21247919706376361,-0.20430107526881724,-0.28774801426806473,GBP_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,short,274
