tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,k_period,d_period,threshold,recovery,direction,total_n
154,-0.001388649753774233,0.07840922252464361,-0.15507072590207568,0.15229342639452723,67,-0.16211100541573834,0.11877531024416647,-0.3949106134943046,0.07068860266282795,EUR_USD,21,3,15,2,long,221
98,0.14527105413189406,0.09546935759127573,-0.04184888674700635,0.3323909950107945,43,-0.01597978444929905,0.15101090141071496,-0.31196115121430035,0.28000158231570227,EUR_USD,21,3,15,3,long,141
52,0.4119936671093059,0.11945141598117079,0.17786889178621115,0.6461184424324007,23,-0.21739130434782608,0.20810192223064325,-0.6252710719198868,0.19048846322423466,EUR_USD,21,3,15,4,long,75
373,0.052080356708647635,0.04970312878087674,-0.04533777570187077,0.14949848911916602,161,0.12375370281524228,0.07620662806226541,-0.02561128818679792,0.2731186938172825,EUR_USD,21,3,20,1,long,534
175,0.023655294190285465,0.0734064645420419,-0.12022137631211667,0.1675319646926876,76,-0.19485218149493444,0.10979405671817091,-0.4100485326625494,0.020344169672680545,EUR_USD,21,3,20,2,long,251
114,0.1599698535519792,0.0888926554686118,-0.014259751166499912,0.3341994582704583,50,-0.03374261462639719,0.14017278546563994,-0.30848127413905146,0.24099604488625706,EUR_USD,21,3,20,3,long,164
56,0.4182798337443555,0.11519210791663335,0.19250330222775414,0.6440563652609569,25,-0.2,0.2,-0.5920000000000001,0.192,EUR_USD,21,3,20,4,long,81
420,0.04648303496488263,0.04678462102555019,-0.04521482224519575,0.13818089217496102,181,0.11007926051521552,0.07220808602587807,-0.03144858809550549,0.25160710912593653,EUR_USD,21,3,25,1,long,601
200,0.009491647415506056,0.068768465867048,-0.12529454568390802,0.14427784051492015,86,-0.17219495108854674,0.10398852568451666,-0.3760124614301994,0.03162255925310592,EUR_USD,21,3,25,2,long,286
126,0.15412954421684735,0.08460933650268732,-0.011704755328419775,0.3199638437621145,55,0.023870350339638923,0.1337923834183038,-0.23836272116023655,0.28610342183951437,EUR_USD,21,3,25,3,long,181
62,0.41005920467232104,0.11057472308564303,0.1933327474244607,0.6267856619201814,28,-0.14285714285714285,0.1904761904761905,-0.5161904761904762,0.2304761904761905,EUR_USD,21,3,25,4,long,90
455,0.025435009650675806,0.04508042486428321,-0.06292262308331928,0.1137926423846709,196,0.07350676553479313,0.06961805445221898,-0.06294462119155608,0.20995815226114234,EUR_USD,21,3,30,1,long,651
228,-0.009304838350063755,0.06394976850793381,-0.13464638462561404,0.11603670792548652,99,-0.2000885433698487,0.09665291209116336,-0.38952825106852884,-0.010648835671168505,EUR_USD,21,3,30,2,long,327
137,0.1767396776879561,0.08094971197965098,0.018078242207840184,0.335401113168072,60,0.03159764152173461,0.1274206343795521,-0.2181468018621875,0.2813420849056567,EUR_USD,21,3,30,3,long,197
69,0.3829517491258537,0.10682971316556948,0.17356551132133755,0.5923379869303699,30,-0.2,0.18194353045893685,-0.5566093196995162,0.1566093196995162,EUR_USD,21,3,30,4,long,99
280,0.04404158305799734,0.05798501765780088,-0.06960905155129239,0.15769221766728708,120,0.021892806359481543,0.08795444172165176,-0.1504978994149559,0.19428351213391898,EUR_USD,21,3,15,1,short,400
154,0.058912315682348275,0.07684151763149107,-0.09169705887537422,0.20952169024007078,67,0.20596859357663252,0.11703930388708694,-0.02342844204205788,0.43536562919532296,EUR_USD,21,3,15,2,short,221
81,-0.0689752292039302,0.1089972958723686,-0.2826099291137727,0.14465947070591226,36,0.1366971279355721,0.15991690388719595,-0.17674000368333198,0.45013425955447617,EUR_USD,21,3,15,3,short,117
42,-0.07280700716456477,0.153083337416731,-0.3728503485013575,0.22723633417222794,19,-0.22352333828977405,0.22368321692071824,-0.6619424434543818,0.2148957668748337,EUR_USD,21,3,15,4,short,61
329,0.09595702613701028,0.05336015050957356,-0.008628868861753888,0.20054292113577443,142,-0.006710927761966725,0.08012506174582056,-0.163756048783775,0.15033419325984157,EUR_USD,21,3,20,1,short,471
177,0.016847230301685206,0.07202788247101947,-0.12432741934151297,0.15802187994488337,76,0.11931153151864686,0.11188741180680724,-0.09998779562269532,0.338610858659989,EUR_USD,21,3,20,2,short,253
98,-0.028977184724761646,0.09905009942156491,-0.22311537959102887,0.16516101014150555,42,0.020234762048405235,0.14527377298916325,-0.26450183301035474,0.3049713571071652,EUR_USD,21,3,20,3,short,140
49,-0.013053865225003245,0.1409748714799743,-0.28936461332575286,0.2632568828757464,22,-0.20743245841084326,0.20393624912092737,-0.6071475066878609,0.19228258986617439,EUR_USD,21,3,20,4,short,71
369,0.1263944529561585,0.050135381344827847,0.028129105520295933,0.22465980039202108,159,-0.03743994806414637,0.07605774770863469,-0.18651313357307037,0.11163323744477761,EUR_USD,21,3,25,1,short,528
197,0.04074876748363951,0.06834198969425542,-0.09320153231710113,0.17469906728438014,85,0.09491383994608422,0.10629570288148349,-0.11342573770162341,0.3032534175937919,EUR_USD,21,3,25,2,short,282
111,-0.04551276077357709,0.09293417230236027,-0.2276637384862032,0.13663821693904904,48,0.02160379561631549,0.13644008006377897,-0.2458187613086913,0.28902635254132225,EUR_USD,21,3,25,3,short,159
58,-0.07716539817750968,0.12752852232275952,-0.32712130193011835,0.17279050557509895,25,-0.22254056340154207,0.19115042278539934,-0.5971953920609248,0.15211426525784064,EUR_USD,21,3,25,4,short,83
411,0.11949435238478956,0.04752547533140507,0.02634442073523563,0.2126442840343435,177,-0.026355829279172738,0.07222616746183892,-0.16791911750437702,0.11520745894603154,EUR_USD,21,3,30,1,short,588
222,0.015723346111298386,0.06413840826855137,-0.1099879340950623,0.14143462631765907,96,0.11528829578559541,0.0999797262655074,-0.08067196769479909,0.31124855926598993,EUR_USD,21,3,30,2,short,318
123,-0.0373246160586072,0.08822593973090313,-0.21024745793117736,0.13559822581396294,54,-0.017833663155867714,0.12950840873749045,-0.271670144281349,0.2360028179696136,EUR_USD,21,3,30,3,short,177
63,-0.01843286878669013,0.12244450717582649,-0.25842410285131007,0.2215583652779298,28,-0.23441121732280543,0.18047056624035251,-0.5881335271538963,0.1193110925082855,EUR_USD,21,3,30,4,short,91
380,-0.10198323383111371,0.050569945540139785,-0.2011003270897877,-0.0028661405724397376,163,0.09865573866271882,0.07726935215764075,-0.05279219156625706,0.25010366889169466,GBP_USD,5,3,15,1,long,543
225,-0.014887480772493508,0.06633917387505699,-0.14491226156760517,0.11513730002261817,97,-0.031335810800903634,0.09970337558182298,-0.22675442694127668,0.1640828053394694,GBP_USD,5,3,15,2,long,322
122,-0.04918032786885246,0.09079908322937595,-0.22714653099842932,0.1287858752607244,53,-0.17610533761716166,0.13326358434903235,-0.4373019629412651,0.08509128770694177,GBP_USD,5,3,15,3,long,175
66,-0.030303030303030304,0.12397777259557788,-0.2732994645903629,0.21269340398430234,29,-0.1724137931034483,0.1861521539674008,-0.5372720148795539,0.19244442867265732,GBP_USD,5,3,15,4,long,95
464,-0.06721605182490765,0.04579976291585961,-0.1569835871399925,0.022551483490177188,199,0.08818732285328554,0.06987192977494755,-0.04876165950561165,0.22513630521218272,GBP_USD,5,3,20,1,long,663
256,0.01425905010230063,0.06223011240937411,-0.10771197022007262,0.1362300704246739,110,-0.026268216188830948,0.09326922396527815,-0.20907589516077613,0.1565394627831142,GBP_USD,5,3,20,2,long,366
