tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
240,0.016780577191473262,0.062345874141932066,-0.10541733612671358,0.1389784905096601,103,0.13928628133895601,0.09166037561920917,-0.04036805487469397,0.318940617552606,USD_CAD,14,0.5,close_breakout,long,343
254,0.08617102742239424,0.06039687048496465,-0.03220683872813647,0.20454889357292494,110,-0.045685115040413525,0.08770791518320102,-0.21759262879948754,0.12622239871866048,USD_CAD,14,0.5,close_breakout,short,364
781,0.051348895067319066,0.03445000257743698,-0.016173109984457416,0.11887090011909554,336,0.06983205850746652,0.05014804927485883,-0.028458118071256797,0.16812223508618984,USD_CAD,14,0.5,range_expansion,long,1117
778,-0.02802986603424781,0.03443772763511489,-0.095527812199073,0.03946808013057737,334,-0.05215924643643157,0.05103365257770422,-0.15218520548873182,0.04786671261586869,USD_CAD,14,0.5,range_expansion,short,1112
46,0.1500289007936176,0.1449032400732352,-0.1339814497499234,0.4340392513371586,21,0.1716456669380953,0.21211467746133367,-0.2440991008861187,0.5873904347623093,USD_CAD,14,1.0,close_breakout,long,67
46,-0.05723967091060642,0.14028941782097962,-0.3322069298397265,0.21772758801851363,20,-0.44362482915292195,0.1734577976294222,-0.7836021125065895,-0.10364754579925445,USD_CAD,14,1.0,close_breakout,short,66
322,0.06972308388766553,0.05352441070616161,-0.03518476109641122,0.17463092887174228,139,0.033998233971164714,0.08057760826901933,-0.12393387823611315,0.1919303461784426,USD_CAD,14,1.0,range_expansion,long,461
288,0.056572380286550615,0.05617702786960966,-0.053534594337884316,0.16667935491098554,124,-0.11735445046067346,0.08321846064323864,-0.2804626333214212,0.04575373240007426,USD_CAD,14,1.0,range_expansion,short,412
10,-0.2,0.32659863237109044,-0.8401333194473373,0.4401333194473372,5,0.026390670382003822,0.44799159309434766,-0.8516728520829175,0.9044541928469252,USD_CAD,14,1.5,close_breakout,long,15
7,0.22831375186211522,0.3715013317291296,-0.49982885832697876,0.9564563620512092,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,USD_CAD,14,1.5,close_breakout,short,10
84,0.1067613055410369,0.10550187961509977,-0.10002237850455865,0.31354498958663246,36,0.0010575782916364654,0.15813939885767161,-0.3088956434693999,0.3110108000526728,USD_CAD,14,1.5,range_expansion,long,120
81,-0.05444877074857719,0.1075081345234279,-0.2651647144144959,0.15626717291734152,35,-0.20639451203472053,0.15339493451912484,-0.5070485836922052,0.09425955962276417,USD_CAD,14,1.5,range_expansion,short,116
237,-0.0006082752510516194,0.06271405590334576,-0.12352782482160932,0.12231127431950609,102,0.18143153680117116,0.09079857218003447,0.0034663353283036213,0.35939673827403873,USD_CAD,20,0.5,close_breakout,long,339
250,0.06354976386115256,0.06095494217767452,-0.05592192280708949,0.1830214505293946,108,-0.04653113568931006,0.08836372754630965,-0.21972404168007698,0.12666177030145687,USD_CAD,20,0.5,close_breakout,short,358
781,0.051348895067319066,0.03445000257743698,-0.016173109984457416,0.11887090011909554,336,0.06983205850746652,0.05014804927485883,-0.028458118071256797,0.16812223508618984,USD_CAD,20,0.5,range_expansion,long,1117
778,-0.02802986603424781,0.03443772763511489,-0.095527812199073,0.03946808013057737,334,-0.05215924643643157,0.05103365257770422,-0.15218520548873182,0.04786671261586869,USD_CAD,20,0.5,range_expansion,short,1112
43,0.13724021945363746,0.1500999731790874,-0.15695572797737384,0.43143616688464875,19,0.0844504739842106,0.2254307666679108,-0.35739382868489455,0.5262947766533157,USD_CAD,20,1.0,close_breakout,long,62
44,-0.059841474133815804,0.14308048073308305,-0.34027921637065855,0.22059626810302696,19,-0.5053146890335284,0.1708864754623851,-0.8402521809398031,-0.17037719712725358,USD_CAD,20,1.0,close_breakout,short,63
322,0.06972308388766553,0.05352441070616161,-0.03518476109641122,0.17463092887174228,139,0.033998233971164714,0.08057760826901933,-0.12393387823611315,0.1919303461784426,USD_CAD,20,1.0,range_expansion,long,461
