tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
206,-0.029485521615144793,0.06932351595556055,-0.16535961288804346,0.10638856965775388,89,0.022064942057273763,0.10597447825916728,-0.1856450353306941,0.22977491944524164,AUD_USD,20,1.5,close_breakout,short,295
663,-0.06453642538432895,0.038489435844453274,-0.13997571963945737,0.010902868870799456,285,-0.04333834877505006,0.059191928162810936,-0.1593545279741595,0.07267783042405937,AUD_USD,20,1.5,range_expansion,long,948
692,0.03529415765983762,0.037744674246979235,-0.03868540386424167,0.10927371918391691,297,-0.0803040925745921,0.05765947214603005,-0.193316657980811,0.0327084728316268,AUD_USD,20,1.5,range_expansion,short,989
1610,0.0088844744683747,0.024019081126214953,-0.038192924539006606,0.05596187347575601,690,0.10175933397044619,0.03463448045693069,0.033875752274862045,0.16964291566603035,USD_CAD,14,0.5,close_breakout,long,2300
1634,-0.01741827931154361,0.023817386705128257,-0.06410035725359499,0.029263798630507775,701,-0.07594592244947747,0.03418881970598772,-0.1429560090732134,-0.008935835825741534,USD_CAD,14,0.5,close_breakout,short,2335
2703,0.022365156734741383,0.018444751809924248,-0.01378655681271014,0.05851687028219291,1159,0.05243533185972231,0.02684773090900566,-0.00018622072192878147,0.1050568844413734,USD_CAD,14,0.5,range_expansion,long,3862
2702,-0.026814346887942247,0.018478273680471457,-0.06303176330166631,0.00940306952578181,1158,-0.07478616772849411,0.026773777684858866,-0.12726277199081748,-0.02230956346617074,USD_CAD,14,0.5,range_expansion,short,3860
627,0.018827004102887304,0.038550760687425134,-0.056732486844465954,0.09438649505024056,270,0.07586667045349975,0.05407131506454943,-0.030113107073017134,0.18184644798001665,USD_CAD,14,1.0,close_breakout,long,897
578,-0.022592940983487627,0.039984077913081964,-0.10096173369312827,0.055775851726153014,248,-0.16582916064292885,0.0564630484780543,-0.2764967356599153,-0.05516158562594242,USD_CAD,14,1.0,close_breakout,short,826
1652,0.018730984890836428,0.023609975894656663,-0.02754456786269063,0.06500653764436348,709,0.06132109763265284,0.0345241989330108,-0.006346332276048333,0.128988527541354,USD_CAD,14,1.0,range_expansion,long,2361
1628,-0.03737866698746722,0.023818810822710194,-0.0840635361999792,0.00930620222504476,699,-0.07676580176913125,0.03482553441178127,-0.14502384921622252,-0.00850775432203997,USD_CAD,14,1.0,range_expansion,short,2327
233,0.06965696536172676,0.06347954893182885,-0.05476295054465778,0.1940768812681113,101,-0.08189780690061059,0.08923030982843166,-0.25678921416433664,0.09299360036311548,USD_CAD,14,1.5,close_breakout,long,334
241,0.01277461150107866,0.06210651357539522,-0.10895415510669597,0.1345033781088533,104,-0.14376099588712682,0.08680305413048889,-0.313894981982885,0.026372990208631403,USD_CAD,14,1.5,close_breakout,short,345
777,0.04645260616459435,0.03446007077457102,-0.02108913255356485,0.11399434488275356,333,0.026875287027704187,0.04976326152864163,-0.0706607055684334,0.12441127962384177,USD_CAD,14,1.5,range_expansion,long,1110
735,-0.04657184683123802,0.0354238586308417,-0.11600260974768775,0.022858916085211706,315,-0.1396296173083427,0.05060591013698146,-0.23881720117682637,-0.04044203343985904,USD_CAD,14,1.5,range_expansion,short,1050
1602,0.005706545804596844,0.024069349658932628,-0.0414693795269111,0.052882471136104794,687,0.11804041085147354,0.0346201802576848,0.050184857546411346,0.18589596415653575,USD_CAD,20,0.5,close_breakout,long,2289
