tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
1139,-0.01728842405515782,0.028505110418055955,-0.07315844047454749,0.03858159236423185,489,0.08402821537770129,0.041365749068479424,0.0029513472034816274,0.16510508355192094,USD_CAD,20,0.5,close_breakout,long,1628
1160,0.0031636773859305576,0.028381393372117415,-0.05246385362341958,0.05879120839528069,498,-0.0877952268713207,0.0402270716172494,-0.1666402872411295,-0.008950166501511883,USD_CAD,20,0.5,close_breakout,short,1658
1795,-0.02163461389197807,0.022619251046331876,-0.06596834594278855,0.022699118158832403,770,0.08747408762264162,0.03272522861455066,0.023332639538122327,0.1516155357071609,USD_CAD,20,0.5,range_expansion,long,2565
1801,-0.028733220983266434,0.02272185864939823,-0.07326806393608697,0.015801621969554095,773,-0.06645545855818148,0.03265098256714278,-0.13045138438978132,-0.0024595327265816425,USD_CAD,20,0.5,range_expansion,short,2574
437,0.05387402590248413,0.04585219637246431,-0.035996278987545906,0.14374433079251417,188,0.033763151896216724,0.06522146569333429,-0.09407092086271845,0.16159722465515192,USD_CAD,20,1.0,close_breakout,long,625
386,0.01348748989456383,0.04911207035605409,-0.08277216800330219,0.10974714779242985,166,-0.15264842361697747,0.06858791937302111,-0.2870807455880988,-0.018216101645856103,USD_CAD,20,1.0,close_breakout,short,552
1052,-0.03098485865827707,0.02957689114280061,-0.08895556529816626,0.026985847981612125,452,0.07186935995853064,0.043236889544728666,-0.01287494354913754,0.15661366346619882,USD_CAD,20,1.0,range_expansion,long,1504
1037,-0.05911768617356448,0.030005394028911565,-0.11792825847023114,-0.00030711387689780906,445,-0.05991760399626697,0.043710815033570494,-0.14559080146206516,0.0257555934695312,USD_CAD,20,1.0,range_expansion,short,1482
152,0.09177079710574378,0.07769235490770623,-0.06050621851336045,0.244047812724848,66,-0.15201216772246312,0.10843465340116373,-0.364544088388744,0.060519752943817784,USD_CAD,20,1.5,close_breakout,long,218
161,0.08436403802077697,0.07636766798013041,-0.06531659122027864,0.23404466726183257,70,-0.06300964790992418,0.10322491359723027,-0.2653304785604955,0.13931118274064713,USD_CAD,20,1.5,close_breakout,short,231
461,0.030555431199568838,0.04445720738845122,-0.056580695281795546,0.11769155768093323,198,0.01594882878832636,0.06514544776933029,-0.111736248839561,0.1436339064162137,USD_CAD,20,1.5,range_expansion,long,659
424,-0.032731126169728696,0.046741586963175916,-0.12434463661755349,0.05888238427809609,182,-0.16360298637002926,0.06588919944092753,-0.2927458172742472,-0.034460155465811326,USD_CAD,20,1.5,range_expansion,short,606
1106,-0.1255433140544692,0.02888430944780884,-0.18215656057217453,-0.06893006753676387,475,0.005070200214998902,0.044940076077232154,-0.08301234889637611,0.09315274932637392,USD_CHF,14,0.5,close_breakout,long,1581
1078,0.048643003117791454,0.029316812949865597,-0.008817950263945114,0.10610395649952803,463,-0.0010330682450722373,0.04570440791672753,-0.09061370776185819,0.08854757127171371,USD_CHF,14,0.5,close_breakout,short,1541
1806,-0.06991925884437108,0.022765098253021674,-0.11453885142029357,-0.025299666268448602,775,-0.06797739207906088,0.03515607600631436,-0.13688330105143703,0.0009285168933152593,USD_CHF,14,0.5,range_expansion,long,2581
1754,0.034286147368574466,0.02309936706682366,-0.010988612082399908,0.07956090681954883,752,0.010763463036116706,0.03590073098025689,-0.05960196968518679,0.0811288957574202,USD_CHF,14,0.5,range_expansion,short,2506
448,-0.12038866412123227,0.04565681682427238,-0.20987602509680614,-0.030901303145658393,192,-0.12196797749577992,0.06983800628735315,-0.25885046981899207,0.014914514827432251,USD_CHF,14,1.0,close_breakout,long,640
433,0.11632278272839443,0.04598737293465953,0.026187531776461756,0.2064580336803271,186,0.08255308155568232,0.07245179263427987,-0.059452432007506203,0.22455859511887083,USD_CHF,14,1.0,close_breakout,short,619
1057,-0.08883592248471486,0.029705984679190774,-0.14705965245592878,-0.030612192513500947,454,-0.0464539302239508,0.045821172861788016,-0.1362634290330553,0.04335556858515371,USD_CHF,14,1.0,range_expansion,long,1511
1036,0.03988333140274958,0.030124112491885544,-0.01915992908134609,0.09892659188684524,445,-0.002614590552658601,0.04683179816335075,-0.09440491495282607,0.08917573384750888,USD_CHF,14,1.0,range_expansion,short,1481
158,-0.11008198872176343,0.07743774087382804,-0.2618599608344664,0.04169598339093954,68,-0.050083087819261164,0.1173465147766735,-0.28008225678154125,0.1799160811430189,USD_CHF,14,1.5,close_breakout,long,226
175,0.1302348569512115,0.07293384822343185,-0.012715485566714924,0.27318519946913794,76,0.2882324458742947,0.10914397952766056,0.07431024600008002,0.5021546457485093,USD_CHF,14,1.5,close_breakout,short,251
454,-0.10127140981674504,0.045692722013151665,-0.1908291449625223,-0.011713674670967775,196,-0.12198565902102983,0.06905283687932844,-0.2573292193045136,0.013357901262453911,USD_CHF,14,1.5,range_expansion,long,650
