entry_ts,exit_ts,strategy,pair,direction,entry_mode,r
2016-02-09 02:00:00,2016-02-10 18:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-09 06:00:00,2016-02-10 14:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-09 06:00:00,2016-02-09 14:00:00,cci,CHF_JPY,long,mid,1.0
2016-02-09 10:00:00,2016-02-10 18:00:00,atr,USD_JPY,long,limit,-1.0
2016-02-09 10:00:00,2016-02-10 18:00:00,bb,USD_JPY,long,mid,-1.0
2016-02-09 14:00:00,2016-02-10 18:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-09 14:00:00,2016-02-10 18:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-09 18:00:00,2016-02-10 14:00:00,cci,USD_JPY,long,mid,-1.0
2016-02-09 18:00:00,2016-02-10 14:00:00,cci,EUR_USD,short,mid,1.0
2016-02-10 02:00:00,2016-02-10 18:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-10 02:00:00,2016-02-10 18:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-10 06:00:00,2016-02-10 14:00:00,cci,USD_JPY,long,mid,-1.0
2016-02-10 14:00:00,2016-02-11 06:00:00,atr,NZD_CHF,short,limit,1.0
2016-02-10 14:00:00,2016-02-11 06:00:00,atr,EUR_NOK,long,limit,1.0
2016-02-10 18:00:00,2016-02-11 06:00:00,bb,CHF_JPY,long,mid,-1.0
2016-02-10 18:00:00,2016-02-11 06:00:00,bb,USD_JPY,long,mid,-1.0
2016-02-10 22:00:00,2016-02-11 06:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-10 22:00:00,2016-02-11 06:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-11 02:00:00,2016-02-15 10:00:00,cci,EUR_USD,short,mid,1.0
2016-02-11 06:00:00,2016-02-15 02:00:00,stoch,CHF_JPY,long,mid,1.0
2016-02-11 06:00:00,2016-02-15 02:00:00,ema,CHF_JPY,long,mid,1.0
2016-02-11 06:00:00,2016-02-11 10:00:00,stoch,USD_JPY,long,mid,1.0
2016-02-11 10:00:00,2016-02-18 10:00:00,cci,CHF_JPY,long,mid,-1.0
2016-02-11 10:00:00,2016-02-18 10:00:00,rsi,CHF_JPY,long,mid,-1.0
2016-02-11 10:00:00,2016-02-14 22:00:00,rsi,USD_JPY,long,mid,1.0
2016-02-11 10:00:00,2016-02-12 14:00:00,macd,CAD_CHF,short,limit,-1.0
2016-02-11 14:00:00,2016-02-12 14:00:00,cci,EUR_USD,short,mid,1.0
2016-02-11 14:00:00,2016-02-18 18:00:00,ema,CHF_JPY,long,mid,-1.0
2016-02-11 14:00:00,2016-02-12 14:00:00,bb,USD_JPY,long,mid,1.0
2016-02-11 14:00:00,2016-02-12 14:00:00,cci,USD_JPY,long,mid,1.0
2016-02-11 18:00:00,2016-02-14 22:00:00,stoch,USD_JPY,long,mid,1.0
2016-02-11 18:00:00,2016-02-14 22:00:00,rsi,USD_JPY,long,mid,1.0
2016-02-11 18:00:00,2016-02-18 10:00:00,rsi,CHF_JPY,long,mid,-1.0
2016-02-12 06:00:00,2016-02-12 14:00:00,macd,AUD_JPY,long,limit,1.0
2016-02-12 10:00:00,2016-02-12 14:00:00,stoch,CAD_CHF,short,mid,-1.0
2016-02-12 10:00:00,2016-02-18 10:00:00,cci,CHF_JPY,long,mid,-1.0
2016-02-12 14:00:00,2016-02-15 10:00:00,bb,CAD_CHF,short,mid,-1.0
2016-02-12 14:00:00,2016-02-15 14:00:00,cci,USD_JPY,long,mid,1.0
2016-02-12 14:00:00,2016-02-23 14:00:00,stoch,EUR_GBP,long,mid,1.0
2016-02-12 18:00:00,2016-02-15 10:00:00,stoch,CAD_CHF,short,mid,-1.0
2016-02-12 18:00:00,2016-02-24 14:00:00,macd,EUR_CHF,short,limit,1.0
2016-02-15 02:00:00,2016-02-16 02:00:00,stoch,CAD_CHF,short,mid,-1.0
2016-02-15 02:00:00,2016-02-16 02:00:00,cci,CAD_CHF,short,mid,-1.0
