tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
10,0.2,0.32659863237109044,-0.4401333194473372,0.8401333194473373,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,AUD_USD,7,2.0,short,15,371,105
7,0.04916529077233659,0.38114874875023697,-0.6978862567781279,0.796216838322801,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,AUD_USD,7,2.5,long,11,270,78
8,0.25,0.3659625273556999,-0.46728655361717175,0.9672865536171718,4,-0.5,0.5,-1.48,0.48,AUD_USD,7,2.5,short,12,269,70
2,0.0,1.0,-1.96,1.96,1,1.0,,,,AUD_USD,7,3.0,long,3,209,50
3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,2,1.0,0.0,1.0,1.0,AUD_USD,7,3.0,short,5,208,50
31,0.16129032258064516,0.18018374250024446,-0.19186981271983397,0.5144504578811243,14,-0.14285714285714285,0.2745054065230065,-0.6808877396422355,0.39517345392794984,AUD_USD,10,1.5,long,45,557,206
11,-0.45454545454545453,0.2816715160878121,-1.0066216260775662,0.09753071698665722,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,AUD_USD,10,1.5,short,17,556,188
9,-0.5555555555555556,0.2939723678960656,-1.1317413966318441,0.020630285520732983,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,AUD_USD,10,2.0,long,14,371,114
9,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,4,-0.5,0.5,-1.48,0.48,AUD_USD,10,2.0,short,13,370,108
5,0.06883140708127122,0.4524795714734397,-0.8180285530066705,0.955691367169213,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,AUD_USD,10,2.5,long,8,264,73
6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,AUD_USD,10,2.5,short,9,263,67
4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,2,1.0,0.0,1.0,1.0,AUD_USD,10,3.0,long,6,209,50
2,0.0,1.0,-1.96,1.96,2,0.0,1.0,-1.96,1.96,AUD_USD,10,3.0,short,4,208,49
25,0.12,0.20264912204760885,-0.27719227921331335,0.5171922792133133,12,0.16666666666666666,0.2972941950052816,-0.41602995554368527,0.7493632888770185,AUD_USD,14,1.5,long,37,556,207
9,-0.7777777777777778,0.2222222222222222,-1.2133333333333334,-0.34222222222222226,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,AUD_USD,14,1.5,short,14,555,190
9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,AUD_USD,14,2.0,long,13,377,118
9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,AUD_USD,14,2.0,short,14,376,111
7,-0.5222632806562348,0.316571346233921,-1.1427431192747202,0.09821655796225037,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,AUD_USD,14,2.5,long,11,258,75
