tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
23,-0.08592398655549328,0.2077108270287929,-0.49303720753192737,0.32118923442094083,11,-0.09090909090909091,0.3149183286488867,-0.7081490150609089,0.526330833242727,USD_CHF,100,1,short,34,275,220
9,0.06390970711222116,0.3394047167826062,-0.601323537781687,0.7291429520061292,5,0.6,0.4,-0.18400000000000005,1.384,USD_CHF,100,2,long,14,79,75
10,0.4,0.3055050463303893,-0.19878989080756293,0.998789890807563,5,0.37879650312383023,0.4058205116243038,-0.4166116996598052,1.1742047059074656,USD_CHF,100,2,short,15,100,89
7,-0.7142857142857143,0.2857142857142857,-1.2742857142857142,-0.15428571428571436,3,0.33333333333332965,0.6666666666666649,-0.9733333333333334,1.6399999999999928,USD_CHF,100,3,long,10,29,27
3,1.0,0.0,1.0,1.0,2,-1.0,0.0,-1.0,-1.0,USD_CHF,100,3,short,5,28,27
64,0.0625,0.12574184627546195,-0.1839540186999054,0.3089540186999054,28,-0.35714285714285715,0.17975796274454164,-0.7094684641221587,-0.004817250163555553,NZD_USD,10,1,long,92,913,575
58,0.0,0.13245323570650439,-0.2596083419847486,0.2596083419847486,26,-0.23076923076923078,0.19460170216420797,-0.6121885670110784,0.1506501054726168,NZD_USD,10,1,short,84,962,620
39,-0.1282051282051282,0.16088271677005372,-0.4435352530744335,0.1871249966641771,17,-0.29411764705882354,0.2389423060187047,-0.7624445668554847,0.17420927273783765,NZD_USD,10,2,long,56,323,207
37,0.24324324324324326,0.16166088689122846,-0.07361209506356453,0.560098581550051,16,0.125,0.25617376914899,-0.37710058753202036,0.6271005875320204,NZD_USD,10,2,short,53,333,235
14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,7,0.42857142857142855,0.36885555678165877,-0.29438546272062266,1.1515283198634798,NZD_USD,10,3,long,21,103,75
11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,NZD_USD,10,3,short,16,114,91
52,0.15384615384615385,0.13836094888163492,-0.11734130596185055,0.42503361365415826,23,-0.391304347826087,0.19620037384965786,-0.7758570805714163,-0.006751615080757611,NZD_USD,20,1,long,75,647,419
45,-0.022222222222222223,0.1507184440694504,-0.317630372598345,0.2731859281539006,20,-0.3,0.2188486619609662,-0.7289433774434937,0.12894337744349377,NZD_USD,20,1,short,65,688,475
25,-0.2,0.2,-0.5920000000000001,0.192,12,-0.3333333333333333,0.2842676218074806,-0.8904978720759953,0.22383120540932872,NZD_USD,20,2,long,37,218,147
28,0.2857142857142857,0.18442777839082938,-0.0757641599317399,0.6471927313603113,12,0.3333333333333333,0.2842676218074806,-0.22383120540932872,0.8904978720759953,NZD_USD,20,2,short,40,243,191
10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,5,0.6,0.4000000000000001,-0.18400000000000016,1.3840000000000001,NZD_USD,20,3,long,15,69,56
10,-0.2,0.32659863237109044,-0.8401333194473373,0.4401333194473372,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,NZD_USD,20,3,short,15,86,76
