tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
124,-0.1375885196451216,0.08894297378383108,-0.3119167482614305,0.036739708971187335,54,0.01245407461559151,0.13620963043411788,-0.2545168010352795,0.2794249502664625,AUD_USD,10,1,long,178,966,246
120,-0.01851320568216511,0.0913658424165929,-0.1975902568186872,0.16056384545435698,52,-0.15384615384615385,0.13836094888163492,-0.42503361365415826,0.11734130596185055,AUD_USD,10,1,short,172,925,243
39,0.2544839516251072,0.15472740104345234,-0.04878175442005939,0.5577496576702737,17,0.322091437050098,0.2309778920625501,-0.13062523139250015,0.7748081054926962,AUD_USD,10,2,long,56,306,79
41,0.36585365853658536,0.14715222564876446,0.077435296265007,0.6542720208081637,18,0.0,0.24253562503633302,-0.4753698250712127,0.4753698250712127,AUD_USD,10,2,short,59,303,84
11,0.004899224929376212,0.30155114543639117,-0.5861410201259505,0.5959394699847029,6,0.4549425424322089,0.35736302643488205,-0.24548898938015995,1.1553740742445777,AUD_USD,10,3,long,17,104,25
16,0.5,0.22360679774997896,0.06173067641004126,0.9382693235899587,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,AUD_USD,10,3,short,24,105,35
93,-0.11827956989247312,0.1035253562379585,-0.3211892681188718,0.08463012833392553,41,0.08957365924980346,0.155740328896705,-0.2156773853877383,0.39482470388734525,AUD_USD,20,1,long,134,699,188
91,0.008554014485056995,0.10496808697544383,-0.1971834359868129,0.21429146495692689,39,-0.23076923076923078,0.15784282339771596,-0.5401411646287541,0.07860270309029249,AUD_USD,20,1,short,130,650,184
32,0.25,0.1739020859100631,-0.09084808838372366,0.5908480883837237,14,0.319682459275119,0.2551048794155319,-0.18032310437932347,0.8196880229295616,AUD_USD,20,2,long,46,226,65
32,0.3125,0.17061026611322602,-0.021896121581923,0.646896121581923,15,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,AUD_USD,20,2,short,47,218,69
10,0.10538914742231383,0.31432176661380185,-0.5106815151407378,0.7214598099853655,5,0.3459310509186506,0.41681799513820345,-0.47103221955222807,1.1628943213895293,AUD_USD,20,3,long,15,77,22
13,0.38461538461538464,0.2664693550105965,-0.1376645512053845,0.9068953204361538,6,-0.6666666666666666,0.33333333333333337,-1.32,-0.013333333333333197,AUD_USD,20,3,short,19,75,30
75,-0.09333333333333334,0.11574020820698307,-0.32018414141902013,0.13351747475235348,33,0.1112884857346043,0.17325573894678237,-0.2282927626010891,0.45086973407029773,AUD_USD,55,1,long,108,417,152
80,-0.05276980852324766,0.11182020880246307,-0.2719374177760753,0.16639780072957994,35,-0.3142857142857143,0.16280848454873725,-0.6333903440012393,0.004818915429810722,AUD_USD,55,1,short,115,381,161
25,0.28,0.19595917942265423,-0.10407999166840226,0.6640799916684024,12,0.3729628691543055,0.26976178513355625,-0.15577022970746474,0.9016959680160757,AUD_USD,55,2,long,37,133,52
27,0.25925925925925924,0.18941048590991066,-0.11198529312416566,0.6305038116426842,12,0.16666666666666666,0.2972941950052816,-0.41602995554368527,0.7493632888770185,AUD_USD,55,2,short,39,130,61
9,0.005987941580348704,0.3333871121616443,-0.6474507982564741,0.6594266814171714,4,0.6824138136483133,0.31758618635168673,0.05994488839900736,1.3048827388976192,AUD_USD,55,3,long,13,48,19
8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,4,-0.5,0.5,-1.48,0.48,AUD_USD,55,3,short,12,46,22
65,-0.046153846153846156,0.12486679292883021,-0.2908927602943534,0.19858506798666106,28,0.16687571533006934,0.18661391335421068,-0.19888755484418358,0.5326389855043223,AUD_USD,100,1,long,93,284,129
69,-0.1046606475631857,0.11993419087139616,-0.3397316616711222,0.13041036654475074,30,-0.4,0.17019258867935264,-0.7335774738115312,-0.06642252618846889,AUD_USD,100,1,short,99,284,138
23,0.30434782608695654,0.20308668108561476,-0.09370206884084836,0.7023977210147614,11,0.3159594936228787,0.2888363603768738,-0.25015977271579404,0.8820787599615514,AUD_USD,100,2,long,34,99,48
23,0.30434782608695654,0.20308668108561476,-0.09370206884084836,0.7023977210147614,10,-0.2,0.32659863237109044,-0.8401333194473373,0.4401333194473372,AUD_USD,100,2,short,33,94,53
9,0.005987941580348704,0.3333871121616443,-0.6474507982564741,0.6594266814171714,4,0.6824138136483133,0.31758618635168673,0.05994488839900736,1.3048827388976192,AUD_USD,100,3,long,13,36,18
6,0.3333333333333333,0.421637021355784,-0.4930752285240034,1.15974189519067,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,AUD_USD,100,3,short,9,32,17
137,-0.03739063347305063,0.08248729287647985,-0.19906572751095114,0.12428446056484987,60,-0.045967883263120055,0.11569601510831824,-0.2727320728754238,0.1807963063491837,USD_CAD,10,1,long,197,925,283
120,-0.12459981117767084,0.08659108826874681,-0.2943183441844146,0.04511872182907291,52,-0.12633488978054924,0.12472620553981245,-0.3707982526385817,0.11812847307748317,USD_CAD,10,1,short,172,914,263
45,0.08291258963356728,0.14866913440846552,-0.2084789138070251,0.3743040930741597,20,-0.22227016033955777,0.19103958763836035,-0.596707752110744,0.15216743143162853,USD_CAD,10,2,long,65,324,95
41,-0.09729895328134042,0.14395726486531377,-0.37945519241735537,0.18485728585467454,18,-0.34694064495382315,0.21275417923647527,-0.7639388362573147,0.07005754634966838,USD_CAD,10,2,short,59,318,95
18,0.1111111111111111,0.24103384202072908,-0.36131521924951787,0.58353744147174,8,-0.6246012957003761,0.2631877366689195,-1.1404492595714584,-0.10875333182929392,USD_CAD,10,3,long,26,110,40
13,0.16681442221401033,0.2659608682225087,-0.3544688795021067,0.6880977239301274,6,0.15870605624230735,0.4021258382534794,-0.6294605867345122,0.946872699219127,USD_CAD,10,3,short,19,107,31
107,-0.08262840836556053,0.09291214322881546,-0.26473620909403883,0.09947939236291777,47,-0.11110468100081632,0.1307250644842992,-0.3673258073900428,0.14511644538841012,USD_CAD,20,1,long,154,651,221
88,-0.19277698210811547,0.09888163560457362,-0.38658498789307977,0.001031023676848819,39,-0.19890826095212033,0.14653322413810832,-0.48611338026281264,0.08829685835857198,USD_CAD,20,1,short,127,660,199
37,0.02702702702702703,0.16660578386402639,-0.2995203093464647,0.35357436340051873,16,-0.3952808935631876,0.2110946379410926,-0.8090263839277291,0.018464596801353927,USD_CAD,20,2,long,53,222,76
32,-0.12332273062734986,0.16691632078334928,-0.45047871936271444,0.20383325810801475,15,-0.3825986381661667,0.22794655448379764,-0.8293738849544101,0.06417660862207669,USD_CAD,20,2,short,47,218,73
15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,7,-0.2852586236575727,0.359576563049562,-0.9900286872347142,0.41951143991956874,USD_CAD,20,3,long,22,78,33
11,0.15851763899924773,0.2983178062853842,-0.42618526132010526,0.7432205393186008,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,USD_CAD,20,3,short,16,76,27
