tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
49,-0.17025470755518873,0.13429420669261863,-0.43347135267272124,0.09296193756234378,22,0.0570745998058602,0.2117870991365744,-0.3580281145018256,0.472177314113546,USD_CHF,55,2,long,71,116,71
66,0.23480992362889308,0.11737354335396395,0.004757778655123751,0.46486206860266244,29,-0.15818326502457414,0.18442862812918037,-0.5196633761577676,0.20329684610861937,USD_CHF,55,2,short,95,136,95
17,-0.022698779784613914,0.23411355001954845,-0.48156133782292887,0.436163778253701,8,0.0,0.3779644730092272,-0.7408103670980853,0.7408103670980853,USD_CHF,55,3,long,25,36,25
23,0.22871228986080636,0.20538174056213684,-0.17383592164098186,0.6312605013625946,11,-0.34547723005044384,0.28166712411392386,-0.8975447933137346,0.20659033321284692,USD_CHF,55,3,short,34,39,34
120,-0.17583126165584373,0.08795424396546453,-0.3482215798281542,-0.003440943483533243,52,0.12466394370050465,0.13542118639250164,-0.14076158162879854,0.39008946902980784,USD_CHF,100,1,long,172,274,172
128,-0.03254941310423522,0.08548503416935951,-0.20010008007617985,0.13500125386770945,56,0.015679207790808145,0.13363196746359263,-0.24623944843783338,0.2775978640194497,USD_CHF,100,1,short,184,275,184
39,-0.055689003170462895,0.15153215119590288,-0.3526920195144325,0.24131401317350676,17,0.015037717395819057,0.24094075101054138,-0.45720615458484204,0.48728158937648014,USD_CHF,100,2,long,56,79,56
52,0.09405803896016195,0.1380644010911419,-0.17654818717847615,0.36466426509880007,23,-0.23424192244641448,0.19942033284429603,-0.6251057748212346,0.1566219299284057,USD_CHF,100,2,short,75,100,75
16,-0.07395600557740911,0.24318600135359963,-0.5506005682304644,0.40268855707564616,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,USD_CHF,100,3,long,23,29,23
17,0.17647058823529413,0.24607647839237515,-0.30583930941376114,0.6587804858843495,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,USD_CHF,100,3,short,25,28,25
257,0.058365758754863814,0.062393454127722084,-0.06392541133547147,0.1806569288451991,111,-0.1891891891891892,0.09362436797669607,-0.37269295042351347,-0.005685427954864902,NZD_USD,10,1,long,368,913,369
275,0.06181818181818182,0.060296666586535194,-0.05636328469142716,0.1799996483277908,119,-0.008403361344537815,0.09205421134540608,-0.18882961558153372,0.1720228928924581,NZD_USD,10,1,short,394,962,396
100,-0.12,0.09977753031397178,-0.3155639594153847,0.07556395941538468,44,-0.2727272727272727,0.14671756087016888,-0.5602936920328037,0.0148391465782583,NZD_USD,10,2,long,144,323,144
100,0.08,0.10018165319240661,-0.11635604025711695,0.27635604025711696,44,0.0,0.1524985703326047,-0.2988971978519052,0.2988971978519052,NZD_USD,10,2,short,144,333,145
32,-0.25,0.1739020859100631,-0.5908480883837237,0.09084808838372366,14,0.2857142857142857,0.26578871697687523,-0.23523159956038975,0.8066601709889611,NZD_USD,10,3,long,46,103,46
37,-0.13513513513513514,0.16513786288129156,-0.4588053463824666,0.18853507611219633,17,0.058823529411764705,0.2495670992423109,-0.43032798510316467,0.547975043926694,NZD_USD,10,3,short,54,114,54
186,0.06451612903225806,0.07336829233007114,-0.07928572393468136,0.2083179819991975,81,-0.2345679012345679,0.10868405470159882,-0.4475886484497016,-0.02154715401943419,NZD_USD,20,1,long,267,647,267
210,0.02857142857142857,0.06914320737894497,-0.10694925789130356,0.1640921150341607,91,0.14285714285714285,0.10432810619146021,-0.061625945278119154,0.34734023099240485,NZD_USD,20,1,short,301,688,303
72,-0.19444444444444445,0.1164130188513907,-0.4226139613931702,0.033725072504281334,32,-0.375,0.16649857114566596,-0.7013371994455053,-0.048662800554494734,NZD_USD,20,2,long,104,218,104
79,0.06329113924050633,0.11300069387656482,-0.1581902207575607,0.2847724992385734,35,-0.02857142857142857,0.17142857142857143,-0.3645714285714286,0.30742857142857144,NZD_USD,20,2,short,114,243,114
28,-0.2857142857142857,0.18442777839082938,-0.6471927313603113,0.0757641599317399,12,0.3333333333333333,0.2842676218074806,-0.22383120540932872,0.8904978720759953,NZD_USD,20,3,long,40,69,40
30,-0.06666666666666667,0.1852822223412403,-0.42981982245549766,0.29648648912216435,14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,NZD_USD,20,3,short,44,86,44
146,0.0547945205479452,0.08292071662106627,-0.1077300840293447,0.2173191251252351,63,-0.23809523809523808,0.12334783348623492,-0.4798569917282585,0.0036665155377823555,NZD_USD,55,1,long,209,377,209
156,0.02564102564102564,0.08029552423167309,-0.13173820185305363,0.1830202531351049,67,0.04477611940298507,0.12296803595091035,-0.19624123106079921,0.28579346986676935,NZD_USD,55,1,short,223,399,224
56,-0.17857142857142858,0.1326726830071908,-0.4386098872655225,0.08146703012266535,25,-0.28,0.19595917942265426,-0.6640799916684024,0.10407999166840232,NZD_USD,55,2,long,81,129,81
60,0.1,0.12953633087651184,-0.1538912085179632,0.3538912085179632,26,0.0,0.20000000000000004,-0.39200000000000007,0.39200000000000007,NZD_USD,55,2,short,86,150,86
21,-0.14285714285714285,0.22131333406899525,-0.5766312776323735,0.29091699191808784,10,0.4,0.3055050463303893,-0.19878989080756293,0.998789890807563,NZD_USD,55,3,long,31,45,31
21,0.047619047619047616,0.22335313142016333,-0.3901530899644725,0.48539118520256774,9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,NZD_USD,55,3,short,30,51,30
122,0.11475409836065574,0.09030853894213482,-0.062250637965928515,0.29175883468724,53,-0.09433962264150944,0.13805656836684024,-0.36493049664051636,0.17625125135749745,NZD_USD,100,1,long,175,277,175
