tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
144,-0.09443495130858924,0.08269272206592615,-0.2565126865578045,0.06764278394062602,62,-0.12903225806451613,0.1269665424096257,-0.3778866811873825,0.11982216505835025,AUD_USD,14,1.5,long,206,556,207
132,-0.026224063341415242,0.08707943976987385,-0.196899765290368,0.1444516386075375,57,-0.05263157894736842,0.13344540864134474,-0.3141845798844041,0.2089214219896673,AUD_USD,14,1.5,short,189,555,190
82,-0.3412073563159884,0.10312304723212959,-0.5433285288909624,-0.13908618374101442,36,-0.05555555555555555,0.16876979928266733,-0.38634436214958356,0.2752332510384724,AUD_USD,14,2.0,long,118,377,118
77,0.0387640568902486,0.11343200504804922,-0.18356267300392787,0.26109078678442504,33,-0.030303030303030304,0.1766955119650091,-0.37662623375444815,0.3160201731483875,AUD_USD,14,2.0,short,110,376,111
52,-0.27838284441380734,0.132301784090349,-0.5376943412308914,-0.019071347596723298,23,0.30434782608695654,0.2030866810856147,-0.09370206884084825,0.7023977210147614,AUD_USD,14,2.5,long,75,258,75
46,-0.08695652173913043,0.14850653283999418,-0.37802932610551904,0.20411628262725817,21,0.047619047619047616,0.22335313142016333,-0.3901530899644725,0.48539118520256774,AUD_USD,14,2.5,short,67,257,67
37,-0.13513513513513514,0.16513786288129156,-0.4588053463824666,0.18853507611219633,16,0.25,0.25,-0.24,0.74,AUD_USD,14,3.0,long,53,209,53
35,0.08571428571428572,0.17086742893632048,-0.24918587500090242,0.4206144464294739,15,0.2,0.26186146828319085,-0.313248477835054,0.7132484778350541,AUD_USD,14,3.0,short,50,208,50
144,-0.06665717353081146,0.08288171365997894,-0.2291053323043702,0.09579098524274726,62,-0.12903225806451613,0.1269665424096257,-0.3778866811873825,0.11982216505835025,AUD_USD,21,1.5,long,206,551,207
131,-0.0035234836722657405,0.0874414245277847,-0.17490867574672372,0.16786170840219225,57,-0.05263157894736842,0.13344540864134474,-0.3141845798844041,0.2089214219896673,AUD_USD,21,1.5,short,188,550,189
86,-0.3485930606733843,0.100429724712178,-0.5454353211092532,-0.15175080023751544,38,-0.05263157894736842,0.16417112997159045,-0.3744069936916857,0.26914383579694884,AUD_USD,21,2.0,long,124,377,124
77,0.0387640568902486,0.11343200504804922,-0.18356267300392787,0.26109078678442504,33,-0.09090909090909091,0.17604469755488258,-0.4359566981166608,0.25413851629847894,AUD_USD,21,2.0,short,110,376,111
53,-0.25426241338713174,0.13200393154324624,-0.5129901192118944,0.004465292437630886,23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,AUD_USD,21,2.5,long,76,259,76
46,-0.03684162433455947,0.1481287344840649,-0.32717394392332666,0.25349069525420775,21,0.047619047619047616,0.22335313142016333,-0.3901530899644725,0.48539118520256774,AUD_USD,21,2.5,short,67,258,67
36,-0.2222222222222222,0.16480441082434807,-0.5452388674379445,0.1007944229935,16,0.5,0.22360679774997896,0.06173067641004126,0.9382693235899587,AUD_USD,21,3.0,long,52,206,52
34,0.0,0.17407765595569782,-0.3411922056731677,0.3411922056731677,15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,AUD_USD,21,3.0,short,49,205,49
144,0.04853776118780168,0.08132837420553264,-0.11086585225504231,0.20794137463064566,63,0.06884446106721144,0.11900819082478373,-0.16441159294936464,0.30210051508378755,USD_CAD,7,1.5,long,207,551,210
156,0.0134700916770191,0.07812231645099785,-0.13964964856693668,0.16658983192097487,68,0.009921975498756612,0.10651442397706812,-0.1988462954962969,0.21869024649381014,USD_CAD,7,1.5,short,224,550,225
84,0.13091300503796144,0.10328470719823919,-0.07152502107058736,0.3333510311465102,36,0.16523753927871865,0.1603425164110326,-0.14903379288690521,0.4795088714443425,USD_CAD,7,2.0,long,120,371,122
97,0.026588720446303435,0.09881019796793028,-0.1670792675708399,0.2202567084634468,42,0.12911031986245314,0.1348437513018806,-0.13518343268923283,0.3934040724141391,USD_CAD,7,2.0,short,139,370,139
53,0.24774092066838088,0.12955504904639467,-0.006186975462552646,0.5016688167993144,23,0.26849370198574546,0.18301830322120993,-0.09022217232782598,0.6272095762993168,USD_CAD,7,2.5,long,76,273,77
56,0.05786604477952027,0.1301648703109631,-0.1972571010299674,0.312989190589008,25,-0.1886410121178593,0.17101424208700544,-0.52382892660839,0.14654690237267134,USD_CAD,7,2.5,short,81,273,81
40,0.33545282947280586,0.1490862652497119,0.04324374958337052,0.6276619093622412,18,0.17480865357846279,0.21789240096587845,-0.252260452314659,0.6018777594715845,USD_CAD,7,3.0,long,58,223,59
46,0.11914205499426685,0.14353216296392718,-0.16218098441503043,0.4004650944035641,21,-0.13722617134356585,0.19509311358492268,-0.5196086739700143,0.2451563312828826,USD_CAD,7,3.0,short,67,223,67
144,0.07631553896557945,0.08117913323698138,-0.08279556217890406,0.23542664011006298,62,0.08155455036643315,0.11937450325234959,-0.15241947600817207,0.31552857674103835,USD_CAD,10,1.5,long,206,543,209
153,-0.01877076992329017,0.07882838513577817,-0.17327440478941536,0.13573286494283504,66,0.011146785407857908,0.10760115365683015,-0.19975147575952917,0.222045046575245,USD_CAD,10,1.5,short,219,542,220
