tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
261,-0.012710245542364402,0.05732671676058968,-0.12507061039312017,0.09965011930839138,112,-0.009696201498105763,0.08157548867521194,-0.16958415930152118,0.15019175630530965,USD_CAD,200,2.0,14,short,373
261,0.05321445924647862,0.05873167127229469,-0.061899616447218975,0.16832853494017622,113,0.014959714565486303,0.08226785239108783,-0.14628527612104583,0.17620470525201845,USD_CAD,200,2.5,14,short,374
526,-0.0345970824965906,0.042094835476894125,-0.11710296003130309,0.047908795038121885,226,-0.12630719808215438,0.06532901169870452,-0.2543520610116152,0.0017376648473064749,USD_CHF,20,1.0,14,long,752
360,-0.014831477355046276,0.05088562181312019,-0.11456729610876185,0.08490434139866929,155,-0.179743537078059,0.07857232276211859,-0.33374528969181144,-0.025741784464306583,USD_CHF,20,1.5,14,long,515
230,-0.086292240833882,0.06378027015624338,-0.21130157034011904,0.03871708867235503,99,-0.14811766693699394,0.09923911140767075,-0.3426263252960286,0.04639099142204073,USD_CHF,20,2.0,14,long,329
156,-0.034576297195268384,0.07632073848155416,-0.18416494461911453,0.11501235022857775,67,-0.1772841139744068,0.12021867633928235,-0.41291271959940024,0.05834449165058661,USD_CHF,20,2.5,14,long,223
527,0.1264304912668034,0.041783810913095916,0.04453422187713539,0.20832676065647138,227,-0.0227062236425007,0.065545840650056,-0.15117607131661046,0.10576362403160906,USD_CHF,20,1.0,14,short,754
394,0.02034738315602606,0.04876213202162245,-0.07522639560635393,0.11592116191840605,169,-0.03784307316102717,0.0747636529337864,-0.18437983291124851,0.10869368658919418,USD_CHF,20,1.5,14,short,563
241,0.03087974692106911,0.06185924477692417,-0.09036437284170226,0.15212386668384048,104,0.09717935160517856,0.09462644984410512,-0.08828849008926747,0.28264719329962457,USD_CHF,20,2.0,14,short,345
105,0.056590880896836046,0.09340389164178377,-0.12648074672106013,0.23966250851473225,46,0.17276243853528087,0.14134201292859172,-0.10426790680475892,0.4497927838753206,USD_CHF,20,2.5,14,short,151
395,-0.1478834716211656,0.04808583788782669,-0.24213171388130594,-0.053635229361025286,170,-0.1839976045804723,0.07382107222304367,-0.32868690613763785,-0.03930830302330671,USD_CHF,50,1.0,14,long,565
