strategy,pair,direction,tp_R,n,mean_R,se_R,ci_lo_R,ci_hi_R,win_rate
macd,EUR_CHF,short,0.5,255,0.08267611885783592,0.040054835125848426,0.004168642011173007,0.16118359570449883,0.7098039215686275
macd,NZD_JPY,long,0.5,134,0.11940298507462686,0.05659787149070057,0.008471156952853748,0.23033481319639998,0.746268656716418
macd,NZD_USD,short,0.5,222,0.0945945945945946,0.04481003470035478,0.00676692658189923,0.18242226260728997,0.7297297297297297
rsi,CHF_JPY,long,0.5,565,0.09670593273610047,0.02793325187383449,0.04195675906338487,0.15145510640881607,0.7292035398230089
rsi,EUR_GBP,long,0.5,394,0.12316356768682549,0.03145011185094923,0.061521348458964994,0.18480578691468597,0.7360406091370558
rsi,USD_JPY,long,0.5,1191,0.05056609318483606,0.019861445425505997,0.01163766015084431,0.08949452621882781,0.6994122586062133
sma,CAD_JPY,long,0.5,257,0.09727626459143969,0.04154718684310461,0.015843778378954662,0.17870875080392473,0.7315175097276264
sma,EUR_CAD,long,0.5,401,0.10408030664102104,0.032119094463850494,0.04112688149187407,0.167033731790168,0.7206982543640897
sma,EUR_GBP,long,0.5,269,0.08027306636979957,0.038727483722844895,0.004367198273023579,0.15617893446657555,0.6802973977695167
stoch,CAD_CHF,short,0.5,1685,0.09142444939591678,0.016241025002693334,0.05959204039063784,0.12325685840119571,0.7275964391691395
stoch,CHF_JPY,long,0.5,1765,0.044798419409740095,0.0163247779948258,0.01280185453988153,0.07679498427959866,0.6929178470254957
stoch,EUR_GBP,long,0.5,1920,0.059717966408219005,0.014975303812373011,0.030366370935967904,0.0890695618804701,0.6875
stoch,USD_JPY,long,0.5,1884,0.016863911208361074,0.016038827707446555,-0.014572191098234176,0.04830001351495632,0.6735668789808917
atr,EUR_NOK,long,0.6,489,0.1255701820616465,0.03291723284178682,0.06105240569174433,0.19008795843154866,0.6993865030674846
atr,NZD_CHF,short,0.6,1139,0.09233846182492789,0.022042719639496,0.049134731331515726,0.13554219231834005,0.6821773485513608
atr,USD_JPY,long,0.6,1075,0.022399205641368033,0.023253239172620007,-0.023177143136967178,0.06797555441970324,0.6353488372093024
bb,AUD_CAD,short,0.6,220,0.1496784550660443,0.048007249402142425,0.05558424623784515,0.24377266389424346,0.7181818181818181
bb,CAD_CHF,short,0.6,1061,0.09755593623486201,0.02270594014428373,0.0530522935520659,0.14205957891765814,0.6852026390197926
bb,CHF_JPY,long,0.6,295,0.14559012115651745,0.04145283203869724,0.06434257036067086,0.22683767195236404,0.711864406779661
bb,EUR_CAD,long,0.6,300,0.12764522699878939,0.04127381122669557,0.04674855699446606,0.2085418970031127,0.6966666666666667
bb,USD_JPY,long,0.6,342,0.09417793468786989,0.040258400117255955,0.01527147045804822,0.17308439891769156,0.6842105263157895
candle,USD_JPY,long,0.6,418,0.09181381662004959,0.036034069999084276,0.02118703942184441,0.16244059381825476,0.6770334928229665
cci,CAD_CHF,short,0.6,1118,0.11813069409176465,0.021836556656314454,0.07533104304538832,0.16093034513814097,0.6976744186046512
cci,CHF_JPY,long,0.6,816,0.11085195644538624,0.025659522943273453,0.06055929147657028,0.16114462141420222,0.6911764705882353
cci,EUR_USD,short,0.6,916,0.07346421707927321,0.024688920687788565,0.025073932531207627,0.1218545016273388,0.6703056768558951
cci,USD_CAD,long,0.6,447,0.06511532095353974,0.035069816251983583,-0.003621518900348078,0.13385216080742757,0.6532438478747203
cci,USD_JPY,long,0.6,597,0.12955012406807057,0.02977401762077356,0.07119304953135439,0.18790719860478675,0.7051926298157454
ema,CHF_JPY,long,0.6,256,0.10806134962882694,0.04563207481093702,0.018622482999390372,0.1975002162582635,0.6875
ema,EUR_CAD,long,0.6,395,0.11643506216426805,0.03621220913373862,0.04545913226214035,0.18741099206639575,0.6860759493670886
ema,EUR_GBP,short,0.6,348,0.1331507089880712,0.03770443472560205,0.05925001692589117,0.20705140105025122,0.6925287356321839
ema,GBP_CAD,long,0.6,283,0.16358447388201114,0.041893908193226,0.08147241382328818,0.2456965339407341,0.7279151943462897
ichimoku,USD_SGD,short,0.6,171,0.1368658192655447,0.05046320648610544,0.037957934552778044,0.23577370397831135,0.6783625730994152
macd,AUD_JPY,long,0.6,203,0.12253581246828466,0.05136238917305719,0.02186552968909257,0.22320609524747675,0.6995073891625616
macd,CAD_CHF,short,0.6,308,0.18617293046631045,0.03983943530191561,0.10808763727455585,0.26425822365806506,0.7402597402597403
macd,EUR_CHF,short,0.6,255,0.11051640258820555,0.04315229534167852,0.025937903718515662,0.19509490145789543,0.6901960784313725
