status,pnl_pct,days_held,symbol,score_date,bh_entry,close_on_score,entry_dist_pct,score
no_fill,0.0,0,BKHAU,2026-02-13,12.12000129275566,,,2.0
time_profit,0.14691991864419496,2,BKIE,2026-02-13,99.89323693756029,,,2.0
success,1.4999999999999902,1,BKMC,2026-02-13,116.5632804257999,,,2.0
no_fill,0.0,0,BKSE,2026-02-13,119.33614615892135,,,2.0
time_profit,0.6143463154967499,2,BKN,2026-02-13,11.469537320069627,,,2.0
stopped_out,-3.0000000000000027,0,BKTI,2026-02-13,80.52793325867306,,,5.0
success,1.4999999999999902,1,BLCR,2026-02-13,42.38581162560929,,,2.0
time_profit,0.42602176247477086,2,BLCV,2026-02-13,38.333988865010404,,,2.0
time_profit,0.36622145626885594,2,BLES,2026-02-13,46.49461493424879,,,2.0
time_loss,-0.1651695461572178,2,BLUW,2026-02-13,10.32705715343172,,,2.0
time_loss,0.0,2,BLUWU,2026-02-13,10.680089652751262,,,2.0
no_fill,0.0,0,BMED,2026-02-13,30.302794742132004,,,2.0
no_fill,0.0,0,BME,2026-02-13,41.81988775796406,,,2.0
success,1.4999999999999902,1,BMN,2026-02-13,26.48473097998263,,,2.0
no_fill,0.0,0,BMVP,2026-02-13,52.16273944509035,,,2.0
time_profit,0.544426238173279,2,BNDS,2026-02-13,51.34762600581727,,,2.0
no_fill,0.0,0,BNT,2026-02-13,46.983427226351495,,,2.0
no_fill,0.0,0,BOAT,2026-02-13,37.49907913082931,,,5.0
success,1.4999999999999902,0,BOTT,2026-02-13,57.514651480615235,,,5.0
no_fill,0.0,0,BOUT,2026-02-13,39.76250183098375,,,2.0
no_fill,0.0,0,BOTJ,2026-02-13,20.400507853109367,,,5.0
no_fill,0.0,0,BPRN,2026-02-13,35.204661906320446,,,2.0
time_loss,-0.30624411672419694,2,BPYPM,2026-02-13,16.100875915490562,,,2.0
success,1.4999999999999902,0,BPYPN,2026-02-13,13.794391555432712,,,2.0
success,1.4999999999999902,0,BPYPO,2026-02-13,15.14540208768306,,,2.0
time_loss,-1.0872999646859727,2,BPYPP,2026-02-13,16.140904993335486,,,2.0
success,2.852244389027425,2,BRAZ,2026-02-13,32.10622823837856,,,5.0
time_profit,0.9603507434235548,2,BRCE,2026-02-13,26.244610378778894,,,2.0
success,1.4999999999999902,1,BRF,2026-02-13,18.483960176307253,,,5.0
success,1.5118790496760237,2,BRKD,2026-02-13,23.318610418280706,,,2.0
