status,pnl_pct,days_held,symbol,score_date,bh_entry
time_loss,-1.3708019191226772,6,UMH,2026-03-24,14.145266631090106
success,3.0927835051546504,5,OHI,2026-03-24,44.21873599374464
success,3.0927835051546504,2,EPRT,2026-03-24,30.76915407398012
success,3.0927835051546504,2,RY,2026-03-24,161.04877241432024
stopped_out,-4.05913629879392,1,WLYB,2026-03-24,36.53383167828294
success,3.092783505154628,2,BNS,2026-03-24,68.89455356345607
time_loss,-3.0367408147962904,6,CINF,2026-03-25,154.16377735533743
stopped_out,-3.8461538461538547,1,COP,2026-03-25,127.3700617029603
time_loss,-0.9686221009549745,6,SAFT,2026-03-25,72.19882432846309
time_loss,-0.165289256198331,6,UGI,2026-03-25,36.107790265656185
time_loss,-0.3293084522502654,6,JSM,2026-03-25,17.90508399223525
time_loss,-3.2182366744887614,6,ESNT,2026-03-25,57.50981118353801
time_loss,-1.713101348728474,6,STEW,2026-03-25,17.02329084640023
stopped_out,-3.8461538461538547,5,O,2026-03-25,59.49683429095006
time_loss,-0.369344413665762,6,AL,2026-03-25,64.67004968340855
time_loss,-0.18939393939395588,6,ALDF,2026-03-25,10.535286638456007
stopped_out,-3.8461538461538547,3,WDI,2026-03-26,13.048115461927765
stopped_out,-3.8461538461538436,5,ECAT,2026-03-26,13.570353075793479
time_profit,0.3486055776892538,6,BHF,2026-03-26,60.196673330579515
time_loss,-0.10116337885685,6,ACGLO,2026-03-26,19.651355412137075
success,3.092783505154628,0,HYAC,2026-03-26,11.309986027081067
time_profit,2.382153249272556,6,DTW,2026-03-26,21.08670109677711
time_profit,1.1169024571854091,6,FTHY,2026-03-26,13.442462313447006
time_loss,-3.4463994195537806,6,RY,2026-03-26,159.15496192867408
time_loss,-0.3453313484821918,6,JSM,2026-03-26,18.047460492789874
time_loss,-1.6666666666666718,6,BCAT,2026-03-26,14.115781055217882
stopped_out,-4.197349042709875,2,WDI,2026-03-27,12.945910786075782
time_profit,0.48105832832232576,6,DTB,2026-03-27,16.61256243771836
stopped_out,-4.610169491525418,6,BCAT,2026-03-27,13.893225265559462
stopped_out,-3.8461538461538547,4,RY,2026-03-27,157.18339321948307
success,3.0927835051546504,2,AIZN,2026-03-27,19.51548468770102
no_fill,0.0,0,AIRTP,2026-03-27,19.230738753073478
time_loss,-2.1104742053152714,6,ADC,2026-03-27,73.73090973151005
stopped_out,-3.855539287457288,5,UZD,2026-03-27,19.474746623854546
time_loss,-0.1845869866174521,6,TBB,2026-03-27,21.418278972680632
time_loss,-0.19379844961240345,6,FERA,2026-03-27,10.286993161568235
no_fill,0.0,0,DTB,2026-03-30,16.61237940645276
time_loss,-1.6551724137931045,6,TBB,2026-03-30,21.292330474632013
time_loss,-0.45118949958982135,6,AGNCP,2026-03-30,24.15133443621062
stopped_out,-4.70521541950114,5,STEW,2026-03-30,16.623434945168114
time_loss,-1.9926199261992683,6,WDI,2026-03-30,12.99390608707037
time_loss,-0.9477577438742446,6,CMSA,2026-03-30,21.265117538310243
no_fill,0.0,0,ALF,2026-03-30,10.77806000283264
time_loss,-0.19379844961240345,6,FERA,2026-03-30,10.29685079288479
time_loss,-0.4736218918563351,4,HOLX,2026-03-30,75.43328011330715
time_loss,-0.09225092250921829,6,GPAT,2026-03-30,10.811784963226295
stopped_out,-3.8461538461538436,6,ACGLN,2026-03-31,16.304544414747607
time_loss,-0.2767892447607778,6,FITBI,2026-03-31,25.10097539097157
stopped_out,-3.8461538461538547,2,BHFAL,2026-03-31,16.26004098484732
stopped_out,-3.8461538461538547,6,ACGLO,2026-03-31,19.3687965162045
time_loss,-1.7382473355919803,6,SFB,2026-03-31,19.406696151220583
time_loss,0.0,6,FOLD,2026-03-31,14.444318102348463
time_loss,-0.1407129455910039,6,GIG,2026-03-31,10.638643305178503
time_loss,0.0,6,FRGE,2026-03-31,44.98078010576032
time_loss,-0.2759889604415755,6,GPAT,2026-03-31,10.831300322995844
time_loss,0.0,6,GOGL,2026-03-31,7.968690408286305
time_loss,-1.3844023996308241,6,CMSA,2026-04-01,21.23993553048179
stopped_out,-5.410997103810566,3,FMS,2026-04-01,22.20003897973566
time_loss,-1.1416490486257924,6,OXLCO,2026-04-01,23.37464582122165
time_loss,-1.320132013201314,6,JSM,2026-04-01,17.86582547778456
time_loss,0.0,6,GATE,2026-04-01,36.049999960610045
time_loss,-0.7011274995404215,6,FITBI,2026-04-01,25.162334291616457
time_profit,0.048426150121083644,6,FERA,2026-04-01,10.297284612232295
time_loss,-0.3745318352059823,6,GIG,2026-04-01,10.629097354808609
time_loss,-1.3557419225979084,6,FTHY,2026-04-01,13.336703692064763
success,3.0927835051546504,4,AIRTP,2026-04-01,19.18426761680118
time_loss,-3.440233236151602,6,DTG,2026-04-02,16.47980031104783
