tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
106,-0.007417157323761413,0.09394944240770592,-0.19155806444286502,0.1767237497953422,46,-0.13715536059673983,0.14680485117886458,-0.42489286890731437,0.1505821477138347,EUR_USD,24,52,13,zero_cross,short,152
815,0.0032760971847585404,0.03463084417058746,-0.06460035738959288,0.07115255175910998,350,-0.04251478013248981,0.05213616255814481,-0.14470165874645363,0.059672098481474006,GBP_USD,6,13,5,signal_cross,long,1165
815,0.009171667310221798,0.03467200881915879,-0.05878546997532942,0.07712880459577302,350,0.03597920433108381,0.052106786160745204,-0.0661500965439768,0.1381085052061444,GBP_USD,6,13,5,signal_cross,short,1165
378,0.058627839176755535,0.05095819636658561,-0.04125022570175226,0.15850590405526332,162,-0.12738690726501978,0.07658914183963363,-0.27750162527070166,0.02272781074066213,GBP_USD,6,13,5,zero_cross,long,540
378,0.04007658671720843,0.05081447257187045,-0.059519779523657654,0.13967295295807453,162,0.09108267982942979,0.07653887760403326,-0.05893352027447539,0.24109887993333495,GBP_USD,6,13,5,zero_cross,short,540
658,-0.02489595153778527,0.0386023487409052,-0.10055655506995946,0.05076465199438891,282,-0.03205260433644821,0.05796571744828614,-0.14566541053508902,0.08156020186219262,GBP_USD,6,13,9,signal_cross,long,940
658,0.03267624211707373,0.038593027922724454,-0.0429660926114662,0.10831857684561366,282,0.03721952608355212,0.05800339007069305,-0.07646711845500626,0.1509061706221105,GBP_USD,6,13,9,signal_cross,short,940
378,0.058627839176755535,0.05095819636658561,-0.04125022570175226,0.15850590405526332,162,-0.12738690726501978,0.07658914183963363,-0.27750162527070166,0.02272781074066213,GBP_USD,6,13,9,zero_cross,long,540
378,0.04007658671720843,0.05081447257187045,-0.059519779523657654,0.13967295295807453,162,0.09108267982942979,0.07653887760403326,-0.05893352027447539,0.24109887993333495,GBP_USD,6,13,9,zero_cross,short,540
592,-0.0182382385567598,0.04070561520254713,-0.09802124435375217,0.061544767240232584,255,-0.020293547802733618,0.061146948719285846,-0.14014156729253388,0.09955447168706663,GBP_USD,6,13,13,signal_cross,long,847
592,0.0025874146304221976,0.04071927335155701,-0.07722236113862954,0.08239719039947394,254,0.03947985653642448,0.060839647613812206,-0.07976585278664744,0.1587255658594964,GBP_USD,6,13,13,signal_cross,short,846
378,0.058627839176755535,0.05095819636658561,-0.04125022570175226,0.15850590405526332,162,-0.12738690726501978,0.07658914183963363,-0.27750162527070166,0.02272781074066213,GBP_USD,6,13,13,zero_cross,long,540
378,0.04007658671720843,0.05081447257187045,-0.059519779523657654,0.13967295295807453,162,0.09108267982942979,0.07653887760403326,-0.05893352027447539,0.24109887993333495,GBP_USD,6,13,13,zero_cross,short,540
685,-0.016550576454658763,0.03785373800427012,-0.0907439029430282,0.057642750033710666,294,-0.05330347285618238,0.05666182890876363,-0.1643606575173591,0.057753711804994334,GBP_USD,8,17,5,signal_cross,long,979
685,0.026198869608579093,0.037802669789837165,-0.047894363179501756,0.10029210239665994,294,0.04274729115234851,0.056737442417186146,-0.06845809598533634,0.15395267829003334,GBP_USD,8,17,5,signal_cross,short,979
289,0.005624991997940938,0.058289722699957074,-0.10862286449397493,0.1198728484898568,124,-0.0308416047583848,0.08829054721811987,-0.20389107730589973,0.14220786778913014,GBP_USD,8,17,5,zero_cross,long,413
289,0.08405459647934257,0.057936044781396356,-0.029500051292194282,0.19760924425087945,124,-0.009632720044310612,0.08811053679380407,-0.1823293721601666,0.16306393207154535,GBP_USD,8,17,5,zero_cross,short,413
553,-0.005005409398312479,0.04217202513934917,-0.08766257867143686,0.07765175987481189,237,0.031710351405309846,0.06325594935485099,-0.09227130933019809,0.1556920121408178,GBP_USD,8,17,9,signal_cross,long,790
552,-0.02714680175476858,0.04228555973003507,-0.11002649882563731,0.05573289531610015,237,0.027220723735973264,0.06279526064409573,-0.09585798712645435,0.1502994345984009,GBP_USD,8,17,9,signal_cross,short,789
289,0.005624991997940938,0.058289722699957074,-0.10862286449397493,0.1198728484898568,124,-0.0308416047583848,0.08829054721811987,-0.20389107730589973,0.14220786778913014,GBP_USD,8,17,9,zero_cross,long,413
289,0.08405459647934257,0.057936044781396356,-0.029500051292194282,0.19760924425087945,124,-0.009632720044310612,0.08811053679380407,-0.1823293721601666,0.16306393207154535,GBP_USD,8,17,9,zero_cross,short,413
490,0.010477958482594703,0.044854077034062155,-0.07743603250416711,0.09839194946935653,211,0.037346649387785556,0.0674482568494648,-0.09485193403716544,0.16954523281273656,GBP_USD,8,17,13,signal_cross,long,701
