tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
90,-0.05453914603400604,0.1049320143159014,-0.2602058940931728,0.15112760202516073,39,-0.32800751814037793,0.14953492345481745,-0.6210959681118201,-0.03491906816893575,GBP_USD,6,13,9,zero_cross,long,129
100,-0.08543915340505791,0.09945376443315665,-0.28036853169404496,0.10949022488392914,44,0.014757962089636928,0.14770920458390172,-0.27475207889481046,0.3042680030740843,GBP_USD,6,13,9,zero_cross,short,144
164,-0.012766378672698591,0.07737672761077555,-0.16442476478981866,0.13889200744442148,71,-0.16506839530531042,0.1150816133748237,-0.39062835751996483,0.06049156690934401,GBP_USD,6,13,13,signal_cross,long,235
140,-0.056475618545993034,0.0836967697420444,-0.22052128724040007,0.107570050148414,60,0.04663521976131144,0.126867392220735,-0.20202486899132918,0.2952953085139521,GBP_USD,6,13,13,signal_cross,short,200
90,-0.05453914603400604,0.1049320143159014,-0.2602058940931728,0.15112760202516073,39,-0.32800751814037793,0.14953492345481745,-0.6210959681118201,-0.03491906816893575,GBP_USD,6,13,13,zero_cross,long,129
100,-0.08543915340505791,0.09945376443315665,-0.28036853169404496,0.10949022488392914,44,0.014757962089636928,0.14770920458390172,-0.27475207889481046,0.3042680030740843,GBP_USD,6,13,13,zero_cross,short,144
179,-0.09413650060999984,0.07398618241076962,-0.2391494181351083,0.05087641691510861,77,-0.1527144097979986,0.11089474581257863,-0.3700681115906527,0.06463929199465551,GBP_USD,8,17,5,signal_cross,long,256
178,-0.12424910129427454,0.07408505445395804,-0.2694558080240323,0.02095760543548321,77,0.023726869210559085,0.10974164346729295,-0.1913667519853351,0.23882049040645326,GBP_USD,8,17,5,signal_cross,short,255
77,-0.16082181743976084,0.1125691113973701,-0.3814572757786062,0.05981364089908453,33,-0.3558442309655048,0.16250726184995423,-0.6743584641914151,-0.037329997739594556,GBP_USD,8,17,5,zero_cross,long,110
80,0.18450686949435074,0.10830712882590385,-0.027775103004420792,0.39678884199312225,35,0.2,0.16803361008336118,-0.1293458757633879,0.529345875763388,GBP_USD,8,17,5,zero_cross,short,115
157,-0.08150807813583309,0.07890378784390846,-0.2361595023098937,0.07314334603822749,68,0.012472522599650442,0.11870733342288589,-0.2201938509092059,0.2451388961085068,GBP_USD,8,17,9,signal_cross,long,225
126,-0.09752847815677723,0.08835855488111355,-0.2707112457237598,0.07565428941020533,55,-0.01930541984479153,0.1336711049347331,-0.2813007855168684,0.24268994582728534,GBP_USD,8,17,9,signal_cross,short,181
77,-0.16082181743976084,0.1125691113973701,-0.3814572757786062,0.05981364089908453,33,-0.3558442309655048,0.16250726184995423,-0.6743584641914151,-0.037329997739594556,GBP_USD,8,17,9,zero_cross,long,110
80,0.18450686949435074,0.10830712882590385,-0.027775103004420792,0.39678884199312225,35,0.2,0.16803361008336118,-0.1293458757633879,0.529345875763388,GBP_USD,8,17,9,zero_cross,short,115
131,0.08159784296845203,0.08659888202887499,-0.08813596580814294,0.251331651745047,57,-0.10273152717384604,0.12959970052528866,-0.3567469402034118,0.15128388585571972,GBP_USD,8,17,13,signal_cross,long,188
116,-0.017241379310344827,0.09323661973427452,-0.1999851539895229,0.16550239536883324,51,0.1088070690089377,0.13946602417882684,-0.16454633838156285,0.3821604763994383,GBP_USD,8,17,13,signal_cross,short,167
