symbol,issue
MRAM,SPIKE: 2 days with >50% move
GCMGW,SPIKE: 6 days with >50% move
GCTK,SPIKE: 1 days with >50% move
GCTSW,SPIKE: 2 days with >50% move
GDC,SPIKE: 1 days with >50% move
GDEVW,SPIKE: 3 days with >50% move
GDHG,SPIKE: 1 days with >50% move
KRYS,SPIKE: 1 days with >50% move
GDSTW,SPIKE: 2 days with >50% move
GELS,SPIKE: 1 days with >50% move
GFAI,SPIKE: 11 days with >50% move
GFAIW,SPIKE: 1 days with >50% move
GGR,SPIKE: 1 days with >50% move
GGROW,SPIKE: 6 days with >50% move
RILYL,SPIKE: 1 days with >50% move
GHI,SPIKE: 1 days with >50% move
GIBO,SPIKE: 1 days with >50% move
GIBOW,SPIKE: 2 days with >50% move
GIGGW,SPIKE: 2 days with >50% move
GIGM,SPIKE: 2 days with >50% move
GIPR,SPIKE: 1 days with >50% move
GIPRW,SPIKE: 3 days with >50% move
GIW,GAPS: Missing 744 business days (88.2% of range)
GIWWW,SPIKE: 6 days with >50% move
LRN,SPIKE: 1 days with >50% move
GLTO,SPIKE: 2 days with >50% move
GLXG,SPIKE: 1 days with >50% move
GLW,SPIKE: 1 days with >50% move
GMGT,SPIKE: 1 days with >50% move
GMHS,SPIKE: 1 days with >50% move
GNPX,SPIKE: 2 days with >50% move
GNTA,SPIKE: 1 days with >50% move
GODN,SPIKE: 1 days with >50% move
GODNU,SPIKE: 1 days with >50% move
GOLD,SPIKE: 1 days with >50% move
GOLD,GAPS: Missing 1810 business days (94.8% of range)
GOTU,SPIKE: 4 days with >50% move
GOVX,SPIKE: 1 days with >50% move
GP,SPIKE: 2 days with >50% move
GRCL,SPIKE: 1 days with >50% move
GRI,SPIKE: 1 days with >50% move
GRNA,GAPS: Missing 18 business days (15.3% of range)
GRNAW,SPIKE: 1 days with >50% move
GRRRW,SPIKE: 1 days with >50% move
GRYP,SPIKE: 1 days with >50% move
GSDWW,SPIKE: 12 days with >50% move
GSIW,SPIKE: 1 days with >50% move
GSRMW,SPIKE: 2 days with >50% move
GTERR,SPIKE: 1 days with >50% move
GTN,SPIKE: 1 days with >50% move
GV,SPIKE: 1 days with >50% move
GVCIW,SPIKE: 7 days with >50% move
GVH,SPIKE: 1 days with >50% move
GWH,SPIKE: 2 days with >50% move
GXAI,SPIKE: 1 days with >50% move
VALE,SPIKE: 2 days with >50% move
TEX,SPIKE: 1 days with >50% move
JL,SPIKE: 3 days with >50% move
HCWB,SPIKE: 2 days with >50% move
HIHO,SPIKE: 1 days with >50% move
HKD,SPIKE: 1 days with >50% move
HKIT,SPIKE: 1 days with >50% move
HMACR,SPIKE: 4 days with >50% move
HMACW,SPIKE: 5 days with >50% move
HMCOW,SPIKE: 9 days with >50% move
NEXT,SPIKE: 4 days with >50% move
HOUR,SPIKE: 2 days with >50% move
HPLTW,SPIKE: 5 days with >50% move
HRTX,SPIKE: 5 days with >50% move
HRYU,SPIKE: 2 days with >50% move
HSCSW,SPIKE: 5 days with >50% move
HSDT,SPIKE: 1 days with >50% move
HT,SPIKE: 3 days with >50% move
HTCR,SPIKE: 6 days with >50% move
HUBCW,SPIKE: 2 days with >50% move
HUBCZ,SPIKE: 52 days with >50% move
HUBG,SPIKE: 3 days with >50% move
ZVZZT,SPIKE: 21 days with >50% move
HWH,SPIKE: 1 days with >50% move
HXHX,SPIKE: 1 days with >50% move
HYMCL,SPIKE: 2 days with >50% move
HYZNW,SPIKE: 3 days with >50% move
IBACR,SPIKE: 1 days with >50% move
IBG,SPIKE: 2 days with >50% move
ICON,SPIKE: 1 days with >50% move
ICU,SPIKE: 2 days with >50% move
ICUCW,SPIKE: 1 days with >50% move
IINN,SPIKE: 4 days with >50% move
IINNW,SPIKE: 15 days with >50% move
IKT,SPIKE: 1 days with >50% move
ILAG,SPIKE: 7 days with >50% move
ILLR,SPIKE: 2 days with >50% move
ILLRW,SPIKE: 8 days with >50% move
IMACW,SPIKE: 14 days with >50% move
IMG,SPIKE: 1 days with >50% move
