strategy,pair,direction,entry_mode,entry_ts,exit_ts,r
stoch,CAD_CHF,short,mid,2017-03-24 01:00:00,2017-03-24 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-03-28 21:00:00,2017-03-30 01:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-03-29 09:00:00,2017-03-30 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-03-30 01:00:00,2017-04-10 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-03-30 17:00:00,2017-04-04 05:00:00,0.5
stoch,CAD_CHF,short,mid,2017-03-31 13:00:00,2017-04-03 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-04-02 21:00:00,2017-04-03 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-04-05 17:00:00,2017-04-10 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-04-07 13:00:00,2017-04-13 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-04-10 01:00:00,2017-04-12 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-04-10 13:00:00,2017-04-18 05:00:00,0.5
stoch,CAD_CHF,short,mid,2017-04-11 13:00:00,2017-04-18 05:00:00,0.5
stoch,CAD_CHF,short,mid,2017-04-13 13:00:00,2017-04-18 01:00:00,0.5
stoch,CAD_CHF,short,mid,2017-04-21 09:00:00,2017-04-23 21:00:00,0.4999999999999925
stoch,CAD_CHF,short,mid,2017-04-27 05:00:00,2017-04-28 05:00:00,0.5000000000000075
stoch,CAD_CHF,short,mid,2017-05-04 05:00:00,2017-05-04 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-05-08 01:00:00,2017-05-09 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-05-08 21:00:00,2017-05-10 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-05-09 09:00:00,2017-05-10 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-05-09 21:00:00,2017-05-12 13:00:00,0.5000000000000075
stoch,CAD_CHF,short,mid,2017-05-10 13:00:00,2017-05-11 01:00:00,0.5
stoch,CAD_CHF,short,mid,2017-05-10 21:00:00,2017-05-12 13:00:00,0.49999999999999245
stoch,CAD_CHF,short,mid,2017-05-19 05:00:00,2017-05-24 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-05-23 21:00:00,2017-05-31 13:00:00,0.5000000000000077
stoch,CAD_CHF,short,mid,2017-05-28 21:00:00,2017-05-31 09:00:00,0.5
stoch,CAD_CHF,short,mid,2017-05-29 05:00:00,2017-05-31 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-05-29 21:00:00,2017-05-30 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-06-06 09:00:00,2017-06-12 17:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-06-09 13:00:00,2017-06-12 21:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-06-13 01:00:00,2017-06-16 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-06-13 13:00:00,2017-06-27 17:00:00,0.5
stoch,CAD_CHF,short,mid,2017-06-14 09:00:00,2017-06-21 17:00:00,0.5000000000000075
stoch,CAD_CHF,short,mid,2017-06-15 09:00:00,2017-06-21 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-06-16 01:00:00,2017-06-21 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-06-16 09:00:00,2017-06-21 13:00:00,0.5000000000000075
stoch,CAD_CHF,short,mid,2017-06-18 21:00:00,2017-06-20 09:00:00,0.5
stoch,CAD_CHF,short,mid,2017-06-19 05:00:00,2017-06-21 17:00:00,0.5
stoch,CAD_CHF,short,mid,2017-06-19 21:00:00,2017-06-20 09:00:00,0.5000000000000075
stoch,CAD_CHF,short,mid,2017-06-22 13:00:00,2017-06-23 09:00:00,0.5
stoch,CAD_CHF,short,mid,2017-06-23 01:00:00,2017-06-23 09:00:00,0.5
stoch,CAD_CHF,short,mid,2017-06-28 17:00:00,2017-07-04 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-06-29 13:00:00,2017-07-03 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-06-30 01:00:00,2017-07-04 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-06-30 09:00:00,2017-07-04 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-02 21:00:00,2017-07-04 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-03 17:00:00,2017-07-07 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-04 01:00:00,2017-07-07 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-04 17:00:00,2017-07-06 17:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2017-07-07 13:00:00,2017-07-11 17:00:00,0.5
stoch,CAD_CHF,short,mid,2017-07-10 13:00:00,2017-07-11 17:00:00,0.4999999999999926
stoch,CAD_CHF,short,mid,2017-07-12 17:00:00,2017-07-18 13:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2017-07-13 17:00:00,2017-07-18 05:00:00,0.4999999999999927
stoch,CAD_CHF,short,mid,2017-07-14 09:00:00,2017-07-18 13:00:00,0.4999999999999927
stoch,CAD_CHF,short,mid,2017-07-14 17:00:00,2017-07-18 01:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2017-07-17 01:00:00,2017-07-17 21:00:00,0.5
stoch,CAD_CHF,short,mid,2017-07-19 21:00:00,2017-07-20 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-07-25 05:00:00,2017-07-26 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-25 17:00:00,2017-07-27 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-26 05:00:00,2017-07-27 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-26 17:00:00,2017-07-27 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-27 09:00:00,2017-07-28 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-27 17:00:00,2017-07-28 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-28 01:00:00,2017-07-28 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-07-28 13:00:00,2017-07-31 13:00:00,0.4999999999999929
stoch,CAD_CHF,short,mid,2017-08-03 17:00:00,2017-08-07 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-08-14 05:00:00,2017-08-16 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-08-14 13:00:00,2017-08-17 17:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2017-08-15 05:00:00,2017-08-17 21:00:00,0.49999999999999273
stoch,CAD_CHF,short,mid,2017-08-16 13:00:00,2017-08-17 13:00:00,0.5
