tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
283,-0.06288375252074785,0.05902577871575341,-0.17857427880362453,0.052806773762128834,122,0.02474189872009994,0.08938152986610905,-0.1504458998174738,0.19992969725767368,GBP_USD,20,1.5,14,long,405
210,-0.014197325715536275,0.0687128438309233,-0.14887449962414595,0.12047984819307339,90,0.10746535563501547,0.10315554484017296,-0.09471951225172354,0.3096502235217545,GBP_USD,20,2.0,14,long,300
140,0.0,0.08481889296799709,-0.1662450302172743,0.1662450302172743,60,0.23448787056274137,0.12357667727464237,-0.007722416895557693,0.47669815802104043,GBP_USD,20,2.5,14,long,200
357,-0.08214499285462684,0.05227974012587076,-0.18461328350133355,0.02032329779207985,153,0.05272025950679035,0.07851201305260996,-0.10116328607632519,0.2066038050899059,GBP_USD,20,1.0,14,short,510
289,0.022441431361661393,0.05815968672141595,-0.09155155461231387,0.13643441733563666,124,0.0037984578358524236,0.08780367143163326,-0.16829673817014876,0.1758936538418536,GBP_USD,20,1.5,14,short,413
214,-0.015505709880159127,0.06731043691598125,-0.14743416623548236,0.11642274647516411,92,-0.06843298754289229,0.10271626027876453,-0.26975685768927077,0.1328908826034862,GBP_USD,20,2.0,14,short,306
130,-0.019993271602413532,0.08658337853847309,-0.1896966935378208,0.1497101503329937,57,-0.21519529569153717,0.12646217168092885,-0.46306115218615773,0.032670560803083365,GBP_USD,20,2.5,14,short,187
249,-0.13098692788032867,0.06234113035457786,-0.2531755433753013,-0.008798312385356069,108,0.14947732697082264,0.09346260663776161,-0.033709382039190106,0.3326640359808354,GBP_USD,50,1.0,14,long,357
233,-0.07866713093629203,0.06491145767532511,-0.20589358797992924,0.04855932610734519,101,0.26699623830216024,0.09589517766697062,0.07904169007489784,0.45495078652942267,GBP_USD,50,1.5,14,long,334
201,0.0010382841293642049,0.07005373316505029,-0.13626703287413433,0.13834360113286276,87,0.10357232961582533,0.10663674324360378,-0.10543568714163809,0.31258034637328874,GBP_USD,50,2.0,14,long,288
170,0.004318476657612001,0.076293294122577,-0.1452163798226389,0.15385333313786292,73,-0.10301088341544416,0.11470407040820528,-0.32783086141552653,0.12180909458463819,GBP_USD,50,2.5,14,long,243
261,-0.0443461431678365,0.06138161159222432,-0.16465410188859617,0.07596181555292317,112,0.082433367567167,0.09322376680113985,-0.1002852153630671,0.2651519504974011,GBP_USD,50,1.0,14,short,373
230,-0.06922292170272902,0.06528314659543084,-0.19717788902977346,0.05873204562431543,99,0.029554693123957455,0.09901316212990038,-0.1645111046506473,0.2236204908985622,GBP_USD,50,1.5,14,short,329
199,-0.09001202601039278,0.06976911739446844,-0.2267594961035509,0.04673544408276535,86,-0.2702924320486655,0.1011955697639907,-0.46863574878608727,-0.0719491153112437,GBP_USD,50,2.0,14,short,285
184,-0.05026415219983264,0.07281688356018677,-0.1929852439777987,0.09245693957813343,79,-0.21655327565816118,0.10689467115813871,-0.42606683112811305,-0.0070397201882093086,GBP_USD,50,2.5,14,short,263
181,-0.05056625926482928,0.07389309367111917,-0.19539672286022283,0.09426420433056429,78,0.04570948817658265,0.11327966378403186,-0.17631865284011977,0.2677376291932851,GBP_USD,100,1.0,14,long,259
171,-0.07104215041279671,0.07628250562801765,-0.2205558614437113,0.07847156061811789,74,0.04620922135286156,0.11418894903325431,-0.17760111875231688,0.27001956145804,GBP_USD,100,1.5,14,long,245
161,-0.0831860511312252,0.07784506573257646,-0.23576237996707505,0.06939027770462468,70,0.18245087776713725,0.11673315120382748,-0.046346098592364604,0.4112478541266391,GBP_USD,100,2.0,14,long,231
158,-0.11544786877622593,0.07859126052404607,-0.2694867394033562,0.03859100185090436,69,0.0192171970003711,0.11996738234904021,-0.21591887240374769,0.2543532664044899,GBP_USD,100,2.5,14,long,227
168,0.0724980494593517,0.07710313616766042,-0.07862409742926271,0.22362019634796612,72,-0.15860898586926356,0.11601172398512971,-0.3859919648801178,0.06877399314159066,GBP_USD,100,1.0,14,short,240
179,0.0001891873059147743,0.07434916602647086,-0.1455351781059681,0.14591355271779766,77,-0.17041457678154007,0.11127857847569315,-0.38852059059389865,0.04769143703081852,GBP_USD,100,1.5,14,short,256
178,-0.1605187151880316,0.07362118708399096,-0.3048162418726539,-0.01622118850340931,77,-0.0971678450768792,0.11095030065772672,-0.31463043436602356,0.12029474421226516,GBP_USD,100,2.0,14,short,255
166,0.11362322104450599,0.0764246684444241,-0.03616912910656524,0.26341557119557724,72,-0.1470901914958074,0.11311087118287208,-0.3687874990142367,0.07460711602262188,GBP_USD,100,2.5,14,short,238
121,-0.008264462809917356,0.09128397534865505,-0.18718105449328126,0.17065212887344655,53,0.011225521737654051,0.13670041266701763,-0.2567072870897005,0.2791583305650086,GBP_USD,200,1.0,14,long,174
121,-0.12396694214876033,0.09058293608871586,-0.3015094968826434,0.05357561258512275,53,-0.022574482748954707,0.1356602648880206,-0.28846860192947504,0.24331963643156565,GBP_USD,200,1.5,14,long,174
118,-0.0035955001687387614,0.09169958935100685,-0.1833266952967122,0.17613569495923465,52,-0.39801475369834216,0.12122914664717795,-0.6356238811268109,-0.1604056262698734,GBP_USD,200,2.0,14,long,170
131,-0.14864730934307135,0.0854898866161401,-0.31620748711070595,0.018912868424563245,57,-0.3392570020268658,0.12075361358536078,-0.575934084654173,-0.10257991939955868,GBP_USD,200,2.5,14,long,188
114,0.008584221685277265,0.09300480732835667,-0.1737052006783018,0.19087364404885632,50,-0.10658848059425263,0.1404519244698951,-0.38187425255524704,0.16869729136674178,GBP_USD,200,1.0,14,short,164
129,-0.1203851086350826,0.08747634637888325,-0.2918387475376938,0.05106853026752857,56,0.16939347729285298,0.13084621603671961,-0.08706510613911744,0.4258520607248234,GBP_USD,200,1.5,14,short,185
128,-0.04338178905310122,0.08803298241274383,-0.21592643458207914,0.1291628564758767,56,-0.167410220510212,0.13167206154695338,-0.4254874611422407,0.09066702012181663,GBP_USD,200,2.0,14,short,184
126,-0.0994418969359179,0.08872115289044355,-0.27333535660118724,0.07445156272935147,55,-0.2690281731393488,0.13059537641823685,-0.524995110919093,-0.013061235359604573,GBP_USD,200,2.5,14,short,181
380,0.01679520168210206,0.05121866414856471,-0.08359338004908477,0.1171837834132889,164,-0.08536585365853659,0.07804012932751267,-0.23832450714046144,0.06759279982338824,AUD_USD,20,1.0,14,long,544
296,0.08641460900517281,0.0578325914525658,-0.02693727024185616,0.19976648825220178,128,-0.010975097810846296,0.08843999284255713,-0.18431748378225826,0.16236728816056567,AUD_USD,20,1.5,14,long,424
214,0.05960097321489976,0.06810824710271493,-0.0738911911064215,0.19309313753622104,92,0.13043478260869565,0.10393292255081683,-0.07327374559090535,0.3341433108082966,AUD_USD,20,2.0,14,long,306
141,-0.05040815051993311,0.08434688290273178,-0.21572804100928739,0.11491173996942117,61,0.22568508166958337,0.12473735006133667,-0.0188001244506365,0.47017028778980324,AUD_USD,20,2.5,14,long,202
401,-0.0044255670984616295,0.04981933370873007,-0.10207146116757257,0.0932203269706493,173,0.10138297049732511,0.07547929409235975,-0.04655644592369998,0.2493223869183502,AUD_USD,20,1.0,14,short,574
317,-0.034902270357214535,0.056044499855140754,-0.1447494900732904,0.07494494935886134,136,0.15102392570615622,0.08453379768785405,-0.014662317762037719,0.31671016917435013,AUD_USD,20,1.5,14,short,453
