tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
280,-0.0722508942923333,0.05952697314573027,-0.18892376165796465,0.044421973073298024,120,-0.016666666666666666,0.0916571168949671,-0.19631461578080217,0.16298128244746884,AUD_USD,12,30,60,30,cloud_break,short,400
98,0.007338359731378485,0.10083293163140183,-0.19029418626616912,0.20497090572892607,43,0.11627906976744186,0.15325664577635612,-0.18410395595421614,0.4166620954890998,AUD_USD,12,30,60,30,tk_cross_above_cloud,long,141
99,0.09894263185078561,0.10002716538904376,-0.09711061231174015,0.29499587601331134,43,-0.20930232558139536,0.15088568177409611,-0.5050382618586238,0.08643361069583302,AUD_USD,12,30,60,30,tk_cross_above_cloud,short,142
272,0.031099330615689598,0.058736894507849746,-0.0840249826196959,0.14622364385107509,117,0.13794144393255411,0.08223485070805912,-0.02323886345524176,0.29912175132035,USD_CAD,9,26,52,26,tk_cross,long,389
269,-0.012417646624897643,0.05884932854766766,-0.12776233057832626,0.10292703732853098,116,-0.18505613163549342,0.08452639464749637,-0.3507278651445863,-0.019384398126400554,USD_CAD,9,26,52,26,tk_cross,short,385
305,0.0501432990357155,0.055159263480089024,-0.057968857385258976,0.15825545545668998,132,0.1583570892972877,0.0746602929677213,0.012022915080553975,0.3046912635140214,USD_CAD,9,26,52,26,cloud_break,long,437
284,0.037570939604393436,0.0571836386355799,-0.07450899212134317,0.14965087133013005,122,-0.2647677995043576,0.07578724869430456,-0.4133108069451945,-0.11622479206352065,USD_CAD,9,26,52,26,cloud_break,short,406
130,-0.015777616688698513,0.08440037355578928,-0.18120234885804548,0.14964711548064846,57,0.02444468432911699,0.11327404649677392,-0.1975724468045599,0.24646181546279386,USD_CAD,9,26,52,26,tk_cross_above_cloud,long,187
114,0.09639033809630371,0.0903243711635514,-0.08064542938425703,0.2734261055768644,50,-0.2310403023375757,0.12746228072751126,-0.48086637256349773,0.018785767888346377,USD_CAD,9,26,52,26,tk_cross_above_cloud,short,164
303,0.028142630138952296,0.05561468967364993,-0.08086216162140156,0.13714742189930615,130,0.12314526999603878,0.07860220661709033,-0.030915054973458256,0.2772055949655358,USD_CAD,7,22,44,22,tk_cross,long,433
302,0.007239748908384337,0.055483506325815106,-0.10150792349021326,0.11598742130698195,130,-0.061877022748630765,0.07931487621778109,-0.2173341801354817,0.09358013463822015,USD_CAD,7,22,44,22,tk_cross,short,432
332,0.0120933843919484,0.05298846295647514,-0.09176400300274287,0.11595077178663968,143,0.042567816797884836,0.07110338010748907,-0.09679480821279372,0.18193044180856338,USD_CAD,7,22,44,22,cloud_break,long,475
302,-0.04513498707529444,0.055335244303575074,-0.15359206591030158,0.0633220917597127,130,-0.204543183306139,0.07257777989900031,-0.34679563190817964,-0.06229073470409838,USD_CAD,7,22,44,22,cloud_break,short,432
137,-0.003595981740676426,0.08176245908460551,-0.16385040154650324,0.15665843806515037,59,0.0415920358960897,0.11867023751117123,-0.1910016296258059,0.2741857014179853,USD_CAD,7,22,44,22,tk_cross_above_cloud,long,196
129,-0.10024082542317776,0.08493158326555336,-0.26670672862366235,0.06622507777730684,56,-0.207857695552807,0.12261870072337411,-0.44819034897062027,0.03247495786500623,USD_CAD,7,22,44,22,tk_cross_above_cloud,short,185
221,0.05396760156410353,0.06488843939165004,-0.07321373964353055,0.1811489427717376,96,0.032539278097877496,0.0922492100502813,-0.14826917360067388,0.21334772979642885,USD_CAD,12,30,60,30,tk_cross,long,317
222,-0.04370108917047853,0.06433880619687851,-0.16980514931636043,0.08240297097540335,96,-0.13733622290753558,0.09483366912423942,-0.3232102143910448,0.04853776857597367,USD_CAD,12,30,60,30,tk_cross,short,318
266,0.010994327708386924,0.05875504496158645,-0.10416556041632252,0.12615421583309636,115,0.2894028892583118,0.07958615323449154,0.13341402891870838,0.4453917495979153,USD_CAD,12,30,60,30,cloud_break,long,381
255,0.04694948651514864,0.060154404124150365,-0.07095314556818608,0.16485211859848334,110,-0.3197627897715066,0.0803816714686515,-0.4773108658500635,-0.16221471369294965,USD_CAD,12,30,60,30,cloud_break,short,365
109,0.014917852933757246,0.09304943163935869,-0.16745903307938578,0.19729473894690028,48,-0.10103338513818365,0.1294063682790628,-0.35466986696514674,0.15260309668877942,USD_CAD,12,30,60,30,tk_cross_above_cloud,long,157
97,0.061400186425487446,0.09741131277952135,-0.12952598662237438,0.25232635947334925,42,-0.2205762929325831,0.1449210509010828,-0.5046215526987053,0.06346896683353917,USD_CAD,12,30,60,30,tk_cross_above_cloud,short,139
256,-0.07276731480635888,0.06008653071196612,-0.19053691500181247,0.045002285389094704,111,0.010307826916143329,0.09347441268340279,-0.17290202194332613,0.19351767577561277,USD_CHF,9,26,52,26,tk_cross,long,367
254,0.05017906824565507,0.060907161990075676,-0.06919896925489324,0.1695571057462034,109,0.09667217757541419,0.09454006086699152,-0.08862634172388917,0.28197069687471754,USD_CHF,9,26,52,26,tk_cross,short,363
294,-0.04931743614721311,0.05595920102660618,-0.15899747015936122,0.060362597864935,126,0.14740314953286932,0.08673930435770243,-0.022605887008227438,0.31741218607396604,USD_CHF,9,26,52,26,cloud_break,long,420
288,0.16224996156644084,0.056384983668870556,0.05173539357545455,0.27276452955742714,124,0.1431724594979963,0.08803762218261112,-0.02938127997992146,0.3157261989759141,USD_CHF,9,26,52,26,cloud_break,short,412
105,0.015929095828237632,0.09336623335639115,-0.167068721550289,0.19892691320676426,46,0.15005997661597342,0.14487084453940055,-0.13388687868125165,0.4340068319131985,USD_CHF,9,26,52,26,tk_cross_above_cloud,long,151
110,0.12322740776006724,0.09138177269427616,-0.055880866720714045,0.3023356822408485,48,0.38124950695018583,0.13182023245705268,0.12288185133436258,0.6396171625660091,USD_CHF,9,26,52,26,tk_cross_above_cloud,short,158
