tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
125,-0.04,0.08973078013271589,-0.21587232906012316,0.13587232906012314,55,-0.09090909090909091,0.1355192713636236,-0.35652686278179313,0.17470868096361133,NZD_USD,7,22,44,22,tk_cross,long,180
131,0.022900763358778626,0.08768280048156035,-0.14895752558507966,0.19475905230263693,57,-0.11456798708615157,0.131899946382797,-0.37309188199643367,0.14395590782413054,NZD_USD,7,22,44,22,tk_cross,short,188
59,0.15254237288135594,0.12976974465911464,-0.10180632665050873,0.40689107241322064,26,-0.15384615384615385,0.19761896274869428,-0.5411793208335947,0.23348701314128695,NZD_USD,7,22,44,22,cloud_break,long,85
56,-0.21428571428571427,0.13170777796132696,-0.4724329590899151,0.04386153051848654,24,-0.16666666666666666,0.20559798491465375,-0.569638717099388,0.23630538376605467,NZD_USD,7,22,44,22,cloud_break,short,80
35,-0.08571428571428572,0.17086742893632043,-0.42061444642947377,0.2491858750009023,15,0.2,0.26186146828319085,-0.313248477835054,0.7132484778350541,NZD_USD,7,22,44,22,tk_cross_above_cloud,long,50
55,-0.01818181818181818,0.13606026860996148,-0.2848599446573427,0.24849630829370634,24,-0.08333333333333333,0.20778914433245896,-0.49060005622495284,0.3239333895582862,NZD_USD,7,22,44,22,tk_cross_above_cloud,short,79
100,-0.09051493305870247,0.09958669957535418,-0.2857048642263967,0.10467499810899174,43,0.023255813953488372,0.15426161815606512,-0.2790969576323993,0.325608585539376,NZD_USD,12,30,60,30,tk_cross,long,143
102,-0.13725490196078433,0.09856199194575063,-0.3304364061744556,0.0559266022528869,45,0.06666666666666667,0.15042028661807097,-0.22815709510475246,0.36149042843808576,NZD_USD,12,30,60,30,tk_cross,short,147
43,0.023255813953488372,0.15426161815606512,-0.2790969576323993,0.325608585539376,19,-0.05263157894736842,0.23537557657892524,-0.5139677090420619,0.40870455114732507,NZD_USD,12,30,60,30,cloud_break,long,62
52,-0.3076923076923077,0.13323467750529827,-0.5688322756026923,-0.04655233978192308,23,0.13043478260869565,0.2113793194801729,-0.2838686835724432,0.5447382487898346,NZD_USD,12,30,60,30,cloud_break,short,75
37,0.02702702702702703,0.16660578386402644,-0.2995203093464648,0.35357436340051884,17,-0.3559701944629557,0.22564043096708758,-0.7982254391584473,0.08628505023253596,NZD_USD,12,30,60,30,tk_cross_above_cloud,long,54
39,-0.02564102564102564,0.16216808513683997,-0.343490472509232,0.29220842122718066,17,0.058823529411764705,0.2495670992423109,-0.43032798510316467,0.547975043926694,NZD_USD,12,30,60,30,tk_cross_above_cloud,short,56
108,0.10892581247592492,0.0944146200895189,-0.07612684289953212,0.29397846785138193,47,-0.10638297872340426,0.14660525687813158,-0.3937292822045421,0.18096332475773363,USD_SEK,9,26,52,26,tk_cross,long,155
93,-0.013429607571846917,0.10400314770037176,-0.21727577706457557,0.19041656192088174,41,-0.024390243902439025,0.15806684630263076,-0.33420126265559535,0.28542077485071726,USD_SEK,9,26,52,26,tk_cross,short,134
44,0.09399640401543002,0.14889627707288602,-0.19784029904742656,0.3858331070782866,20,0.3,0.21884866196096617,-0.1289433774434937,0.7289433774434937,USD_SEK,9,26,52,26,cloud_break,long,64
61,-0.0607233108417549,0.12789021212126223,-0.3113881265994289,0.18994150491591907,27,-0.037037037037037035,0.19598157859737708,-0.4211609310878961,0.347086857013822,USD_SEK,9,26,52,26,cloud_break,short,88
37,0.29134565295699794,0.15496083587589693,-0.012377585359760024,0.5950688912737558,16,0.375,0.23935677693908453,-0.09413928280060568,0.8441392828006057,USD_SEK,9,26,52,26,tk_cross_above_cloud,long,53
35,0.02145847130909249,0.17038748358477424,-0.312500996517065,0.35541793913525,16,0.25,0.25,-0.24,0.74,USD_SEK,9,26,52,26,tk_cross_above_cloud,short,51
129,0.04813461172395753,0.08795732794560548,-0.12426175104942921,0.22053097449734427,56,-0.10714285714285714,0.13406378455884793,-0.3699078748781991,0.1556221605924848,USD_SEK,7,22,44,22,tk_cross,long,185
114,0.04582150880224762,0.09347110586411457,-0.13738185869141695,0.22902487629591217,49,0.10204081632653061,0.14358415591296209,-0.17938412926287506,0.3834657619159363,USD_SEK,7,22,44,22,tk_cross,short,163
53,-0.11953612964174883,0.13650626146920086,-0.3870884021213825,0.1480161428378849,24,-0.25,0.2018932132718121,-0.6457106980127516,0.14571069801275166,USD_SEK,7,22,44,22,cloud_break,long,77
68,0.058823529411764705,0.12195789537619202,-0.18021394552557163,0.29786100434910107,30,0.2,0.18194353045893685,-0.1566093196995162,0.5566093196995162,USD_SEK,7,22,44,22,cloud_break,short,98
