instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high
NATGAS_USD,trend,donchian55,D1,market,1,159,-0.8554499014777976,0,0.08169776756241387,-1.0155775259001287,-0.6953222770554665
NATGAS_USD,trend,donchian55,H4,limit,-1,573,-0.5539236928360388,0,0.051871482959575124,-0.655591799436806,-0.45225558623527157
NATGAS_USD,trend,donchian55,H4,limit,1,641,-0.5083387326050494,0,0.04858272752964313,-0.6035608785631499,-0.41311658664694884
NATGAS_USD,trend,donchian55,H4,market,-1,573,-0.7640227292147391,0,0.049425365601310854,-0.8608964457933084,-0.6671490126361699
NATGAS_USD,trend,donchian55,H4,market,1,641,-0.6754753450707282,0,0.04631912301292809,-0.7662608261760672,-0.5846898639653891
NATGAS_USD,trend,supertrend10x3,D1,limit,-1,1548,-0.9018354194925092,0,0.0272590513075387,-0.9552631600552851,-0.8484076789297333
NATGAS_USD,trend,supertrend10x3,D1,limit,1,1607,-0.840550410253692,0,0.026969707363001617,-0.8934110366851752,-0.7876897838222089
NATGAS_USD,trend,supertrend10x3,D1,market,-1,1548,-0.9977297518805712,0,0.025573849077891776,-1.047854496073239,-0.9476050076879033
NATGAS_USD,trend,supertrend10x3,D1,market,1,1607,-0.9162242088619083,0,0.02575710645818104,-0.9667081375199431,-0.8657402802038734
NATGAS_USD,trend,supertrend10x3,H4,limit,-1,8377,-0.5441075761547738,0,0.013525263938848496,-0.5706170934749168,-0.5175980588346307
NATGAS_USD,trend,supertrend10x3,H4,limit,1,7665,-0.48979246364243484,0,0.014137186236446065,-0.5175013486658692,-0.46208357861900057
NATGAS_USD,trend,supertrend10x3,H4,market,-1,8377,-0.7312932466163741,0,0.012957253930204497,-0.7566894643195748,-0.7058970289131733
NATGAS_USD,trend,supertrend10x3,H4,market,1,7665,-0.6815966451111539,0,0.013543493150284885,-0.7081418916857123,-0.6550513985365956
NATGAS_USD,trend,tsmom63,D1,limit,-1,1465,-0.9134887102845647,0,0.028091612872883212,-0.9685482715154158,-0.8584291490537136
NATGAS_USD,trend,tsmom63,D1,limit,1,1635,-0.7982155943421845,0,0.02694773009081201,-0.851033145320176,-0.7453980433641929
NATGAS_USD,trend,tsmom63,D1,market,-1,1465,-1.0096817657116708,0,0.026365852650344586,-1.0613588369063462,-0.9580046945169954
NATGAS_USD,trend,tsmom63,D1,market,1,1635,-0.8909544456443643,0,0.025547610340243724,-0.941027761911242,-0.8408811293774866
NATGAS_USD,trend,tsmom63,H4,limit,-1,7767,-0.537440063083084,0,0.01406644564918014,-0.5650102965554771,-0.5098698296106909
NATGAS_USD,trend,tsmom63,H4,limit,1,8203,-0.4747446227480671,0,0.013619599251748044,-0.5014390372814933,-0.4480502082146409
NATGAS_USD,trend,tsmom63,H4,market,-1,7767,-0.7209427502483305,0,0.013539338126250001,-0.7474798529757806,-0.6944056475208805
NATGAS_USD,trend,tsmom63,H4,market,1,8203,-0.6609495431826037,0,0.01308219513747462,-0.686590645652054,-0.6353084407131534
WTICO_USD,mr_under_limit,atr_range_exp,H4,limit,1,2484,-0.033876517753124065,0,0.0248840030684513,-0.08264916376728862,0.014896128261040482
WTICO_USD,mr_under_limit,atr_range_exp,H4,market,1,2484,-0.23301845149401723,0,0.023958339698599732,-0.2799767973032727,-0.18606010568476175
WTICO_USD,mr_under_limit,bb_p20_2,H4,limit,1,914,-0.06605402265153695,0,0.041001215040959285,-0.14641640413181717,0.014308358828743248
WTICO_USD,mr_under_limit,bb_p20_2,H4,market,1,914,-0.2628382494339451,0,0.039371539324692804,-0.34000646651034305,-0.18567003235754723
WTICO_USD,mr_under_limit,cci20_lt-100,H4,limit,1,3098,-0.0766214828761456,0,0.022198694498699774,-0.12013092409359716,-0.03311204165869405
WTICO_USD,mr_under_limit,cci20_lt-100,H4,market,1,3098,-0.2725687176429513,0,0.021281946949198025,-0.31428133366337946,-0.23085610162252318
WTICO_USD,mr_under_limit,ema50_dist_low,H4,limit,1,5066,-0.0755779204770515,0,0.017375556624081474,-0.1096340114602512,-0.04152182949385181
WTICO_USD,mr_under_limit,ema50_dist_low,H4,market,1,5066,-0.287134898925252,0,0.016591861372323432,-0.3196549472150059,-0.2546148506354981
WTICO_USD,mr_under_limit,macd_hist_low,H4,limit,1,1743,-0.05154896818759373,0,0.029637841782629765,-0.10963913808154807,0.006541201706360605
WTICO_USD,mr_under_limit,macd_hist_low,H4,market,1,1743,-0.2651197872843023,0,0.028376570698765213,-0.3207378658538821,-0.20950170871472248
WTICO_USD,mr_under_limit,rsi14_lt30,H4,limit,1,839,0.06985349838103164,0,0.043265624198194005,-0.014947125047428608,0.1546541218094919
WTICO_USD,mr_under_limit,rsi14_lt30,H4,market,1,839,-0.2011463631880121,0,0.04171179316194471,-0.28290147778542374,-0.11939124859060046
WTICO_USD,mr_under_limit,sma50_dist_low,H4,limit,1,5268,-0.07145205279699725,0,0.017038862339423276,-0.10484822298226687,-0.038055882611727626
WTICO_USD,mr_under_limit,sma50_dist_low,H4,market,1,5268,-0.28248543609850385,0,0.016281590670153234,-0.3143973538120042,-0.2505735183850035
WTICO_USD,mr_under_limit,stoch14_k20,H4,limit,1,3097,-0.03484149861181117,0,0.02230565932645025,-0.07856059089165365,0.00887759366803132
WTICO_USD,mr_under_limit,stoch14_k20,H4,market,1,3097,-0.24215567195649995,0,0.021450786338367465,-0.2841992131797002,-0.20011213073329973
WTICO_USD,trend,donchian55,D1,limit,-1,84,-0.43443489843899114,0,0.12233453433857899,-0.674210585742606,-0.19465921113537632
WTICO_USD,trend,donchian55,D1,limit,1,173,-0.2453878139637217,0,0.09004056389420065,-0.42186731919635495,-0.06890830873108844
WTICO_USD,trend,donchian55,D1,market,-1,84,-0.5536312158715655,0,0.1145180379817855,-0.778086570315865,-0.3291758614272659
WTICO_USD,trend,donchian55,D1,market,1,173,-0.4331265994274817,0,0.08386943245060852,-0.5975106870306744,-0.268742511824289
WTICO_USD,trend,donchian55,H4,limit,-1,426,-0.18195737994701305,0,0.05886380888370138,-0.2973304453590678,-0.06658431453495835
WTICO_USD,trend,donchian55,H4,limit,1,712,-0.10167266564676164,0,0.04593963284363477,-0.19171434602028578,-0.011630985273237499
WTICO_USD,trend,donchian55,H4,market,-1,426,-0.35229632901936525,0,0.05621677865173204,-0.46248121517676005,-0.24211144286197045
WTICO_USD,trend,donchian55,H4,market,1,712,-0.3262550200394236,0,0.043458865169448115,-0.4114343957715419,-0.24107564430730527
WTICO_USD,trend,supertrend10x3,D1,limit,-1,1542,-0.42268193811310234,0,0.028507360871020165,-0.4785563654203019,-0.3668075108059028
