instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high,split
XCU_USD,mr_under_limit,ema20_dist_-0.5%,H4,limit,1,2046,0.2552412295531927,2,0.029920610558530427,0.19659683285847304,0.31388562624791233,7631,0.21805171635757506,0.03718951319561761,0.6251067642834195,2,0.0266708564744595,-0.008544172736722673,0.09739864142346742,2016-2021
XCU_USD,mr_under_limit,ema20_dist_-0.5%,H4,limit,1,2533,0.22672286892911514,1,0.02330620351683555,0.18104271003611747,0.27240302782211284,8338,0.22226554936177506,0.004457319567340079,,1,0.02228591566165118,-0.036239441411184556,0.04660397717306788,2021-2026
XCU_USD,mr_under_limit,ema20_dist_-0.5%,H4,market,1,2046,0.0031881704675794393,3,0.033981029843337195,-0.06341464802536147,0.06979098896052034,7631,-0.02685620942132832,0.030044379888907756,0.01745854246653997,3,0.03558418982106653,-0.03407295881023703,0.10180025833538732,2016-2021
XCU_USD,mr_under_limit,ema20_dist_-0.5%,H4,market,1,2533,-0.01398310129097711,2,0.027198491882389614,-0.06729214538046076,0.039325942798506534,8338,-0.008373467833768947,-0.005609633457208163,,2,0.029801144979500784,-0.06732527538695962,0.053860633113720816,2021-2026
XCU_USD,mr_under_limit,ema20_dist_-1.0%,H4,limit,1,990,0.19891560525953103,2,0.04315492717488365,0.11433194799675908,0.28349926252230295,7631,0.21805171635757506,-0.01913611109804403,,2,0.04016764309127947,-0.07866408459780781,0.06100954519028497,2016-2021
XCU_USD,mr_under_limit,ema20_dist_-1.0%,H4,limit,1,1478,0.26148901725933205,1,0.029948270821070374,0.2027904064500341,0.32018762806863,8338,0.22226554936177506,0.039223467897556985,,1,0.027582453778086304,-0.008695117565640887,0.0876219512843993,2021-2026
XCU_USD,mr_under_limit,ema20_dist_-1.0%,H4,market,1,990,-0.031238249410183473,2,0.0433388532842317,-0.1161824018472776,0.05370590302691065,7631,-0.02685620942132832,-0.004382039988855155,,2,0.041284669852624856,-0.07060792261799553,0.08756270497713305,2016-2021
XCU_USD,mr_under_limit,ema20_dist_-1.0%,H4,market,1,1478,0.01668103219926899,2,0.03468748553654943,-0.05130643945236789,0.08466850385090587,8338,-0.008373467833768947,0.025054500033037934,,2,0.034583481918859606,-0.050213457201648715,0.088750722041905,2021-2026
XCU_USD,mr_under_limit,ema20_dist_-2.0%,H4,limit,1,208,0.16505926792143838,1,0.07695062140119135,0.014236049975103332,0.31588248586777345,7631,0.21805171635757506,-0.05299244843613668,,1,0.07037678141683183,-0.18383199277422005,0.08665830706625387,2016-2021
XCU_USD,mr_under_limit,ema20_dist_-2.0%,H4,limit,1,453,0.19929043089407442,1,0.052340701525000116,0.0967026559050742,0.3018782058830746,8338,0.22226554936177506,-0.022975118467700645,,1,0.04619511879193082,-0.10963482832357872,0.06682296379061903,2021-2026
