evaluator,level,pair_or_pooled,direction,bucket_type,bucket,n,mean_R,SE,CI_low
ema,PAIR,AUD_JPY,long,fixed,0.25_0.5,80,-0.2,0.11023565092191008,-0.41606187580694376
ema,PAIR,AUD_JPY,long,fixed,0.5_1,64,0.07992950301751231,0.12460698044985642,-0.16430017866420626
ema,PAIR,AUD_JPY,long,fixed,0_0.1,69,0.18840579710144928,0.11909605957442673,-0.0450224796644271
ema,PAIR,AUD_JPY,long,fixed,>=1,23,-0.21739130434782608,0.20810192223064325,-0.6252710719198868
ema,PAIR,AUD_JPY,long,quintile,Q1_shallow,56,0.2857142857142857,0.12921914767618442,0.03244475626896426
ema,PAIR,AUD_JPY,long,quintile,Q2,61,-0.2786885245901639,0.12398472394222321,-0.5216985835169214
ema,PAIR,AUD_JPY,long,quintile,Q3,68,-0.20588235294117646,0.11955217787659031,-0.44020462157929346
ema,PAIR,AUD_JPY,long,quintile,Q4,59,-0.031940878082698514,0.13013631364395312,-0.28700805282484665
ema,PAIR,AUD_JPY,long,quintile,Q5_deep,76,-0.05263157894736842,0.11531001210635072,-0.2786392026758158
ema,PAIR,AUD_JPY,short,fixed,0.1_0.25,105,-0.01580582306941019,0.09689187087685915,-0.20571388998805412
ema,PAIR,AUD_JPY,short,fixed,0.25_0.5,91,0.09921889011871246,0.10378009846221424,-0.10419010286722744
ema,PAIR,AUD_JPY,short,fixed,0.5_1,52,0.18372017793510811,0.13669105199248968,-0.08419428397017167
ema,PAIR,AUD_JPY,short,fixed,0_0.1,116,0.15517241379310345,0.09212097537655117,-0.025384697944936835
ema,PAIR,AUD_JPY,short,fixed,>=1,10,0.0,0.3333333333333333,-0.6533333333333333
ema,PAIR,AUD_JPY,short,quintile,Q1_shallow,94,0.0851063829787234,0.1033189499307784,-0.11739875888560226
ema,PAIR,AUD_JPY,short,quintile,Q2,71,0.27513327829061474,0.11359439674417177,0.05248826067203807
ema,PAIR,AUD_JPY,short,quintile,Q3,89,-0.03829128398478815,0.10536726400336859,-0.24481112143139058
ema,PAIR,AUD_JPY,short,quintile,Q4,65,0.034504139915804054,0.12401685680884465,-0.20856889942953147
ema,PAIR,AUD_JPY,short,quintile,Q5_deep,55,0.15551725913864767,0.13355549306451,-0.10625150726779192
ema,PAIR,CAD_CHF,long,fixed,0.1_0.25,84,-0.040189429782754284,0.10738903993442929,-0.2506719480542357
ema,PAIR,CAD_CHF,long,fixed,0.25_0.5,76,-0.14789086435074397,0.1134740166784418,-0.3702999370404899
ema,PAIR,CAD_CHF,long,fixed,0.5_1,59,0.13481000788868988,0.12898230974088803,-0.11799531920345066
ema,PAIR,CAD_CHF,long,fixed,0_0.1,84,-0.02554086228262082,0.10704425692794137,-0.2353476058613859
ema,PAIR,CAD_CHF,long,fixed,>=1,20,-0.4457439393025419,0.19890153893562787,-0.8355909556163725
ema,PAIR,CAD_CHF,long,quintile,Q1_shallow,72,0.01724709651170283,0.11598721523252982,-0.2100878453440556
ema,PAIR,CAD_CHF,long,quintile,Q2,68,-0.010708788031020256,0.11994347245660628,-0.24579799404596855
ema,PAIR,CAD_CHF,long,quintile,Q3,52,-0.23144111338893716,0.1336230391894065,-0.49334227020017385
ema,PAIR,CAD_CHF,long,quintile,Q4,59,-0.03796111340095835,0.13015797295650136,-0.293070740395701
ema,PAIR,CAD_CHF,long,quintile,Q5_deep,72,-0.055015115564140765,0.11684381354014334,-0.2840289901028217
ema,PAIR,CAD_CHF,short,fixed,0.1_0.25,90,-0.12319428341104965,0.10341192225844843,-0.3258816510376086
ema,PAIR,CAD_CHF,short,fixed,0.25_0.5,86,0.23838087107864975,0.10412229181377063,0.03430117912365932
ema,PAIR,CAD_CHF,short,fixed,0.5_1,36,0.0579482332406471,0.16413373448427895,-0.2637538863485397
ema,PAIR,CAD_CHF,short,fixed,0_0.1,80,0.07663051324380268,0.11052743654106237,-0.14000326237667957
ema,PAIR,CAD_CHF,short,fixed,>=1,12,0.16666666666666666,0.2972941950052816,-0.41602995554368527
ema,PAIR,CAD_CHF,short,quintile,Q1_shallow,64,0.023883636692569606,0.12448493531425052,-0.2201068365233614
ema,PAIR,CAD_CHF,short,quintile,Q2,63,0.0650221615196986,0.12433631708058161,-0.17867701995824137
ema,PAIR,CAD_CHF,short,quintile,Q3,70,-0.22259990530793883,0.11606359577784019,-0.4500845530325056
ema,PAIR,CAD_CHF,short,quintile,Q4,61,0.4508320477502275,0.11300633202196111,0.22933963698718374
ema,PAIR,CAD_CHF,short,quintile,Q5_deep,46,0.04535079123181076,0.14574567933856825,-0.24031074027178298
ema,PAIR,CAD_JPY,long,fixed,0.1_0.25,83,0.1394630812896134,0.10823848134729006,-0.07268434215107511
ema,PAIR,CAD_JPY,long,fixed,0.25_0.5,83,0.25301204819277107,0.10683842961363915,0.04360872615003833
ema,PAIR,CAD_JPY,long,fixed,0.5_1,86,-0.06976744186046512,0.10820092986749762,-0.28184126440076046
ema,PAIR,CAD_JPY,long,fixed,0_0.1,76,-0.012981099639787863,0.11469821107641749,-0.23778959334956615
ema,PAIR,CAD_JPY,long,fixed,>=1,20,0.0,0.22941573387056172,-0.44965483838630094
ema,PAIR,CAD_JPY,long,quintile,Q1_shallow,63,0.015873015873015872,0.12698412698412698,-0.233015873015873
ema,PAIR,CAD_JPY,long,quintile,Q2,56,0.03566182015272741,0.13232343025445642,-0.22369210314600718
ema,PAIR,CAD_JPY,long,quintile,Q3,76,0.178839608498175,0.11310566814092983,-0.04284750105804744
ema,PAIR,CAD_JPY,long,quintile,Q4,61,0.18032786885245902,0.12698306053139072,-0.06855892978906677
ema,PAIR,CAD_JPY,long,quintile,Q5_deep,92,-0.021739130434782608,0.10480371030928604,-0.22715440264098324
ema,PAIR,CAD_JPY,short,fixed,0.1_0.25,92,0.011873739222672238,0.10312290728160993,-0.19024715904928322
ema,PAIR,CAD_JPY,short,fixed,0.25_0.5,98,0.13718690524694663,0.09908462234474129,-0.05701895454874628
ema,PAIR,CAD_JPY,short,fixed,0.5_1,68,-0.060847102784316515,0.12016738624721954,-0.2963751798288668
ema,PAIR,CAD_JPY,short,fixed,0_0.1,109,-0.026642699717839915,0.0955060233164192,-0.21383450541802157
ema,PAIR,CAD_JPY,short,fixed,>=1,12,-0.3333333333333333,0.2842676218074806,-0.8904978720759953
ema,PAIR,CAD_JPY,short,quintile,Q1_shallow,80,0.0011993216344431067,0.11141664260854357,-0.21717729787830228
ema,PAIR,CAD_JPY,short,quintile,Q2,74,-0.0804854961010893,0.11509691628008407,-0.30607545201005404
ema,PAIR,CAD_JPY,short,quintile,Q3,77,0.16347943515712524,0.1110037946451551,-0.05408800234737876
ema,PAIR,CAD_JPY,short,quintile,Q4,78,0.04756049285133263,0.11239429935712006,-0.1727323338886227
ema,PAIR,CAD_JPY,short,quintile,Q5_deep,70,-0.09918015006669842,0.11892785745994838,-0.33227875068819723
ema,PAIR,CHF_JPY,long,fixed,0.1_0.25,63,0.26818950405246916,0.1196301923256182,0.03371432709425751
ema,PAIR,CHF_JPY,long,fixed,0.25_0.5,60,0.25143578798031163,0.11990399801750982,0.01642395186599238
ema,PAIR,CHF_JPY,long,fixed,0.5_1,46,0.010198739344699113,0.14597559805748672,-0.27591343284797487
ema,PAIR,CHF_JPY,long,fixed,0_0.1,72,0.17599030414515024,0.1105554910272535,-0.040698458268266624
ema,PAIR,CHF_JPY,long,fixed,>=1,18,0.22513260326327472,0.22728141243848382,-0.22033896511615358
ema,PAIR,CHF_JPY,long,quintile,Q1_shallow,57,0.18163532316700645,0.1269741312772788,-0.06723397413645998
ema,PAIR,CHF_JPY,long,quintile,Q2,56,0.3166800730925287,0.12094977856947942,0.07961850709634907
ema,PAIR,CHF_JPY,long,quintile,Q3,44,0.17511952878638481,0.14068293093596573,-0.100619015848108
ema,PAIR,CHF_JPY,long,quintile,Q4,45,0.2635740256060703,0.14371190484125015,-0.018101307882780027
ema,PAIR,CHF_JPY,long,quintile,Q5_deep,57,0.026693488922721113,0.12981679186299178,-0.22774742312874274
ema,PAIR,CHF_JPY,short,fixed,0.1_0.25,98,-0.03956658887292646,0.0981014875005331,-0.23184550437397133
ema,PAIR,CHF_JPY,short,fixed,0.25_0.5,86,-0.03023396667438242,0.10561635727815567,-0.23724202693956753
ema,PAIR,CHF_JPY,short,fixed,0.5_1,61,0.05829672972124863,0.1260699837873479,-0.18880043850195324
ema,PAIR,CHF_JPY,short,fixed,0_0.1,91,-0.025444155406235233,0.10293166633482187,-0.2271902214224861
ema,PAIR,CHF_JPY,short,fixed,>=1,13,-0.14875507525051573,0.26895906255712565,-0.675914837862482
ema,PAIR,CHF_JPY,short,quintile,Q1_shallow,67,-0.04474427905730197,0.11992421598580938,-0.27979574238948834
ema,PAIR,CHF_JPY,short,quintile,Q2,74,0.07632482096455222,0.11402900722307625,-0.14717203319267724
ema,PAIR,CHF_JPY,short,quintile,Q3,75,-0.05074541614968567,0.11090741078963906,-0.2681239412973782
