pair,tf,fast,slow,direction,n,w,l,t,wr_decisive,ci_low,ci_high
EUR_CHF,H4,50,200,long,56,16,17,23,0.48484848484848486,0.3143307269541896,0.6553662427427801
EUR_CHF,H4,50,200,short,56,15,18,23,0.45454545454545453,0.28465575682533084,0.6244351522655782
EUR_CHF,H4,100,200,long,48,13,16,19,0.4482758620689655,0.26727079113275964,0.6292809330051714
EUR_CHF,H4,100,200,short,48,14,14,20,0.5,0.31479740822547864,0.6852025917745214
EUR_NZD,H4,10,50,long,215,95,112,8,0.45893719806763283,0.39105258183931946,0.5268218142959462
EUR_NZD,H4,10,50,short,216,101,104,11,0.4926829268292683,0.4242440873918044,0.5611217662667322
EUR_NZD,H4,10,100,long,137,67,68,2,0.4962962962962963,0.4119536396682642,0.5806389529243284
EUR_NZD,H4,10,100,short,137,60,66,11,0.47619047619047616,0.3889841789889269,0.5633967733920254
EUR_NZD,H4,10,200,long,97,57,36,4,0.6129032258064516,0.5139066149634017,0.7118998366495015
EUR_NZD,H4,10,200,short,97,48,47,2,0.5052631578947369,0.4047228499534867,0.6058034658359871
EUR_NZD,H4,20,50,long,191,78,103,10,0.430939226519337,0.3587945778620185,0.5030838751766555
EUR_NZD,H4,20,50,short,192,89,95,8,0.483695652173913,0.4114875147335964,0.5559037896142296
EUR_NZD,H4,20,100,long,104,54,41,9,0.5684210526315789,0.46882102206757226,0.6680210831955856
EUR_NZD,H4,20,100,short,105,49,49,7,0.5,0.40100505063388336,0.5989949493661166
EUR_NZD,H4,20,200,long,74,44,29,1,0.6027397260273972,0.49048694266074966,0.7149925093940448
EUR_NZD,H4,20,200,short,74,33,38,3,0.4647887323943662,0.3487728849982566,0.5808045797904757
EUR_NZD,H4,50,100,long,86,44,39,3,0.5301204819277109,0.42274686702951925,0.6374940968259025
EUR_NZD,H4,50,100,short,86,41,41,4,0.5,0.39177710444665037,0.6082228955533496
EUR_NZD,H4,50,200,long,52,26,24,2,0.52,0.3815179896159794,0.6584820103840207
EUR_NZD,H4,50,200,short,52,29,21,2,0.58,0.44319256160573717,0.7168074383942628
EUR_NZD,H4,100,200,long,47,28,17,2,0.6222222222222222,0.4805643294898079,0.7638801149546366
EUR_NZD,H4,100,200,short,47,27,18,2,0.6,0.45686183830531657,0.7431381616946834
EUR_CZK,H4,10,50,long,231,43,48,140,0.4725274725274725,0.3699507474659295,0.5751041975890155
EUR_CZK,H4,10,50,short,231,50,41,140,0.5494505494505495,0.44722230250146444,0.6516787963996346
EUR_CZK,H4,10,100,long,158,33,28,97,0.5409836065573771,0.415929688121537,0.6660375249932171
EUR_CZK,H4,10,100,short,158,30,30,98,0.5,0.373482544023891,0.626517455976109
EUR_CZK,H4,10,200,long,103,20,21,62,0.4878048780487805,0.33480012175345375,0.6408096343441072
EUR_CZK,H4,10,200,short,103,27,15,61,0.6428571428571429,0.4979433753952485,0.7877709103190373
EUR_CZK,H4,20,50,long,188,35,34,119,0.5072463768115942,0.3892806314966041,0.6252121221265844
EUR_CZK,H4,20,50,short,188,43,34,111,0.5584415584415584,0.4475256935894878,0.669357423293629
EUR_CZK,H4,20,100,long,121,25,20,76,0.5555555555555556,0.4103703703703704,0.7007407407407408
EUR_CZK,H4,20,100,short,122,21,21,80,0.5,0.3487827170371499,0.6512172829628501
EUR_CZK,H4,20,200,long,79,19,14,46,0.5757575757575758,0.40713101598803636,0.7443841355271152
EUR_CZK,H4,20,200,short,80,15,17,48,0.46875,0.29584753133088293,0.6416524686691171
EUR_CZK,H4,50,100,long,93,20,13,60,0.6060606060606061,0.439346696736511,0.7727745153847012
EUR_CZK,H4,50,100,short,94,18,19,57,0.4864864864864865,0.32543433226529483,0.6475386407076782
EUR_CZK,H4,50,200,long,55,12,11,32,0.5217391304347826,0.3175882379179313,0.7258900229516339
EUR_CZK,H4,50,200,short,55,11,5,39,0.6875,0.4603789213326953,0.9146210786673047
EUR_CZK,H4,100,200,long,48,12,11,25,0.5217391304347826,0.3175882379179313,0.7258900229516339
EUR_CZK,H4,100,200,short,48,11,6,31,0.6470588235294118,0.41988689910096416,0.8742307479578595
CAD_JPY,H4,10,50,long,213,107,104,2,0.5071090047393365,0.43964984196815293,0.5745681675105201
CAD_JPY,H4,10,50,short,212,110,101,1,0.5213270142180095,0.45392243251972064,0.5887315959162984
