tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,k,atr_period,direction,total_n
251,114,127,10,0.4730290456431535,0.409993604917793,0.536064486368514,109,46,40,23,0.5348837209302325,0.42946510595874277,0.6403023359017223,USD_CAD,H4,100,1.5,14,long,360
254,114,123,17,0.4810126582278481,0.41740073388717464,0.5446245825685216,109,50,44,15,0.5319148936170213,0.4310417323595832,0.6327880548744593,USD_CAD,H4,100,2.0,14,long,363
208,84,102,22,0.45161290322580644,0.3800930879722202,0.5231327184793927,90,54,27,9,0.6666666666666666,0.5640052376943975,0.7693280956389358,USD_CAD,H4,100,2.5,14,long,298
320,135,150,35,0.47368421052631576,0.4157144781884172,0.5316539428642143,138,40,57,41,0.41237113402061853,0.3144072730118088,0.5103349950294283,USD_CAD,H4,100,1.0,14,short,458
284,117,132,35,0.46987951807228917,0.40788733260695503,0.5318717035376234,123,41,49,33,0.45555555555555555,0.3526633976467913,0.5584477134643199,USD_CAD,H4,100,1.5,14,short,407
266,129,113,24,0.5330578512396694,0.47019890456598773,0.5959167979133511,114,38,46,30,0.4523809523809524,0.3459402194370759,0.5588216853248289,USD_CAD,H4,100,2.0,14,short,380
231,101,109,21,0.48095238095238096,0.41337504528208174,0.5485297166226801,100,43,38,19,0.5308641975308642,0.42218296146623,0.6395454335954984,USD_CAD,H4,100,2.5,14,short,331
182,65,97,20,0.4012345679012346,0.32575557532039945,0.4767135604820697,79,31,33,15,0.484375,0.36193482906339774,0.6068151709366022,USD_CAD,H4,200,1.0,14,long,261
194,79,102,13,0.43646408839779005,0.3642117611004626,0.5087164156951175,84,36,40,8,0.47368421052631576,0.3614263065619245,0.5859421144907071,USD_CAD,H4,200,1.5,14,long,278
186,74,104,8,0.4157303370786517,0.3433269976553497,0.4881336765019537,80,39,33,8,0.5416666666666666,0.4265742789251249,0.6567590544082084,USD_CAD,H4,200,2.0,14,long,266
170,76,86,8,0.4691358024691358,0.39228656346009694,0.5459850414781746,73,36,28,9,0.5625,0.4409607991479704,0.6840392008520296,USD_CAD,H4,200,2.5,14,long,243
209,90,102,17,0.46875,0.3981628627488513,0.5393371372511486,90,27,33,30,0.45,0.3241167207290817,0.5758832792709183,USD_CAD,H4,200,1.0,14,short,299
212,91,98,23,0.48148148148148145,0.4102458794320881,0.5527170835308748,91,21,36,34,0.3684210526315789,0.24319211808556918,0.4936499871775887,USD_CAD,H4,200,1.5,14,short,303
221,105,91,25,0.5357142857142857,0.465893085495441,0.6055354859331304,96,24,38,34,0.3870967741935484,0.2658511827783741,0.5083423656087227,USD_CAD,H4,200,2.0,14,short,317
234,103,97,34,0.515,0.4457347258721948,0.5842652741278052,101,32,43,26,0.4266666666666667,0.3147297362764457,0.5386035970568877,USD_CAD,H4,200,2.5,14,short,335
514,224,256,34,0.4666666666666667,0.4220355033304871,0.5112978300028462,221,90,123,8,0.4225352112676056,0.3561975010863402,0.48887292144887107,USD_CHF,H4,20,1.0,14,long,735
381,150,201,30,0.42735042735042733,0.37559700728909556,0.4791038474117591,164,76,85,3,0.4720496894409938,0.39493563880095217,0.5491637400810354,USD_CHF,H4,20,1.5,14,long,545
265,121,123,21,0.4959016393442623,0.43316567578010573,0.5586376029084189,114,44,68,2,0.39285714285714285,0.30240688028151513,0.48330740543277056,USD_CHF,H4,20,2.0,14,long,379
180,67,92,21,0.42138364779874216,0.3446312945580159,0.4981360010394684,78,31,45,2,0.40789473684210525,0.29740478437514545,0.5183846893090651,USD_CHF,H4,20,2.5,14,long,258
522,272,205,45,0.570230607966457,0.5258043345247484,0.6146568814081655,225,107,109,9,0.49537037037037035,0.4286926747139205,0.5620480660268202,USD_CHF,H4,20,1.0,14,short,747
433,216,180,37,0.5454545454545454,0.49641161409891665,0.5944974768101742,186,90,84,12,0.5172413793103449,0.4429919539803448,0.5914908046403449,USD_CHF,H4,20,1.5,14,short,619
303,135,142,26,0.48736462093862815,0.42850093217526114,0.5462283097019951,130,65,55,10,0.5416666666666666,0.4525164864670191,0.6308168468663142,USD_CHF,H4,20,2.0,14,short,433
176,86,76,14,0.5308641975308642,0.4540149585218254,0.6077134365399031,76,35,36,5,0.49295774647887325,0.37666468041418233,0.6092508125435642,USD_CHF,H4,20,2.5,14,short,252
371,150,195,26,0.43478260869565216,0.3824719288900909,0.4870932885012134,159,65,88,6,0.42483660130718953,0.3465086189880838,0.5031645836262952,USD_CHF,H4,50,1.0,14,long,530
345,135,175,35,0.43548387096774194,0.38028890890234546,0.4906788330331384,149,57,87,5,0.3958333333333333,0.31595860623319866,0.47570806043346797,USD_CHF,H4,50,1.5,14,long,494
