pair,tf,period,k,atr_period,direction,n,w,l,t,wr_decisive,ci_low,ci_high
NZD_USD,H4,20,2.0,14,short,436,227,209,0,0.5206422018348624,0.47374872768127324,0.5675356759884516
NZD_USD,H4,20,2.5,14,short,248,141,107,0,0.5685483870967742,0.5069059223754758,0.6301908518180727
NZD_USD,H4,50,1.0,14,long,541,278,262,1,0.5148148148148148,0.472660845481919,0.5569687841477107
NZD_USD,H4,50,1.5,14,long,530,254,275,1,0.48015122873345933,0.4375761197314886,0.5227263377354301
NZD_USD,H4,50,2.0,14,long,444,208,234,2,0.47058823529411764,0.4240551055447257,0.5171213650435096
NZD_USD,H4,50,2.5,14,long,381,196,185,0,0.5144356955380578,0.46424970415253897,0.5646216869235766
NZD_USD,H4,50,1.0,14,short,553,271,282,0,0.49005424954792043,0.44838865590011306,0.5317198431957277
NZD_USD,H4,50,1.5,14,short,547,292,255,0,0.5338208409506399,0.4920150352475301,0.5756266466537496
NZD_USD,H4,50,2.0,14,short,491,267,224,0,0.5437881873727087,0.4997313342772712,0.5878450404681463
NZD_USD,H4,50,2.5,14,short,389,205,184,0,0.5269922879177378,0.4773767720279911,0.5766078038074844
NZD_USD,H4,100,1.0,14,long,382,195,187,0,0.5104712041884817,0.4603410389723394,0.560601369404624
NZD_USD,H4,100,1.5,14,long,337,150,187,0,0.44510385756676557,0.392042586050245,0.49816512908328614
NZD_USD,H4,100,2.0,14,long,320,147,172,1,0.4608150470219436,0.40611434027065246,0.5155157537732348
NZD_USD,H4,100,2.5,14,long,368,181,186,1,0.49318801089918257,0.44203717508935486,0.5443388467090102
NZD_USD,H4,100,1.0,14,short,404,211,193,0,0.5222772277227723,0.47356882301466985,0.5709856324308747
NZD_USD,H4,100,1.5,14,short,373,189,184,0,0.5067024128686327,0.4559644954531493,0.5574403302841161
NZD_USD,H4,100,2.0,14,short,345,174,171,0,0.5043478260869565,0.45158839448388843,0.5571072576900246
NZD_USD,H4,100,2.5,14,short,316,159,157,0,0.5031645569620253,0.44803635400386466,0.558292759920186
NZD_USD,H4,200,1.0,14,long,264,123,140,1,0.467680608365019,0.40737759393997236,0.5279836227900657
NZD_USD,H4,200,1.5,14,long,257,127,130,0,0.49416342412451364,0.4330368687458612,0.555289979503166
NZD_USD,H4,200,2.0,14,long,275,138,137,0,0.5018181818181818,0.4427223490010651,0.5609140146352986
NZD_USD,H4,200,2.5,14,long,273,131,142,0,0.47985347985347987,0.42058934883102506,0.5391176108759347
NZD_USD,H4,200,1.0,14,short,272,131,139,2,0.48518518518518516,0.42557047004674436,0.544799900323626
NZD_USD,H4,200,1.5,14,short,285,143,141,1,0.5035211267605634,0.4453702675102117,0.5616719860109151
NZD_USD,H4,200,2.0,14,short,312,165,145,2,0.532258064516129,0.4767137637603637,0.5878023652718943
NZD_USD,H4,200,2.5,14,short,272,139,133,0,0.5110294117647058,0.451622642327962,0.5704361812014497
USD_SEK,H4,20,1.0,14,long,721,355,359,7,0.49719887955182074,0.46052387685004714,0.5338738822535943
USD_SEK,H4,20,1.5,14,long,552,297,251,4,0.541970802919708,0.5002550276636014,0.5836865781758146
USD_SEK,H4,20,2.0,14,long,382,190,188,4,0.5026455026455027,0.4522404472108348,0.5530505580801706
USD_SEK,H4,20,2.5,14,long,247,121,124,2,0.49387755102040815,0.4312723416133791,0.5564827604274372
USD_SEK,H4,20,1.0,14,short,769,377,387,5,0.49345549738219896,0.45800337897808124,0.5289076157863167
USD_SEK,H4,20,1.5,14,short,592,286,302,4,0.48639455782312924,0.4459950038565891,0.5267941117896694
USD_SEK,H4,20,2.0,14,short,392,178,211,3,0.45758354755784064,0.4080746907648207,0.5070924043508606
USD_SEK,H4,20,2.5,14,short,235,99,134,2,0.4248927038626609,0.36141924188593105,0.4883661658393908
USD_SEK,H4,50,1.0,14,long,506,232,270,4,0.46215139442231074,0.4185373491383613,0.5057654397062601
USD_SEK,H4,50,1.5,14,long,479,237,238,4,0.49894736842105264,0.4539819842290345,0.5439127526130707
USD_SEK,H4,50,2.0,14,long,426,214,208,4,0.5071090047393365,0.4594081732906655,0.5548098361880075
USD_SEK,H4,50,2.5,14,long,359,180,176,3,0.5056179775280899,0.45368136013114235,0.5575545949250375
USD_SEK,H4,50,1.0,14,short,486,206,274,6,0.42916666666666664,0.3848871260196883,0.473446207313645
USD_SEK,H4,50,1.5,14,short,455,197,255,3,0.4358407079646018,0.3901264554989456,0.481554960430258
USD_SEK,H4,50,2.0,14,short,429,196,230,3,0.460093896713615,0.41276421036946986,0.5074235830577601
USD_SEK,H4,50,2.5,14,short,363,189,170,4,0.5264623955431755,0.47481246268909005,0.578112328397261
USD_SEK,H4,100,1.0,14,long,357,169,185,3,0.4774011299435028,0.42536794679525486,0.5294343130917507
USD_SEK,H4,100,1.5,14,long,376,165,207,4,0.4435483870967742,0.39306263779579537,0.494034136397753
USD_SEK,H4,100,2.0,14,long,361,164,194,3,0.4581005586592179,0.4064881270532154,0.5097129902652203
USD_SEK,H4,100,2.5,14,long,336,162,171,3,0.4864864864864865,0.4328024350794226,0.5401705378935504
