tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n
186,-0.02684059803405947,0.0709420675173668,-0.1658870503680984,0.11220585429997945,80,-0.10149842307964199,0.10083727331563302,-0.29913947877828273,0.09614263261899875,USD_CAD,14,2.5,short,266
148,0.14665591281723947,0.07875403535177354,-0.007701996472236655,0.30101382210671557,64,-0.010440681468253367,0.11088774803848157,-0.22778066762367724,0.20689930468717052,USD_CAD,14,3.0,long,212
148,-0.09160024274203331,0.07903763956569382,-0.24651401629079317,0.06331353080672657,64,-0.09492448862474709,0.10938996335553942,-0.30932881680160434,0.11947983955211017,USD_CAD,14,3.0,short,212
376,0.04175616736829719,0.04938463471222323,-0.05503771666766034,0.13855005140425472,162,0.12408959933106634,0.07211265414609765,-0.017251202795285053,0.2654304014574177,USD_CAD,21,1.5,long,538
376,-0.010986314227042274,0.04993175218930187,-0.10885254851807394,0.0868799200639894,162,-0.13462926468563552,0.07030930998289214,-0.2724355122521041,0.003176982880833068,USD_CAD,21,1.5,short,538
254,0.084804692045917,0.06004080668840914,-0.03287528906336491,0.2024846731551989,110,0.05851343033898901,0.08860750362861364,-0.11515727677309373,0.23218413745107175,USD_CAD,21,2.0,long,364
254,-0.01137465029180275,0.060438263528114454,-0.1298336468069071,0.10708434622330158,110,-0.056462759914531126,0.08496303330819722,-0.22299030519859767,0.11006478536953543,USD_CAD,21,2.0,short,364
186,0.14545781969382612,0.07029547665672332,0.007678685446648403,0.28323695394100384,81,-0.015900992273299025,0.10014140919143345,-0.21217815428850859,0.18037616974191054,USD_CAD,21,2.5,long,267
186,-0.040772585265411894,0.07054508048391324,-0.17904094301388182,0.09749577248305805,81,-0.07560753537894976,0.10078496112491733,-0.27314605918378776,0.1219309884258882,USD_CAD,21,2.5,short,267
148,0.12245676343962195,0.07915199401253155,-0.03268114482493989,0.2775946717041838,64,0.03487730392480529,0.1097981753917238,-0.18032711984297337,0.25008172769258397,USD_CAD,21,3.0,long,212
148,-0.10504327710773892,0.07891997772161348,-0.25972643344210133,0.049639879226623496,64,-0.10433523146748708,0.10829410591831017,-0.316591679067375,0.10792121613240085,USD_CAD,21,3.0,short,212
358,-0.07336333498162341,0.05146043500373142,-0.17422578758893698,0.02749911762569017,154,-0.0720441343177908,0.08019120669696071,-0.2292188994438338,0.0851306308082522,USD_CHF,7,1.5,long,512
358,0.10716528908477276,0.05108493988341939,0.007038806913270759,0.20729177125627474,154,0.0985374687612638,0.0800714789280653,-0.058402629937744185,0.2554775674602718,USD_CHF,7,1.5,short,512
251,-0.07308642721076085,0.0614482662059857,-0.1935250289744928,0.047352174552971124,108,0.01757612342387385,0.09552588260388169,-0.16965460647973424,0.20480685332748194,USD_CHF,7,2.0,long,359
251,0.1235049389270727,0.06070327665973944,0.004526516673983405,0.242483361180162,108,0.2598326827493438,0.09214943164939475,0.0792197967165301,0.44044556878215746,USD_CHF,7,2.0,short,359
195,-0.04030791817053579,0.0693855754815702,-0.1763036461144134,0.0956878097733418,84,-0.11297965443806814,0.10684806434896074,-0.3224018605620312,0.09644255168589493,USD_CHF,7,2.5,long,279
195,0.1440334604941531,0.06800380516332376,0.010746002374038555,0.27732091861426766,84,0.11102888914165852,0.10647613016954335,-0.09766432599064644,0.31972210427396347,USD_CHF,7,2.5,short,279
146,-0.007849203086145305,0.07979497989466734,-0.1642473636796933,0.14854895750740268,63,-0.16805887903601371,0.1236140694455205,-0.4103424551492339,0.07422469707720647,USD_CHF,7,3.0,long,209
146,0.15771455143922475,0.07779845129710632,0.005229586896896371,0.31019951598155315,63,0.13047469558575375,0.12301920468842682,-0.1106429456035628,0.3715923367750703,USD_CHF,7,3.0,short,209
354,-0.06909367540401203,0.05172536941575715,-0.17047539945889606,0.032288048650871995,152,-0.07063613962130763,0.08088139116523065,-0.2291636663051597,0.08789138706254443,USD_CHF,10,1.5,long,506
354,0.10245300441079519,0.05138641887222483,0.001735623421234525,0.20317038540035587,152,0.12447322031772085,0.0804774514746492,-0.0332625845725916,0.28220902520803326,USD_CHF,10,1.5,short,506
