tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n
20,-0.4,0.2102629932151387,-0.8121154667016719,0.012115466701671795,9,-0.24818980361655316,0.32275368855771935,-0.8807870331896831,0.38440742595657673,USD_CAD,14,3.0,short,29
61,0.053207349624515184,0.12317734101717609,-0.18822023876914995,0.2946349380181803,27,0.059145556156731074,0.17630082823501736,-0.28640406718390293,0.40469517949736505,USD_CAD,21,1.5,long,88
51,-0.19738471616294512,0.13376398564197878,-0.45956212802122354,0.0647926956953333,22,-0.30729363777005286,0.19176125785506926,-0.6831457031659887,0.06855842762588288,USD_CAD,21,1.5,short,73
32,0.4171660162559331,0.15380173413830114,0.11571461734486282,0.7186174151670033,14,-0.35792619066464304,0.2290240081453774,-0.8068132466295828,0.09096086530029668,USD_CAD,21,2.0,long,46
38,-0.26758274016329436,0.14771610285014844,-0.5571063017495853,0.02194082142299658,17,-0.648077953638735,0.17466910854131829,-0.9904294063797188,-0.30572650089775116,USD_CAD,21,2.0,short,55
21,0.10643611745063622,0.21721942995665816,-0.3193139652644138,0.5321862001656862,10,-0.2840470224193012,0.30218873131274027,-0.8763369357922721,0.3082428909536697,USD_CAD,21,2.5,long,31
20,0.3088932055200517,0.19557377368863163,-0.07443139090966633,0.6922178019497697,9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,USD_CAD,21,2.5,short,29
18,0.007537282656031523,0.2408186058127526,-0.4644671847369636,0.47954175004902666,9,-0.12120911032064823,0.30954590718691694,-0.7279190884070054,0.48550086776570894,USD_CAD,21,3.0,long,27
21,-0.23809523809523808,0.21717627144745486,-0.6637607301322496,0.1875702539417734,10,-0.32337082325489785,0.29830880056738485,-0.9080560723669722,0.26131442585717646,USD_CAD,21,3.0,short,31
55,0.04642733493992191,0.13113298853480307,-0.2105933225882921,0.3034479924681359,24,0.25,0.2018932132718121,-0.14571069801275166,0.6457106980127516,USD_CHF,7,1.5,long,79
58,0.043793349021618716,0.127114173970562,-0.20535043196068278,0.2929371300039202,26,0.1933328183862792,0.19226941575234285,-0.1835152364883128,0.5701808732608712,USD_CHF,7,1.5,short,84
36,-0.11706305566629391,0.16333768802794785,-0.4372049242010717,0.20307881286848387,16,0.1420167897224691,0.251718200919378,-0.35135088407951187,0.63538446352445,USD_CHF,7,2.0,long,52
33,0.18750919671654503,0.16550848504256177,-0.13688743396687603,0.5119058273999662,15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,USD_CHF,7,2.0,short,48
30,-0.3125238312133675,0.17056160609175253,-0.6468245791532025,0.02177691672646742,14,-0.2857142857142857,0.26578871697687523,-0.8066601709889611,0.23523159956038975,USD_CHF,7,2.5,long,44
23,0.1863557093576939,0.20508913219805525,-0.21561898975049437,0.5883304084658822,11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,USD_CHF,7,2.5,short,34
21,-0.3091966784500643,0.20241080841105277,-0.7059218629357278,0.08752850603559909,9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,USD_CHF,7,3.0,long,30
18,0.058850243233603314,0.22279789296726457,-0.3778336269822352,0.49553411344944187,9,0.33333333333333454,0.33333333333333365,-0.31999999999999945,0.9866666666666686,USD_CHF,7,3.0,short,27
56,-0.007973153184005053,0.13016809636498985,-0.26310262205938517,0.24715631569137508,25,0.28,0.19595917942265423,-0.10407999166840226,0.6640799916684024,USD_CHF,10,1.5,long,81
51,0.0694120439853703,0.13472398482937406,-0.19464696628020284,0.3334710542509435,23,0.17507188165405474,0.2051498855848672,-0.22702189409228496,0.5771656574003945,USD_CHF,10,1.5,short,74
33,-0.15734342879944502,0.1694899342249557,-0.4895436998803582,0.17485684228146814,15,0.2,0.26186146828319085,-0.313248477835054,0.7132484778350541,USD_CHF,10,2.0,long,48
32,0.22461885911393706,0.1664162815844817,-0.10155705279164709,0.5507947710195212,14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,USD_CHF,10,2.0,short,46
30,-0.11252383121336756,0.1789486648783613,-0.4632632143749557,0.23821555194822058,14,-0.5714285714285714,0.2276078590901976,-1.0175399752453587,-0.12531716761178413,USD_CHF,10,2.5,long,44
21,0.3734989638303477,0.19256415711018662,-0.003926784105618086,0.7509247117663135,10,-0.2,0.32659863237109044,-0.8401333194473373,0.4401333194473372,USD_CHF,10,2.5,short,31
